,fluxes,reduced_costs
ALATA_D2_num1,0.0,19.11111111111086
SHCHD2,0.00019395929917313926,-2.0
CPPPGO,0.00019395929917313926,-1.9999999999999396
GTHOr,0.0,6.039613253960852e-14
DHORD5,0.0,-2.0000000000001137
GLYCTO2,0.0,-1.9999999999999858
GLYCTO3,0.0003879185973938177,-2.0
GLYCTO4,0.0,-2.0
PFK_3,0.9804357415359581,-1.9999999999998597
TRPS2,0.0,25.6888888888883
G3PD5_num1,0.0,17.111111111110816
EX_acgam_e,0.0,472.46666666665766
EX_cellb_e,0.0,458.1333333333214
EX_chol_e,0.0,15.733333333332787
LEUTAi_num1,0.3918595381873256,-2.0
SHK3Dr,0.33148687955859923,-2.0000000000000835
G5SD,0.192267591384387,-1.9999999999999698
ALATA_L2_num1,0.0,17.11111111111086
MAN6PI,0.0,-2.0
APRAUR,0.00038791859834627846,-1.9999999999999698
DB4PS,0.0007758371966925569,-2.0000000000000018
RBFK,0.00019395929917313917,-1.9999999999999734
ACP1_FMN_num1,0.0,22.3111111111108
RBFSb,0.00038791859834627846,-1.9999999999998863
EX_pi_e,0.0,2.0
EX_h_e,7.991818074274475,-2.0
DMATT,0.00024179679448489962,-2.0000000000000284
GRTT,0.00024179679448489962,-1.9999999999999432
UPP3S,0.0003879185983462785,-2.0
UPPDC1,0.00019395929917313926,-2.0000000000001066
TMDPP,0.0,-2.0000000000000053
EX_ade_e,0.0,467.79999999999416
EX_4abut_e,0.0,196.68888888888483
EX_ac_e,0.0,49.82222222222077
EX_akg_e,0.0,173.77777777777365
EX_ala__L_e,0.0,129.59999999999735
EX_arg__L_e,0.0,453.711111111105
EX_asp__L_e,0.0,159.06666666666342
EX_cytd_e,0.0,525.8444444444349
EX_dcyt_e,0.0,556.8888888888789
EX_fum_e,0.0,145.6888888888857
EX_glu__L_e,0.0,214.1999999999954
EX_gua_e,0.0,462.2666666666613
HCO3E_num1,2.4885378179329303,-2.0
IMPC,0.0,2.0
IMPD,0.21155306017616274,-2.00000000000003
ECOAH4_num1,0.0,-2.0
GLUTRS,0.003103348786770228,-2.0
TMPPP,0.00019395929917313926,-1.9999999999999325
URIK1,0.0,14.311111111110844
URIK2,0.0,16.311111111110844
CYTDK1,0.0,22.311111111110844
CYTDK2,0.0,24.311111111110844
XPPT,0.0,-2.0000000000000195
HXPRT_num1,0.0,24.311111111110865
NDPK5_num1,0.0,2.0
DHORTS,0.0,1.9999999999999964
OMPDC,0.28771644112098027,-1.9999999999999982
CS,6.647063646580287,-1.9999999999999165
ICDHyr,6.647063646580287,-2.0
ACALD_num1,0.0,1.9999999999999396
ACS,0.0,20.311111111110904
PPA_num1,2.7360290139052066,-2.0
PPCK,0.0,22.311111111111018
ME1,0.0,20.311111111110563
ALAR_num1,0.03625386326517844,-2.0
ALATA_L_num1,0.0,2.0
XYLK_num1,0.0,-1.9999999999999734
RBK,0.0,-1.9999999999999734
GLYK,0.0,-1.9999999999999734
PPM,0.0,2.0
ASPTA_num1,0.0,2.0
FBP_num1,0.0,22.311111111110574
GLGC,0.0,26.31111111111085
PYK_num1,0.0,-3.979039320256561e-13
A5PISO_num1,0.033844593046749756,-2.0
EX_met__L_e,0.0,574.9555555555467
EX_metsox_S__L_e,0.0,542.5333333333249
IPPMIb,0.0,2.0
ACHBS_num1,0.2526941759169192,-2.0
ACLS_num1,0.7605004956956063,-2.0
PSCVT,0.33148687955859923,-2.000000000000023
ANS,0.049440486291025806,-2.000000000000014
ANPRT,0.049440486291025806,-1.9999999999999911
CHORM_num1,0.28127055607088103,-2.0
CHORS,0.33148687955859923,-1.9999999999999947
IGPS,0.049440486291025806,-2.0000000000000266
EX_crn_e,0.0,0.0
EX_fe3_e,0.0,2.0
EX_glcn_e,0.0,202.64444444443876
EX_gln__L_e,0.0,228.77777777777317
EX_glyc_e,0.0,134.95555555555183
EX_man_e,0.0,225.06666666666086
EX_mn2_e,0.0,2.0
