id,name,metabolites,lower_bound,upper_bound,gene_reaction_rule,annotation,notes,objective_coefficient
ALATA_D2_num1,D-alanine transaminase,"OrderedDict([('ala__D_c', -1.0), ('pyam5p_c', 1.0), ('pydx5p_c', -1.0), ('pyr_c', 1.0)])",0.0,1000.0,b2551,"OrderedDict([('bigg.reaction', 'ALATA_D2'), ('biocyc', 'META:RXN0-5240'), ('kegg.reaction', 'R01147'), ('metanetx.reaction', 'MNXR95697'), ('rhea', ['28562', '28563', '28564', '28565']), ('sbo', 'SBO:0000375')])",,
SHCHD2,Sirohydrochlorin dehydrogenase (NAD),"OrderedDict([('dscl_c', -1.0), ('h_c', 1.0), ('nad_c', -1.0), ('nadh_c', 1.0), ('scl_c', 1.0)])",0.0,1000.0,b3368,"OrderedDict([('bigg.reaction', 'SHCHD2'), ('biocyc', 'META:DIMETHUROPORDEHYDROG-RXN'), ('ec-code', '1.3.1.76'), ('kegg.reaction', 'R03947'), ('metanetx.reaction', 'MNXR104373'), ('rhea', ['15613', '15614', '15615', '15616']), ('sbo', 'SBO:0000375')])",,
CPPPGO,Coproporphyrinogen oxidase (O2 required),"OrderedDict([('co2_c', 2.0), ('cpppg3_c', -1.0), ('h2o_c', 2.0), ('h_c', -2.0), ('o2_c', -1.0), ('pppg9_c', 1.0)])",0.0,1000.0,b2436,"OrderedDict([('bigg.reaction', 'CPPPGO'), ('biocyc', 'META:RXN0-1461'), ('ec-code', '1.3.3.3'), ('kegg.reaction', 'R03220'), ('metanetx.reaction', 'MNXR96880'), ('rhea', ['18257', '18258', '18259', '18260']), ('sbo', 'SBO:0000375')])",,
GTHOr,Glutathione oxidoreductase,"OrderedDict([('gthox_c', -1.0), ('gthrd_c', 2.0), ('h_c', -1.0), ('nadp_c', 1.0), ('nadph_c', -1.0)])",0.0,1000.0,b3500,"OrderedDict([('bigg.reaction', 'GTHOr'), ('biocyc', 'META:GLUTATHIONE-REDUCT-NADPH-RXN'), ('ec-code', '1.8.1.7'), ('kegg.reaction', 'R00115'), ('metanetx.reaction', 'MNXR100098'), ('rhea', ['11740', '11741', '11742', '11743']), ('sbo', 'SBO:0000375')])","OrderedDict([('reflection', 'GTHOr_reverse')])",
DHORD5,Dihydroorotic acid (menaquinone-8),"OrderedDict([('dhor__S_c', -1.0), ('mql8_c', 1.0), ('mqn8_c', -1.0), ('orot_c', 1.0)])",0.0,1000.0,b0945,"OrderedDict([('bigg.reaction', 'DHORD5'), ('metanetx.reaction', 'MNXR97421'), ('rhea', ['29199', '29200', '29201', '29202']), ('sbo', 'SBO:0000375')])",,
GLYCTO2,Glycolate oxidase,"OrderedDict([('glx_c', 1.0), ('glyclt_c', -1.0), ('q8_c', -1.0), ('q8h2_c', 1.0)])",0.0,1000.0,b4468 and b2979 and b4467,"OrderedDict([('bigg.reaction', 'GLYCTO2'), ('metanetx.reaction', 'MNXR100339'), ('sbo', 'SBO:0000375')])",,
GLYCTO3,Glycolate oxidase,"OrderedDict([('glx_c', 1.0), ('glyclt_c', -1.0), ('mql8_c', 1.0), ('mqn8_c', -1.0)])",0.0,1000.0,b4468 and b2979 and b4467,"OrderedDict([('bigg.reaction', 'GLYCTO3'), ('metanetx.reaction', 'MNXR100340'), ('sbo', 'SBO:0000375')])",,
GLYCTO4,Glycolate oxidase,"OrderedDict([('2dmmq8_c', -1.0), ('2dmmql8_c', 1.0), ('glx_c', 1.0), ('glyclt_c', -1.0)])",0.0,1000.0,b4468 and b2979 and b4467,"OrderedDict([('bigg.reaction', 'GLYCTO4'), ('metanetx.reaction', 'MNXR100341'), ('sbo', 'SBO:0000375')])",,
PFK_3,Phosphofructokinase (s7p),"OrderedDict([('adp_c', 1.0), ('atp_c', -1.0), ('h_c', 1.0), ('s17bp_c', 1.0), ('s7p_c', -1.0)])",0.0,1000.0,b3916,"OrderedDict([('bigg.reaction', 'PFK_3'), ('biocyc', 'META:RXN0-6541'), ('ec-code', ['2.7.1.-', '2.7.1.11']), ('kegg.reaction', 'R01843'), ('metanetx.reaction', 'MNXR102510'), ('rhea', ['31443', '31444', '31445', '31446']), ('sbo', 'SBO:0000375')])",,
TRPS2,Tryptophan synthase (indole),"OrderedDict([('h2o_c', 1.0), ('indole_c', -1.0), ('ser__L_c', -1.0), ('trp__L_c', 1.0)])",0.0,1000.0,b1260 and b1261,"OrderedDict([('bigg.reaction', 'TRPS2'), ('biocyc', 'META:RXN0-2382'), ('ec-code', ['4.2.1.122', '4.2.1.20']), ('kegg.reaction', 'R00674'), ('metanetx.reaction', 'MNXR104946'), ('rhea', ['26434', '26435', '26436', '26437']), ('sbo', 'SBO:0000375')])",,
G3PD5_num1,Glycerol-3-phosphate dehydrogenase (ubiquinone-8),"OrderedDict([('dhap_c', 1.0), ('glyc3p_c', -1.0), ('q8_c', -1.0), ('q8h2_c', 1.0)])",0.0,1000.0,b2242 and b2243 and b2241,"OrderedDict([('bigg.reaction', 'G3PD5'), ('metanetx.reaction', 'MNXR99880'), ('rhea', ['28751', '28752', '28753', '28754']), ('sbo', 'SBO:0000375')])",,
EX_acgam_e,N-Acetyl-D-glucosamine exchange,"OrderedDict([('acgam_e', -1.0)])",0.0,1000.0,,"OrderedDict([('bigg.reaction', 'acgam'), ('sbo', 'SBO:0000627')])",,
EX_cellb_e,Cellobiose exchange,"OrderedDict([('cellb_e', -1.0)])",0.0,1000.0,,"OrderedDict([('bigg.reaction', 'cellb'), ('sbo', 'SBO:0000627')])",,
EX_chol_e,Choline exchange,"OrderedDict([('chol_e', -1.0)])",0.0,1000.0,,"OrderedDict([('bigg.reaction', 'chol'), ('sbo', 'SBO:0000627')])",,
LEUTAi_num1,Leucine transaminase (irreversible),"OrderedDict([('4mop_c', -1.0), ('akg_c', 1.0), ('glu__L_c', -1.0), ('leu__L_c', 1.0)])",0.0,1000.0,b3770,"OrderedDict([('bigg.reaction', 'LEUTAi'), ('biocyc', 'META:BRANCHED-CHAINAMINOTRANSFERLEU-RXN'), ('ec-code', ['2.6.1.42', '2.6.1.6', '2.6.1.67']), ('kegg.reaction', 'R01090'), ('metanetx.reaction', 'MNXR96229'), ('rhea', ['18321', '18322', '18323', '18324']), ('sbo', 'SBO:0000375')])",,
SHK3Dr,Shikimate dehydrogenase,"OrderedDict([('3dhsk_c', -1.0), ('h_c', -1.0), ('nadp_c', 1.0), ('nadph_c', -1.0), ('skm_c', 1.0)])",0.0,1000.0,b3281,"OrderedDict([('bigg.reaction', 'SHK3Dr'), ('biocyc', 'META:SHIKIMATE-5-DEHYDROGENASE-RXN'), ('ec-code', ['1.1.1.25', '1.1.1.282']), ('kegg.reaction', 'R02413'), ('metanetx.reaction', 'MNXR104378'), ('rhea', ['17737', '17738', '17739', '17740']), ('sbo', 'SBO:0000375')])",,
G5SD,Glutamate-5-semialdehyde dehydrogenase,"OrderedDict([('glu5p_c', -1.0), ('glu5sa_c', 1.0), ('h_c', -1.0), ('nadp_c', 1.0), ('nadph_c', -1.0), ('pi_c', 1.0)])",0.0,1000.0,b0243,"OrderedDict([('bigg.reaction', 'G5SD'), ('biocyc', 'META:GLUTSEMIALDEHYDROG-RXN'), ('ec-code', '1.2.1.41'), ('kegg.reaction', 'R03313'), ('metanetx.reaction', 'MNXR99896'), ('rhea', ['19541', '19542', '19543', '19544']), ('sbo', 'SBO:0000375')])",,
ALATA_L2_num1,Alanine transaminase,"OrderedDict([('ala__L_c', -1.0), ('pyam5p_c', 1.0), ('pydx5p_c', -1.0), ('pyr_c', 1.0)])",0.0,1000.0,b0870,"OrderedDict([('bigg.reaction', 'ALATA_L2'), ('metanetx.reaction', 'MNXR95699'), ('rhea', ['30023', '30024', '30025', '30026']), ('sbo', 'SBO:0000375')])",,
MAN6PI,Mannose-6-phosphate isomerase,"OrderedDict([('f6p_c', 1.0), ('man6p_c', -1.0)])",0.0,1000.0,b1613,"OrderedDict([('bigg.reaction', 'MAN6PI'), ('biocyc', 'META:MANNPISOM-RXN'), ('ec-code', '5.3.1.8'), ('kegg.reaction', 'R01819'), ('metanetx.reaction', 'MNXR101382'), ('sbo', 'SBO:0000375')])","OrderedDict([('reflection', 'MAN6PI_reverse')])",
APRAUR,5-amino-6-(5-phosphoribosylamino)uracil reductase,"OrderedDict([('5aprbu_c', 1.0), ('5apru_c', -1.0), ('h_c', -1.0), ('nadp_c', 1.0), ('nadph_c', -1.0)])",0.0,1000.0,b0414,"OrderedDict([('bigg.reaction', 'APRAUR'), ('biocyc', 'META:RIBOFLAVINSYNREDUC-RXN'), ('ec-code', '1.1.1.193'), ('kegg.reaction', 'R03458'), ('metanetx.reaction', 'MNXR95898'), ('rhea', ['17845', '17846', '17847', '17848']), ('sbo', 'SBO:0000375')])",,
