id,name,annotation
b2551,G_b2551,"OrderedDict([('asap', 'ABE-0008389'), ('ecogene', 'EG10408'), ('ncbigene', '947022'), ('ncbigi', 'gi:16130476'), ('uniprot', 'P0A825')])"
b0870,G_b0870,"OrderedDict([('asap', 'ABE-0002954'), ('ecogene', 'EG13690'), ('ncbigene', '944955'), ('ncbigi', 'gi:16128838'), ('uniprot', 'P75823')])"
b3368,G_b3368,"OrderedDict([('asap', 'ABE-0011010'), ('ecogene', 'EG10188'), ('ncbigene', '947880'), ('ncbigi', 'gi:16131246'), ('uniprot', 'P0AEA8')])"
b2436,G_b2436,"OrderedDict([('asap', 'ABE-0008034'), ('ecogene', 'EG12189'), ('ncbigene', '946908'), ('ncbigi', 'gi:16130361'), ('uniprot', 'P36553')])"
b3500,G_b3500,"OrderedDict([('asap', 'ABE-0011432'), ('ecogene', 'EG10412'), ('ncbigene', '948014'), ('ncbigi', 'gi:16131372'), ('uniprot', 'P06715')])"
b0945,G_b0945,"OrderedDict([('asap', 'ABE-0003201'), ('ecogene', 'EG10807'), ('ncbigene', '945556'), ('ncbigi', 'gi:16128912'), ('uniprot', 'P0A7E1')])"
b4467,G_b4467,"OrderedDict([('asap', 'ABE-0174097'), ('ecogene', 'EG13291'), ('ncbigene', '2847717'), ('ncbigi', 'gi:49176294'), ('uniprot', 'P52074')])"
b4468,G_b4468,"OrderedDict([('asap', 'ABE-0174098'), ('ecogene', 'EG12996'), ('ncbigene', '2847718'), ('ncbigi', 'gi:49176295'), ('uniprot', 'P52073')])"
b2979,G_b2979,"OrderedDict([('asap', 'ABE-0009773'), ('ecogene', 'EG12997'), ('ncbigene', '947353'), ('ncbigi', 'gi:16130879'), ('uniprot', 'P0AEP9')])"
b3916,G_b3916,"OrderedDict([('asap', 'ABE-0012789'), ('ecogene', 'EG10699'), ('ncbigene', '948412'), ('ncbigi', 'gi:16131754'), ('uniprot', 'P0A796')])"
b1260,G_b1260,"OrderedDict([('asap', 'ABE-0004232'), ('ecogene', 'EG11024'), ('ncbigene', '946204'), ('ncbigi', 'gi:16129221'), ('uniprot', 'P0A877')])"
b1261,G_b1261,"OrderedDict([('asap', 'ABE-0004234'), ('ecogene', 'EG11025'), ('ncbigene', '945768'), ('ncbigi', 'gi:16129222'), ('uniprot', 'P0A879')])"
b3426,G_b3426,"OrderedDict([('asap', 'ABE-0011191'), ('ecogene', 'EG10394'), ('ncbigene', '947934'), ('ncbigi', 'gi:16131300'), ('uniprot', 'P13035')])"
b2242,G_b2242,"OrderedDict([('asap', 'ABE-0007424'), ('ecogene', 'EG10392'), ('ncbigene', '946733'), ('ncbigi', 'gi:16130177'), ('uniprot', 'P13033')])"
b2243,G_b2243,"OrderedDict([('asap', 'ABE-0007426'), ('ecogene', 'EG10393'), ('ncbigene', '946735'), ('ncbigi', 'gi:16130178'), ('uniprot', 'P0A996')])"
b2241,G_b2241,"OrderedDict([('asap', 'ABE-0007422'), ('ecogene', 'EG10391'), ('ncbigene', '946713'), ('ncbigi', 'gi:16130176'), ('uniprot', 'P0A9C0')])"
b4054,G_b4054,"OrderedDict([('asap', 'ABE-0013278'), ('ecogene', 'EG11040'), ('ncbigene', '948563'), ('ncbigi', 'gi:16131880'), ('uniprot', 'P04693')])"
b3770,G_b3770,"OrderedDict([('asap', 'ABE-0012316'), ('ecogene', 'EG10497'), ('ncbigene', '948278'), ('ncbigi', 'gi:49176403'), ('uniprot', 'P0AB80')])"
b3281,G_b3281,"OrderedDict([('asap', 'ABE-0010763'), ('ecogene', 'EG10077'), ('ncbigene', '947776'), ('ncbigi', 'gi:16131162'), ('uniprot', 'P15770')])"
b1692,G_b1692,"OrderedDict([('asap', 'ABE-0005651'), ('ecogene', 'EG11234'), ('ncbigene', '946200'), ('ncbigi', 'gi:16129648'), ('uniprot', 'P0A6D5')])"
b0243,G_b0243,"OrderedDict([('asap', 'ABE-0000832'), ('ecogene', 'EG10767'), ('ncbigene', '946680'), ('ncbigi', 'gi:16128229'), ('uniprot', 'P07004')])"
b1613,G_b1613,"OrderedDict([('asap', 'ABE-0005398'), ('ecogene', 'EG10566'), ('ncbigene', '944840'), ('ncbigi', 'gi:49176125'), ('uniprot', 'P00946')])"
b0414,G_b0414,"OrderedDict([('asap', 'ABE-0001441'), ('ecogene', 'EG11321'), ('ncbigene', '945620'), ('ncbigi', 'gi:16128399'), ('uniprot', 'P25539')])"
b3041,G_b3041,"OrderedDict([('asap', 'ABE-0009980'), ('ecogene', 'EG10465'), ('ncbigene', '947526'), ('ncbigi', 'gi:16130937'), ('uniprot', 'P0A7J0')])"
b0025,G_b0025,"OrderedDict([('asap', 'ABE-0000091'), ('ecogene', 'EG11079'), ('ncbigene', '949129'), ('ncbigi', 'gi:16128019'), ('uniprot', 'P0AG40')])"
b0844,G_b0844,"OrderedDict([('asap', 'ABE-0002877'), ('ecogene', 'EG13678'), ('ncbigene', '945470'), ('ncbigi', 'gi:90111176'), ('uniprot', 'P75809')])"
b0446,G_b0446,"OrderedDict([('asap', 'ABE-0001548'), ('ecogene', 'EG13216'), ('ncbigene', '945089'), ('ncbigi', 'gi:90111136'), ('uniprot', 'P46891')])"
b3812,G_b3812,"OrderedDict([('asap', 'ABE-0012450'), ('ecogene', 'EG11202'), ('ncbigene', '948357'), ('ncbigi', 'gi:16131664'), ('uniprot', 'P0ADP0')])"
b1662,G_b1662,"OrderedDict([('asap', 'ABE-0005557'), ('ecogene', 'EG11406'), ('ncbigene', '945848'), ('ncbigi', 'gi:16129620'), ('uniprot', 'P0AFU8')])"
b0421,G_b0421,"OrderedDict([('asap', 'ABE-0001463'), ('ecogene', 'EG10508'), ('ncbigene', '945064'), ('ncbigi', 'gi:16128406'), ('uniprot', 'P22939')])"
b3804,G_b3804,"OrderedDict([('asap', 'ABE-0012425'), ('ecogene', 'EG10430'), ('ncbigene', '948587'), ('ncbigi', 'gi:16131656'), ('uniprot', 'P09126')])"
b3997,G_b3997,"OrderedDict([('asap', 'ABE-0013066'), ('ecogene', 'EG11543'), ('ncbigene', '948497'), ('ncbigi', 'gi:16131827'), ('uniprot', 'P29680')])"
b4382,G_b4382,"OrderedDict([('asap', 'ABE-0014374'), ('ecogene', 'EG10219'), ('ncbigene', '948901'), ('ncbigi', 'gi:16132199'), ('uniprot', 'P07650')])"
b0126,G_b0126,"OrderedDict([('asap', 'ABE-0000442'), ('ecogene', 'EG12319'), ('ncbigene', '944832'), ('ncbigi', 'gi:16128119'), ('uniprot', 'P61517')])"
b0339,G_b0339,"OrderedDict([('asap', 'ABE-0001171'), ('ecogene', 'EG10176'), ('ncbigene', '946548'), ('ncbigi', 'gi:16128324'), ('uniprot', 'P0ABE9')])"
b4006,G_b4006,"OrderedDict([('asap', 'ABE-0013097'), ('ecogene', 'EG10795'), ('ncbigene', '948503'), ('ncbigi', 'gi:16131836'), ('uniprot', 'P15639')])"
b2508,G_b2508,"OrderedDict([('asap', 'ABE-0008257'), ('ecogene', 'EG10421'), ('ncbigene', '946985'), ('ncbigi', 'gi:16130433'), ('uniprot', 'P0ADG7')])"
b3846,G_b3846,"OrderedDict([('asap', 'ABE-0012564'), ('ecogene', 'EG10279'), ('ncbigene', '948336'), ('ncbigi', 'gi:16131692'), ('uniprot', 'P21177')])"
b2341,G_b2341,"OrderedDict([('asap', 'ABE-0007723'), ('ecogene', 'EG14127'), ('ncbigene', '949097'), ('ncbigi', 'gi:16130274'), ('uniprot', 'P77399')])"
b2400,G_b2400,"OrderedDict([('asap', 'ABE-0007911'), ('ecogene', 'EG10407'), ('ncbigene', '946906'), ('ncbigi', 'gi:16130330'), ('uniprot', 'P04805')])"
b3993,G_b3993,"OrderedDict([('asap', 'ABE-0013055'), ('ecogene', 'EG11586'), ('ncbigene', '948491'), ('ncbigi', 'gi:16131823'), ('uniprot', 'P30137')])"
b2066,G_b2066,"OrderedDict([('asap', 'ABE-0006840'), ('ecogene', 'EG11701'), ('ncbigene', '946597'), ('ncbigi', 'gi:90111379'), ('uniprot', 'P0A8F4')])"
b0238,G_b0238,"OrderedDict([('asap', 'ABE-0000814'), ('ecogene', 'EG10414'), ('ncbigene', '944817'), ('ncbigi', 'gi:16128224'), ('uniprot', 'P0A9M5')])"
b0125,G_b0125,"OrderedDict([('asap', 'ABE-0000440'), ('ecogene', 'EG20098'), ('ncbigene', '946624'), ('ncbigi', 'gi:90111088'), ('uniprot', 'P0A9M2')])"
b0474,G_b0474,"OrderedDict([('asap', 'ABE-0001645'), ('ecogene', 'EG10032'), ('ncbigene', '945097'), ('ncbigi', 'gi:16128458'), ('uniprot', 'P69441')])"
b2518,G_b2518,"OrderedDict([('asap', 'ABE-0008291'), ('ecogene', 'EG10650'), ('ncbigene', '945611'), ('ncbigi', 'gi:16130443'), ('uniprot', 'P0A763')])"
b1062,G_b1062,"OrderedDict([('asap', 'ABE-0003607'), ('ecogene', 'EG10806'), ('ncbigene', '945787'), ('ncbigi', 'gi:16129025'), ('uniprot', 'P05020')])"
b1281,G_b1281,"OrderedDict([('asap', 'ABE-0004304'), ('ecogene', 'EG10809'), ('ncbigene', '947121'), ('ncbigi', 'gi:16129242'), ('uniprot', 'P08244')])"
b0720,G_b0720,"OrderedDict([('asap', 'ABE-0002451'), ('ecogene', 'EG10402'), ('ncbigene', '945323'), ('ncbigi', 'gi:16128695'), ('uniprot', 'P0ABH7')])"
b1136,G_b1136,"OrderedDict([('asap', 'ABE-0003823'), ('ecogene', 'EG10489'), ('ncbigene', '945702'), ('ncbigi', 'gi:16129099'), ('uniprot', 'P08200')])"
b1241,G_b1241,"OrderedDict([('asap', 'ABE-0004164'), ('ecogene', 'EG10031'), ('ncbigene', '945837'), ('ncbigi', 'gi:16129202'), ('uniprot', 'P0A9Q7')])"
b0351,G_b0351,"OrderedDict([('asap', 'ABE-0001207'), ('ecogene', 'EG13625'), ('ncbigene', '945008'), ('ncbigi', 'gi:16128336'), ('uniprot', 'P77580')])"
b4069,G_b4069,"OrderedDict([('asap', 'ABE-0013337'), ('ecogene', 'EG11448'), ('ncbigene', '948572'), ('ncbigi', 'gi:16131895'), ('uniprot', 'P27550')])"
b2502,G_b2502,"OrderedDict([('asap', 'ABE-0008238'), ('ecogene', 'EG11403'), ('ncbigene', '946970'), ('ncbigi', 'gi:16130427'), ('uniprot', 'P0AFL6')])"
b4226,G_b4226,"OrderedDict([('asap', 'ABE-0013824'), ('ecogene', 'EG10755'), ('ncbigene', '948748'), ('ncbigi', 'gi:16132048'), ('uniprot', 'P0A7A9')])"
b2744,G_b2744,"OrderedDict([('asap', 'ABE-0009008'), ('ecogene', 'EG11817'), ('ncbigene', '947211'), ('ncbigi', 'gi:16130651'), ('uniprot', 'P0A840')])"
b3403,G_b3403,"OrderedDict([('asap', 'ABE-0011106'), ('ecogene', 'EG10688'), ('ncbigene', '945667'), ('ncbigi', 'gi:16131280'), ('uniprot', 'P22259')])"
b1479,G_b1479,"OrderedDict([('asap', 'ABE-0004931'), ('ecogene', 'EG10948'), ('ncbigene', '946031'), ('ncbigi', 'gi:90111281'), ('uniprot', 'P26616')])"
b1190,G_b1190,"OrderedDict([('asap', 'ABE-0003997'), ('ecogene', 'EG11408'), ('ncbigene', '945754'), ('ncbigi', 'gi:16129153'), ('uniprot', 'P29012')])"
b4053,G_b4053,"OrderedDict([('asap', 'ABE-0013272'), ('ecogene', 'EG10001'), ('ncbigene', '948564'), ('ncbigi', 'gi:16131879'), ('uniprot', 'P0A6B4')])"
b2379,G_b2379,"OrderedDict([('asap', 'ABE-0007850'), ('ecogene', 'EG14198'), ('ncbigene', '946850'), ('ncbigi', 'gi:16130311'), ('uniprot', 'P77434')])"
b2290,G_b2290,"OrderedDict([('asap', 'ABE-0007560'), ('ecogene', 'EG14101'), ('ncbigene', '946772'), ('ncbigi', 'gi:16130225'), ('uniprot', 'P0A959')])"
b3564,G_b3564,"OrderedDict([('asap', 'ABE-0011637'), ('ecogene', 'EG11075'), ('ncbigene', '948133'), ('ncbigi', 'gi:16131435'), ('uniprot', 'P09099')])"
b0063,G_b0063,"OrderedDict([('asap', 'ABE-0000223'), ('ecogene', 'EG10053'), ('ncbigene', '946017'), ('ncbigi', 'gi:16128057'), ('uniprot', 'P08204')])"
b3752,G_b3752,"OrderedDict([('asap', 'ABE-0012266'), ('ecogene', 'EG10818'), ('ncbigene', '948260'), ('ncbigi', 'gi:16131620'), ('uniprot', 'P0A9J6')])"
b3926,G_b3926,"OrderedDict([('asap', 'ABE-0012825'), ('ecogene', 'EG10398'), ('ncbigene', '948423'), ('ncbigi', 'gi:16131764'), ('uniprot', 'P0A6F3')])"
b4383,G_b4383,"OrderedDict([('asap', 'ABE-0014377'), ('ecogene', 'EG10220'), ('ncbigene', '948910'), ('ncbigi', 'gi:16132200'), ('uniprot', 'P0A6K6')])"
b0928,G_b0928,"OrderedDict([('asap', 'ABE-0003150'), ('ecogene', 'EG10096'), ('ncbigene', '945553'), ('ncbigi', 'gi:16128895'), ('uniprot', 'P00509')])"
b2930,G_b2930,"OrderedDict([('asap', 'ABE-0009615'), ('ecogene', 'EG11245'), ('ncbigene', '947410'), ('ncbigi', 'gi:16130831'), ('uniprot', 'P21437')])"
b4232,G_b4232,"OrderedDict([('asap', 'ABE-0013842'), ('ecogene', 'EG10283'), ('ncbigene', '948753'), ('ncbigi', 'gi:16132054'), ('uniprot', 'P0A993')])"
b3697,G_b3697,"OrderedDict([('asap', 'ABE-0012086'), ('ecogene', 'EG11195'), ('ncbigene', '948204'), ('ncbigi', 'gi:16131565'), ('uniprot', 'P0A8Y5')])"
b3925,G_b3925,"OrderedDict([('asap', 'ABE-0012821'), ('ecogene', 'EG11517'), ('ncbigene', '948424'), ('ncbigi', 'gi:16131763'), ('uniprot', 'P0A9C9')])"
b3430,G_b3430,"OrderedDict([('asap', 'ABE-0011204'), ('ecogene', 'EG10379'), ('ncbigene', '947942'), ('ncbigi', 'gi:16131304'), ('uniprot', 'P0A6V1')])"
b1854,G_b1854,"OrderedDict([('asap', 'ABE-0006182'), ('ecogene', 'EG10803'), ('ncbigene', '946527'), ('ncbigi', 'gi:16129807'), ('uniprot', 'P21599')])"
b1676,G_b1676,"OrderedDict([('asap', 'ABE-0005600'), ('ecogene', 'EG10804'), ('ncbigene', '946179'), ('ncbigi', 'gi:16129632'), ('uniprot', 'P0AD61')])"
b2708,G_b2708,"OrderedDict([('asap', 'ABE-0008902'), ('ecogene', 'EG10973'), ('ncbigene', '947587'), ('ncbigi', 'gi:90111480'), ('uniprot', 'P17115')])"
b3197,G_b3197,"OrderedDict([('asap', 'ABE-0010504'), ('ecogene', 'EG12803'), ('ncbigene', '947734'), ('ncbigi', 'gi:16131087'), ('uniprot', 'P45395')])"
b0071,G_b0071,"OrderedDict([('asap', 'ABE-0000259'), ('ecogene', 'EG11575'), ('ncbigene', '945642'), ('ncbigi', 'gi:16128065'), ('uniprot', 'P30126')])"
b0072,G_b0072,"OrderedDict([('asap', 'ABE-0000261'), ('ecogene', 'EG11576'), ('ncbigene', '945076'), ('ncbigi', 'gi:16128066'), ('uniprot', 'P0A6A6')])"
b0077,G_b0077,"OrderedDict([('asap', 'ABE-0000290'), ('ecogene', 'EG10500'), ('ncbigene', '948793'), ('ncbigi', 'gi:90111084'), ('uniprot', 'P00893')])"
b0078,G_b0078,"OrderedDict([('asap', 'ABE-0000294'), ('ecogene', 'EG10499'), ('ncbigene', '947267'), ('ncbigi', 'gi:16128071'), ('uniprot', 'P00894')])"
b3671,G_b3671,"OrderedDict([('asap', 'ABE-0011999'), ('ecogene', 'EG10494'), ('ncbigene', '948182'), ('ncbigi', 'gi:16131541'), ('uniprot', 'P08142')])"
b3670,G_b3670,"OrderedDict([('asap', 'ABE-0011997'), ('ecogene', 'EG10502'), ('ncbigene', '948183'), ('ncbigi', 'gi:16131540'), ('uniprot', 'P0ADF8')])"
b0908,G_b0908,"OrderedDict([('asap', 'ABE-0003095'), ('ecogene', 'EG10073'), ('ncbigene', '945528'), ('ncbigi', 'gi:16128875'), ('uniprot', 'P0A6D3')])"
b1263,G_b1263,"OrderedDict([('asap', 'ABE-0004241'), ('ecogene', 'EG11027'), ('ncbigene', '945109'), ('ncbigi', 'gi:16129224'), ('uniprot', 'P00904')])"
b1264,G_b1264,"OrderedDict([('asap', 'ABE-0004244'), ('ecogene', 'EG11028'), ('ncbigene', '945846'), ('ncbigi', 'gi:16129225'), ('uniprot', 'P00895')])"
b2599,G_b2599,"OrderedDict([('asap', 'ABE-0008545'), ('ecogene', 'EG10707'), ('ncbigene', '947081'), ('ncbigi', 'gi:16130520'), ('uniprot', 'P0A9J8')])"
b2600,G_b2600,"OrderedDict([('asap', 'ABE-0008547'), ('ecogene', 'EG11039'), ('ncbigene', '947115'), ('ncbigi', 'gi:16130521'), ('uniprot', 'P07023')])"
b2329,G_b2329,"OrderedDict([('asap', 'ABE-0007693'), ('ecogene', 'EG10075'), ('ncbigene', '946814'), ('ncbigi', 'gi:16130264'), ('uniprot', 'P12008')])"
b1262,G_b1262,"OrderedDict([('asap', 'ABE-0004238'), ('ecogene', 'EG11026'), ('ncbigene', '945519'), ('ncbigi', 'gi:635341464'), ('uniprot', 'P00909')])"
b2779,G_b2779,"OrderedDict([('asap', 'ABE-0009110'), ('ecogene', 'EG10258'), ('ncbigene', '945032'), ('ncbigi', 'gi:16130686'), ('uniprot', 'P0A6P9')])"
