,kcat,data_type,MW,kcat_MW
ALATA_D2_num1,112645.641475366,fill,90634.0,4474306.654360589
CPPPGO,42903.75,Database,68646.0,2250000.0
GTHOr,60.0,Database,97546.0,2214.33990117483
DHORD5,112645.641475366,fill,36775.0,11027173.604658533
GLYCTO2,112645.641475366,fill,137283.0,2953929.5419776486
GLYCTO3,112645.641475366,fill,137283.0,2953929.5419776486
GLYCTO4,112645.641475366,fill,137283.0,2953929.5419776486
PFK_3,20.76233333333333,Brenda_SA,139368.0,536.3096263130705
TRPS2,2.50625,Database,143414.0,62.91226797941622
G3PD5_num1,112645.641475366,fill,148423.0,2732220.1364432573
LEUTAi_num1,0.08,Database,204564.0,1.40787235290667
SHK3Dr,184585.9228888889,Database,29414.0,22591600.0
ALATA_L2_num1,112645.641475366,fill,145980.0,2777944.3027217262
MAN6PI,713452.5,Brenda_SA,42850.0,59940000.0
APRAUR,0.3125,Database,80676.0,13.94466755912539
RBFK,2.6733333333333333,Other_species,34734.0,277.07721540853345
ACP1_FMN_num1,7.95,Database,30371.0,942.3463172104967
RBFSb,0.267,Database,70335.0,13.66602687140115
DMATT,0.7394000000000001,Other_species,32160.0,82.76865671641791
GRTT,9.96288888888889,Other_species,32160.0,1115.2487562189056
UPP3S,500.0,Database,27798.0,64752.85991797971
UPPDC1,333.147,Other_species,78496.0,15278.857521402364
TMDPP,132415.635,Database,94414.0,5049000.000000001
HCO3E_num1,3534475.0,Other_species,50194.0,253498625.3337052
IMPC,4.8525,Database,57329.0,304.7148912417799
IMPD,13.0,Database,208088.0,224.90484794894468
ECOAH4_num1,1111.9,Other_species,154144.0,25968.18559269255
GLUTRS,1.5009666666666668,Database,53816.0,100.40657053664336
TMPPP,146.72062499999998,Brenda_SA,23015.0,22950.0
URIK1,324706.6666666667,Brenda_SA,97412.0,12000000.0
URIK2,324706.6666666667,Brenda_SA,97412.0,12000000.0
CYTDK1,324706.6666666667,Brenda_SA,97412.0,12000000.0
CYTDK2,324706.6666666667,Brenda_SA,97412.0,12000000.0
XPPT,131.0,Other_species,67884.0,6947.145129927523
HXPRT_num1,5.3749,Other_species,67884.0,285.03977373165986
NDPK5_num1,890.0,Other_species,23586.0,135843.29687102517
DHORTS,419978.7166666667,Database,77654.0,19470000.0
OMPDC,25.0,Database,52700.0,1707.7798861480076
CS,78.0,Brenda_SA,288090.0,974.6954076850984
ICDHyr,130.31428571428572,Other_species,91514.0,5126.33508065901
ACALD_num1,15.7,Other_species,33442.0,1690.0903056037318
ACS,930.6181818181818,Other_species,72094.0,46470.23961141641
PPA_num1,102.92384615384616,Other_species,116272.0,3186.716029257656
PPCK,34.982,Database,59643.0,2111.483325788441
ME1,82.7,Brenda_SA,252788.0,1177.7457790717913
ALAR_num1,42.338,Database,38845.0,3923.717338138757
ALATA_L_num1,76.44800000000001,Other_species,91034.0,3023.1869411428697
XYLK_num1,3427.5,Database,61089.0,201983.9905711339
RBK,11.399090909090908,Other_species,64582.0,635.4205083882084
GLYK,1424768.5822222224,Brenda_SA,224924.0,22804000.0
PPM,58235.625,Brenda_SA,44370.0,4725000.0
ASPTA_num1,271.1433333333333,Database,87146.0,11200.927179675486
FBP_num1,19.016666666666666,Database,68646.0,997.2904466392798
GLGC,370.0,Brenda_SA,194792.0,6838.063164811697
PYK_num1,135.5,Database,205428.0,2374.5545884689527
A5PISO_num1,131.625,Database,140784.0,3365.7944084555065
IPPMIb,3.2,Other_species,72369.0,159.18418107200597
ACHBS_num1,38.82857142857143,Database,71547.0,1953.7207310279557
ACLS_num1,44.75,Database,80961.0,1989.8469633527252
PSCVT,24.6285905,Brenda_SA,46096.0,1923.4407714335305
ANS,3.7,Database,228728.0,58.235108950369
ANPRT,4.4,Database,113740.0,139.26499032882012
CHORM_num1,147457.6457894737,Database,86222.0,6156752.625108502
CHORS,38615.17333333333,Brenda_SA,156548.0,888000.0
IGPS,6.7,Database,49492.0,487.3514911500849
ECOAH6_num1,1111.9,Other_species,154144.0,25968.18559269255
ENO,318063.1666666667,Brenda_SA,91310.0,12540000.0
FBA_num1,64.5,Other_species,78294.0,2965.7445014943673
MGSA,140.7,Database,101514.0,4989.65659908978
PPS,1468762.275,Brenda_SA,174870.0,30237000.0
PGI,436042.6,Brenda_SA,123060.0,12756000.0
PGK,1480.0,Brenda_SA,41118.0,129578.28688165768
EDA,72.15063,Database,66852.0,3885.332794830372
PGL,14.3,Other_species,36308.0,1417.8693400903385
RPE,2.0,Other_species,24554.0,293.2312454182618
TALA_num1,13.0,Other_species,70438.0,664.4140946648116
TKT1_num1,25661.335384615384,Other_species,144424.0,639649.9708124369
G6PDA,259.04285714285714,Database,178644.0,5220.182517824756
ALCD2x_num1,139.05093333333335,Other_species,96127.0,5207.520883830766
ALDD2y_num1,16.2793,Other_species,29410.0,1992.7058823529408
RMI,149.78181818181818,Other_species,188796.0,2856.069754944732
FMNAT,0.44314833,Other_species,34734.0,45.930039385040594
NADDP_num1,2.045,Database,59378.0,123.98531442621848
NMNAT_num1,6.710302095833333,Other_species,189384.0,127.55611638258776
HMPK1_num1,0.3575,Database,28634.0,44.94656701823008
NDPK6_num1,890.0,Other_species,23586.0,135843.29687102517
NDPK8_num1,890.0,Other_species,23586.0,135843.29687102517
PYNP2r,319978.28500000003,Database,162954.0,7069000.0
DURIPP_num1,50.61333333333334,Database,94414.0,1929.8832800220307
CYSDS_num1,59.15405882352941,Database,172848.0,1232.0339938252446
TRPAS2,5.6,Database,211092.0,95.5033824114604
NDP3_num1,819.9714,Other_species,17433.0,169328.1156427465
CDPPH,0.763,Other_species,35353.0,77.69637654513053
NDP7,41.144000000000005,Other_species,35353.0,4189.698186858259
PMDPHT_num1,2.3666667666666665,Other_species,30196.0,282.15658895217905
ILETA,48.0,Brenda_SA,204564.0,844.7234117440019
VALTA,19.0,Database,204564.0,334.3696838153341
ORPT,272644.00444444444,Brenda_SA,47134.0,20824000.0
RBFSa,0.137665,Database,193884.0,2.556136659033237
DHAD2,773580.5034666667,Brenda_SA,131064.0,21248320.0
G1PP_num1,117.0,Database,22732.0,18528.94597923632
PFL_num1,11.9,Database,118390.0,361.8548863924318
FRD2,112645.641475366,fill,121217.0,3345440.8978222325
POX,112645.641475366,fill,248044.0,1634888.6056962376
PTAr_num1,52.2,Database,463032.0,405.8466801430571
ACKr_num1,972.5555555555557,Database,84868.0,41254.65428665693
UDCPDPS,2.5,Database,56888.0,158.20559696245255
TDSK,592556.85,Brenda_SA,35589.0,59940000.0
NTPP1_num1,25.245,Other_species,14927.0,6088.430361090641
NTPP2_num1,248.9430952857143,Other_species,14927.0,60038.53038310253
NTPTP1,4000.0,Database,237532.0,60623.4107404476
NTPTP2,112645.641475366,fill,237532.0,1707240.747820578
IPMD_num1,37.735,Database,79034.0,1718.8298706885644
AIRC3,15.6,Database,142240.0,394.8256467941507
ADSL2r,36286.272,Brenda_SA,206172.0,633599.9999999999
PUNP5_num1,929.3814285714286,Other_species,29835.0,112142.55548373197
PUNP6_num1,50.61333333333334,Other_species,51900.0,3510.751445086705
PUNP7,50.61333333333334,Brenda_SA,29835.0,6107.18954248366
RNDR1_num1,8.115,Database,274139.0,106.56637691098312
RNDR3_num1,8.115,Database,270391.0,108.04353695204352
RNDR4_num1,8.115,Database,270391.0,108.04353695204352
TMDS,0.98,Database,60960.0,57.874015748031496
TMDK1,565626.46,Brenda_SA,93828.0,21702000.0
PPCDC,0.8333333,Database,86876.0,34.53197522906211
DHQTi,29.53,Database,54934.0,1935.1949612261988
PUNP1,38.785,Brenda_SA,51900.0,2690.289017341041
PUNP2,50.61333333333334,Database,51900.0,3510.751445086705
PUNP3_num1,50.61333333333334,Other_species,29835.0,6107.18954248366
LYSAM,0.083,Database,38750.0,7.710967741935484
DHAD1,773580.5034666667,Brenda_SA,131064.0,21248320.0
IPPMIa,3.2,Other_species,72369.0,159.18418107200597
G3PD7,33.3,Database,148423.0,807.6915302884323
NADH9_num1,112645.641475366,fill,40340.0,10052660.12174808
NADH10_num1,112645.641475366,fill,40340.0,10052660.12174808
MDH,2069568.0,Database,64674.0,115200000.0
FUM_num1,711.94,Database,120210.0,21320.888445220862
PYDXNK,0.3,Database,61694.0,17.50575420624372
PYAM5PO,14.86,Database,51090.0,1047.0933646506166
OHPBAT,16450.602025,Database,79566.0,744315.0
GLUTRR,0.1433333333333333,Database,92614.0,5.571511866456476
GLCS1,439743.15,Brenda_SA,52822.0,29970000.0
GLCP_num1,112645.641475366,fill,93173.0,4352380.081260854
ADMDC,253177.94833333333,Brenda_SA,30385.0,29996400.0
AGMT,1.516,Other_species,33557.0,162.63670769139077
ARGDC,626673.0559375,Database,168850.0,13361107.5
SPMS,0.14,Database,64642.0,7.796788465703414
G1SAT,0.51,Other_species,90732.0,20.235418595423887
KDOCT2,387401.4083333333,Database,27614.0,50505000.0
OAADC,1475.2007999999998,Brenda_SA,66852.0,79439.99999999999
MNNH,0.81,Database,44838.0,65.03412284223204
GUI1,196.0,Database,53987.0,13069.813103154464
PGAMT,2.06896,Database,47544.0,156.66027258960122
UAGDP,137.22307692307692,Database,147570.0,3347.5847185950865
UAGCVT,3.78,Database,44818.0,303.62800660448926
GLUR,43.33,Database,31002.0,5031.546351848268
UAG2E,3.625,Database,84490.0,154.45614865664575
ICHORS_copy1,1.632,Database,42932.0,136.84897046492128
HACD5_num1,2296.72225,Database,159188.0,51939.845340101005
HPPK2,999.0,Database,18079.0,198926.9317993252
PTPATi,28004.09,Brenda_SA,107022.0,942000.0
HEX7,14.0,Database,32500.0,1550.7692307692307
DXPRIi,1931.7574444444444,Brenda_SA,86776.0,80141.131188347
GHMT2r,81.31370333333334,Brenda_SA,90634.0,3229.796014740605
DHORD2,112645.641475366,fill,36775.0,11027173.604658533
ADK4,112645.641475366,fill,23586.0,17193432.93951147
ABTA_num1,47.4,Database,183100.0,931.9497542326598
SSALx,22.6,Database,99436.0,818.2147310833099
ASPT,180.0,Brenda_SA,209424.0,3094.201237680495
SERD_L_num1,326.683,Database,211092.0,5571.309192200557
THRD_num1,135.0,Database,148956.0,3262.7084508176918
KARA1,0.51,Database,216276.0,8.489152749264829
KARA2,6848.74,Database,216276.0,114000.0
ACCOAC,30.1,Other_species,151259.0,716.387124071956
NADK,78.33333333333333,Brenda_SA,195396.0,1443.2229933059018
ICHORS_copy2,1.632,Database,97530.0,60.239926176561056
SUCBZS,19.0,Database,35477.0,1928.0096964230347
DHBD,17.339363636363636,Database,105000.0,594.4924675324676
ICHORT,10.0,Database,32554.0,1105.854887264238
RBK_L1,40.42,Database,61089.0,2381.9672936207826
RBP4E_num1,17.78911111111111,Database,25278.0,2533.459925627028
NTD2_num1,34.2,Database,25301.0,4866.2108217066525
