,MW
ALATA_D2_num1,90.6332
ALATA_D2_num2,145.9788
SHCHD2,99.9028
CPPPGO,68.6453
GTHOr,97.545
DHORD5,36.7745
GLYCTO2,137.2828
GLYCTO3,137.2828
GLYCTO4,137.2828
PFK_3,139.3682
TRPS2,143.4143
G3PD5_num1,148.4235
G3PD5_num2,113.5011
LEUTAi_num1,204.5619
LEUTAi_num2,87.0756
SHK3Dr,29.4136
SHK3Dr_reverse,62.4556
G5SD,178.5202
ALATA_L2_num1,145.9788
ALATA_L2_num2,90.6332
MAN6PI,42.85
APRAUR,80.6766
DB4PS,46.7069
RBFK,34.7343
ACP1_FMN_num1,30.3709
ACP1_FMN_num2,27.1218
ACP1_FMN_num3,30.1962
RBFSb,70.3347
DMATT,32.1596
GRTT,32.1596
UPP3S,27.7979
UPPDC1,39.2481
TMDPP,94.4142
HCO3E_num1,100.3871
HCO3E_num2,47.5285
IMPC,57.3292
IMPD,208.0898
ECOAH4_num1,77.0722
ECOAH4_num2,159.1878
GLUTRS,53.8157
TMPPP,23.0153
URIK1,24.3531
URIK2,24.3531
CYTDK1,24.3531
CYTDK2,24.3531
XPPT,67.8824
HXPRT_num1,67.8824
HXPRT_num2,80.461
NDPK5_num1,23.586
NDPK5_num2,61.8538
DHORTS,77.6548
OMPDC,52.7005
CS,288.0899
ICDHyr,91.5134
ACALD_num1,33.4425
ACALD_num2,3845.0896
ACS,72.0936
PPA_num1,116.2719
PPA_num2,26.9004
PPA_num3,118.2214
PPCK,59.6435
ME1,252.7893
ALAR_num1,77.6892
ALAR_num2,78.3059
ALATA_L_num1,91.0347
ALATA_L_num2,92.4324
XYLK_num1,122.1788
XYLK_num2,105.2365
RBK,64.581
GLYK,224.9231
PPM,44.37
ASPTA_num1,87.1467
ASPTA_num2,87.0756
FBP_num1,68.6469
FBP_num2,147.3357
FBP_num3,71.7046
FBP_num4,29.7211
GLGC,194.7906
PYK_num1,205.4286
PYK_num2,202.9177
A5PISO_num1,140.7843
A5PISO_num2,136.1257
IPPMIb,72.3693
ACHBS_num1,143.0927
ACHBS_num2,161.9222
ACLS_num1,161.9222
ACLS_num2,143.0927
PSCVT,46.0958
ANS,228.7288
ANPRT,113.7399
CHORM_num1,86.2227
CHORM_num2,84.085
CHORS,156.5498
IGPS,49.4923
ECOAH6_num1,77.0722
ECOAH6_num2,159.1878
ENO,91.3099
FBA_num1,78.2945
FBA_num2,381.0919
MGSA,101.5115
PPS,174.8702
PGI,123.0595
PGK,41.1182
EDA,66.8521
PGL,36.3076
RPE,24.5542
TALA_num1,70.4385
TALA_num2,35.6588
TKT1_num1,144.4235
TKT1_num2,73.0427
G6PDA,178.6452
ALCD2x_num1,3845.0896
ALCD2x_num2,141.5183
ALDD2y_num1,29.4102
ALDD2y_num2,84.194
ALDD2y_num3,225.2254
ALDD2y_num4,31.488
ALDD2y_num5,36.5018
RMI,188.7978
FMNAT,34.7343
NADDP_num1,59.3779
NADDP_num2,73.6061
NMNAT_num1,189.3833
NMNAT_num2,24.528
HMPK1_num1,114.5344
HMPK1_num2,61.6948
NDPK6_num1,23.586
NDPK6_num2,61.8538
NDPK8_num1,23.586
NDPK8_num2,61.8538
PYNP2r,162.9545
DURIPP_num1,94.4142
DURIPP_num2,155.6995
PTRCTA,99.3227
CYSDS_num1,172.8495
CYSDS_num2,211.0938
TRPAS2,211.0938
NDP3_num1,17.4329
NDP3_num2,35.3527
CDPPH,35.3527
NDP7,35.3527
PMDPHT_num1,30.1962
PMDPHT_num2,27.1218
ILETA,204.5619
VALTA,204.5619
ORPT,47.134
RBFSa,969.3906
DHAD2,131.0631
G1PP_num1,22.7318
G1PP_num2,23.0075
G1PP_num3,29.7211
PFL_num1,118.3894
PFL_num2,198.9187
PFL_num3,114.1398
PFL_num4,213.2029
FRD2,121.2166
FRD3,121.2166
POX,248.0455
PTAr_num1,463.0325
PTAr_num2,72.1335
ACKr_num1,42.4337
ACKr_num2,43.2904
ACKr_num3,43.3841
MOAT,47.2911
UDCPDPS,56.8883
USHD,26.8942
LPADSS,84.7649
TDSK,35.5893
NTPP1_num1,14.9271
NTPP1_num2,60.8246
NTPP2_num1,14.9271
NTPP2_num2,60.8246
NTPTP1,356.2976
NTPTP2,356.2976
