,MW,kcat,kcat_MW
ALATA_D2_num1,90.6332,9300.5069976,102.61699904229354
ALATA_D2_num2,145.9788,9300.5069976,63.71135396098611
SHCHD2,99.9028,1224.0,12.251908855407455
CPPPGO,68.6453,900.0,13.110875762798036
GTHOr,97.545,25901.6161428,265.53504682761803
DHORD5,36.7745,38657.174040000005,1051.195095514555
GLYCTO2,137.2828,50485.468176,367.7479493133881
GLYCTO3,137.2828,57086.121564,415.8286512512856
GLYCTO4,137.2828,117077.842044,852.8223640834831
PFK_3,139.3682,208800.0,1498.1896874609847
TRPS2,143.4143,9309.2050944,64.91127519640649
G3PD5_num1,148.4235,60326.17992,406.4462832368189
G3PD5_num2,113.5011,60326.17992,531.5030419969498
LEUTAi_num1,204.5619,54098.622612,264.46089233625617
LEUTAi_num2,87.0756,54098.622612,621.2833745848435
SHK3Dr,29.4136,46104.63948,1567.459932820192
SHK3Dr_reverse,62.4556,29504.424816,472.4063945586945
G5SD,178.5202,50400.0,282.3209922462556
ALATA_L2_num1,145.9788,22488.0471504,154.05008912527023
ALATA_L2_num2,90.6332,22488.0471504,248.12151783673087
MAN6PI,42.85,39462.133968,920.9366153558926
APRAUR,80.6766,1152.0,14.279233383657717
DB4PS,46.7069,1224.0,26.205978131710733
RBFK,34.7343,324.0,9.327955364006185
ACP1_FMN_num1,30.3709,23467.2357204,772.6881890362156
ACP1_FMN_num2,27.1218,23467.2357204,865.2536232993385
ACP1_FMN_num3,30.1962,23467.2357204,777.1585736085997
RBFSb,70.3347,108.0,1.5355151866717285
DMATT,32.1596,432.0,13.433002898045997
GRTT,32.1596,432.0,13.433002898045997
UPP3S,27.7979,3600.0,129.50618571906512
UPPDC1,39.2481,2916.0,74.2965901534087
TMDPP,94.4142,30479.0006232,322.8222091931087
HCO3E_num1,100.3871,32760.0,326.33675043905043
HCO3E_num2,47.5285,32760.0,689.2706481374333
IMPC,57.3292,17248.074814800002,300.86020413332125
IMPD,208.0898,6480.0,31.14040188418653
ECOAH4_num1,77.0722,41618.871828,539.9984926860789
