,kcat,MW,kcat_MW
AADDGT,49389.2889,40.6396,1215.299582180927
GALCTND,75632.85923999999,42.5229,1778.63831582512
DDPGALA,144563.54,21.3906,6758.274195207241
FRULYSE,80324.38012,249.3506,322.1342965286629
GLYCTO2,42109.98399,137.2828,306.73896504150554
GLYCTO4,39922.15732,137.2828,290.8023242532932
GLYCTO3,35660.771960000005,137.2828,259.7613973491217
NTP12,113417.3403,36.4253,3113.6968068897168
NTP11,64119.306670000005,36.4253,1760.2959116328489
NMNAT,74970.94162,24.528,3056.5452389106326
PSP_L,25740.0,35.0427,734.532441849515
LIPATPT,51956.8352,37.9259,1369.956552118737
LIPAMPL,45757.07137,37.9259,1206.4861050100328
OCTNLL,37293.2169,37.9259,983.3179146704495
PUNP6,7236.0,155.6995,46.474137681880805
PUNP1,11880.0,155.6995,76.3008230598043
PUNP2,7236.0,155.6995,46.474137681880805
PPM2,57451.685,44.37,1294.831755690782
PPM,54700.952820000006,44.37,1232.8364394861394
DURIPP,7236.0,94.4142,76.64101374581367
TMDPP,6372000.0,94.4142,67489.847925418
DRPA,1875600.0,27.7338,67628.66970988469
NTD2,219600.0,25.3006,8679.636056061912
FEOXAMR1,50387.33356,30.1128,1673.2862291118727
FEOXAMR3,40668.60688,30.1128,1350.5421906963152
FEOXAMR2,33173.239519999996,30.1128,1101.6325124199675
GALCTLO,43695.36217,36.4479,1198.8444374024293
MANAO,54264.70195,53.5802,1012.7752779944831
MNNH,2916.0,44.838,65.03412284223204
2DDARAA,147269.359,32.722,4500.6221807957945
ALDD3y,62142.7853,36.502,1702.4487781491425
IDOND,89391.67791,37.1466,2406.456523881055
IDOND2,62505.59535,37.1466,1682.6733900276204
5DGLCNR,115158.5468,27.5627,4178.057548788762
AMPTASEPG,125176.8017,98.9189,1265.44878380168
OCBT,12420000.0,110.4814,112417.1127447697
TRE6PH,69836.68218999999,63.8377,1093.9724048642101
UM3PL,23303.18852,49.8741,467.24028142863733
UM4PL,23149.30264,49.8741,464.1547945727342
BPNT,384816.3059,27.1759,14160.204662955044
3NTD2pp,219600.0,70.8322,3100.284898676026
3NTD7pp,70615.90918,70.8322,996.9464336841154
3NTD9pp,65736.30566,70.8322,928.0568111678022
23PDE7pp,57178.12738,70.8322,807.2335375718952
23PDE2pp,56631.7194,70.8322,799.5194191342356
23PDE4pp,46958.55042,70.8322,662.9548485011054
23PDE9pp,41562.22692,70.8322,586.7702389591175
FESR,243515.5455,24.8826,9786.579597791228
RBP4E,3078.0,25.2777,121.76740763597954
X5PL3E,67768.18407,32.0066,2117.319055132379
KG6PDC,122552.1848,23.4448,5227.265099297072
ASCBPL,64603.00855,240.364,268.7715654174502
ADSS,4932.0,94.6899,52.08580851812073
NADHXD,83730.22131000001,54.65,1532.1174988106131
NADHXE,64436.45039,54.65,1179.075030009149
NADPHXE,46650.81912,54.65,853.6288951509607
NADPHXD,43473.691419999996,54.65,795.4929811527904
NTP10,118859.4027,36.4253,3263.1001721331054
NTP5,56896.133929999996,39.1933,1451.680106803969
PSD140,86609.39762999999,35.9344,2410.2085363885303
PSD161,68763.00673,35.9344,1913.5704709136648
PSD120,60802.602360000004,35.9344,1692.0444576784366
PSD180,58100.87345,35.9344,1616.8594285698384
PSD181,52448.19702,35.9344,1459.5539933879516
PSD160,45977.23108,35.9344,1279.47679883343
PSD141,39728.71265,35.9344,1105.5899820227971
FRD2,46099.48229,121.2166,380.30667656080107
FRD3,42874.1855,121.2166,353.6989611983837
LYSAM,70678.62186,38.75,1823.9644350967742
ASPT,648000.0,209.4245,3094.193850289723
AP4AS,12240.0,115.6531,105.83373900051102
FUM,4140000.0,120.2106,34439.5585747014
DTARTD,85390.73061,120.2106,710.3427701883195
GALS3,69966.93794,101.3141,690.5942799669543
ARGDC,33046.002360000006,844.2524,39.142325636267074
ARMEPNS,41560.890869999996,101.125,410.9853238071693
CPL,85068.27561,31.845,2671.3228327837965
RPNTPH,99570.0216,42.01,2370.15047845751
R15BPK,59912.85105,20.7296,2890.2077729430375
AMPNTAT,48909.560339999996,16.57,2951.693442365721
PRCPD,52383.268130000004,55.696,940.5211887747774
ALLPI,42204.79456,32.1466,1312.8851747929798
ALLULPE,65270.972420000006,26.1092,2499.9223423161184
ALLK,169200.0,33.8209,5002.823697772678
NTRIR4pp,2520000.0,134.0271,18802.167621324345
NTRIR3pp,2520000.0,134.0271,18802.167621324345
ACCOAL,35660.90217,69.351,514.2089107583164
ACS,27449.794210000004,72.0936,380.7521639923656
NTD4pp,327600.0,60.824,5386.031829540971
NTD9pp,234000.0,60.824,3847.165592529265
NTD7pp,82800.0,60.824,1361.30474812574
NTD5pp,109440.0,60.824,1799.2897540444562
NTD10pp,86629.26194,60.824,1424.2611788109957
NTD8pp,54000.0,60.824,887.8074444298304
PTHRpp,80446.81136,98.8772,813.6032509011178
R5PPpp,17640.0,98.8772,178.40311012043222
G2PPpp,10440.0,98.8772,105.58551415290886
PSP_Lpp,5148.0,98.8772,52.064581116779195
TYRPpp,79114.141,104.4142,757.695227277516
DAGK161,106488.7048,39.734,2680.039885236825
DAGK160,77870.24113,39.734,1959.7886225902248
DAGK120,77868.12307,39.734,1959.735316605426
DAGK181,74703.88495,39.734,1880.099787335783
DAGK140,73932.06155,39.734,1860.6750276840992
DAGK180,26709.94234,39.734,672.2188136105099
DAGK141,25319.28212,39.734,637.2195630945789
HBZOPT,30560.63733,32.5118,939.9860152313929
CHRPL,48773.4676,18.7769,2597.5250227673364
PGI,33271789.85,123.0595,270371.56700620434
METS,35434.77297,84.6735,418.48716505163947
ICL,87563.55464,190.0863,460.6515810976383
MALS,173160.0,60.2736,2872.8995779246634
HSST,18828.0,71.4546,263.49598206413583
AICART,68360.17631,57.3292,1192.4146213447946
IMPC,34055.27666,57.3292,594.0302090383261
PRAGSr,40855.80557,45.9404,889.3219382068942
UPPDC1,85333.97581,39.2481,2174.2192822072916
NADDP,5371200.0,59.3779,90457.8976353155
AMPMS2,24212.05023,70.8504,341.7348417228414
TMPPP,93217.85083,23.0153,4050.25573553245
THZPSN3,21620.38816,600.7306,35.99015625306918
TYRL,40470.8694,26.8961,1504.7114414357472
PNTK,4104.0,72.7196,56.43595399314628
UAPGR,58905.76701,37.851,1556.2539169374654
GLUR,43801.2,31.002,1412.8507838203986
NADTRHD,85448.04568,412.4831,207.15526449447262
ARGSL,118035.1835,50.3182,2345.775156901479
ACGK,138974.7649,54.3191,2558.4879885712394
AGPR,117176.335,35.9521,3259.2347873976764
ACODA,13680000.0,84.6947,161521.32305799538
PPC,1944000.0,396.2504,4905.988738434081
ALR4x,93034.76867,309.6976,300.4051974248428
APPLDHr,81350.94415,309.6976,262.67863925971653
GLYCDx,61920.0,309.6976,199.9369707740712
LALDO2x,56829.24763,309.6976,183.4991541103321
MTHFR2,67885.57445,132.4109,512.6887170920219
ASPK,486000.0,97.0635,5007.031479392356
HSDy,864.0,177.7754,4.86006500336942
SHSL1,597600.0,166.2016,3595.633255034849
DHNAOT4,46440.563689999995,33.594,1382.406491933083
GLYK,46937.0907,224.9231,208.6806143966538
