id,Flux value,Flux norm
PGI,75,7.51
PFK,85,8.45
FBA,85,8.45
TPI,84,8.4
GAPD,174,17.48
PGK_reverse,174,17.48
PGM_reverse,166,17.48
ENO,166,16.6
PYK,128,12.85
PDH,128,12.84
CS,77,7.65
ACONTa,51,5.12
ACONTb,51,5.12
ICDHyr,51,5.12
AKGDH,45,4.48
SUCOAS_reverse,45,4.48
SUCDi,70,7
FUM,70,7
MDH,53,5.3
ICL,25,2.53
MALS,25,2.53
PPC,58,5.8
ME2,43,4.3
G6PDH2r,23,2.37
PGL,23,2.37
GND,21.1,2.11
RPI_reverse,11,1.1
RPE,10,0.98
TKT1,6,0.06
TALA,4,0.04
TKT2,6,0.06
PGCD,8,0.88
PSERT,7,0.88
PSP_L,15.7,1.57
GHMT2r,15.7,1.57
PFL,28.8,2.88
PTAr,33,3.31
ACKr_reverse,33,3.31
