gene,abundance
b0789,1.1
b1341,25.2
b1475,2.97
b4161,58
b2429,1.13
b0588,16.9
b2342,22.4
b4358,0.03
b2168,78.9
b2465,416
b3425,6.61
b1800,1.66
b4033,1.43
b1440,890
b1761,544
b1912,25.3
b0997,0.224
b0394,116
b3877,0
b0575,4.27
b0420,53.9
b0594,58.5
b0415,1116
b0844,8.25
b1589,3.26
b1193,4.54
b3390,171
b0007,0.01
b0116,1087
b1106,0.639
b3617,79.9
b0120,50
b2279,70.5
b0383,3.96
b4119,10.1
b1396,0.038
b4266,3.81
b3114,22.4
b3734,1243
b0032,287
b0155,1.07
b4240,6.82
b4014,1609
b0036,0.658
b3612,201
b2065,107
b1002,357
b0862,5.63
b3639,82.5
b2041,101
b1296,0
b0931,108
b2464,1038
b0347,0.016
b2224,0.396
b2976,302
b0849,54.4
b4025,610
b1319,0.639
b2490,0
b0335,0.172
b1661,62.9
b1441,53
b2344,59.5
b1677,5694
b3012,240
b4106,0.122
b2440,2.78
b1250,14.1
b3091,5.36
b1521,26.5
b4513,0
b2162,0
b1098,32
b3916,431
b3794,7.85
b1636,24.7
b1518,18.1
b1764,146
b0368,0.28
b2871,4.04
b4138,24
b0031,199
b4123,1.73
b2021,160
b3945,79.7
b3790,0.421
b2463,422
b0474,882
b0832,0.595
b0968,75.4
b1489,0.542
b2306,57.6
b0726,373
b0979,0
b2722,0
b0198,13.4
b0514,1.02
b2723,0.008
b0677,87.6
b2925,1372
b1490,27.2
b2500,56.5
b2095,1769
b1198,28.8
b0099,3.13
b3432,75.3
b0641,57.9
b3479,0.848
b2316,250
b0759,127
b3738,13.7
b4265,6.13
b3137,1.11
b3714,2.14
b0451,76.3
b2037,0.28
b2019,233
b1326,21.6
b2234,240
b2882,0.072
b4298,1.78
b2585,243
b4195,1.9
b1592,0
b2957,47.6
b2094,1432
b2254,15.5
b0197,1138
b2371,0
b2483,0
b2032,24.4
b2413,22.1
b3787,4.84
b1993,9.99
b1466,0.925
b3894,13.2
b2529,793
b4478,0.147
b0674,140
b2710,0.173
b0040,0.035
b0721,58.3
b0777,0.526
b2918,0.148
b0142,2.88
b0731,0.035
b1535,1.61
b2472,18.2
b2049,0.416
b1516,374
b0337,170
b3748,130
b0494,36.9
b1727,108
b3386,545
b1227,0.773
b2290,46.6
b0697,0.799
b0974,2.32
b3621,1.15
b0452,71
b2675,31.4
b4383,368
b1832,148
b3909,0.523
b0073,404
b3553,178
b3222,1.83
b2542,0.12
b4467,1.53
b0678,181
b1603,167
b0653,2.18
b1300,1.75
b2235,123
b2047,0.137
b1771,0.175
b0727,542
b0529,75.2
b3426,133
b3200,85.7
b3744,75.6
b3437,12.4
b1854,407
b2914,468
b2247,0.69
b2938,167
b1919,193
b4064,36.9
b3942,750
b2719,0.166
b1634,5.23
b0655,837
b1241,1256
b0675,76
b2682,0.015
b1378,19.2
b0826,4.08
b0839,225
b0115,966
b1338,0.105
b3415,0.762
b2198,0
b1702,397
b3496,0.318
b3128,1.56
b0121,76.1
b3176,257
b1469,2.04
b3241,0.001
b0696,0.171
b0348,0
b3628,1.8
b0365,0.406
b2199,0.045
b0822,18.8
b0433,0.458
b2558,0.025
b2173,2.69
b4260,143
b2170,0
b0078,308
b0088,40.7
b2582,7.69
b3032,46
b3967,8.89
b0654,5.31
b1981,26.9
b2203,0.222
b4098,4.12
b0516,0.432
b1679,10.3
b2810,5.72
b1676,1161
b3653,0.964
b2133,220
b1818,169
b0854,462
b2660,2.06
b3256,172
b3941,364
b0586,57.3
b1389,0
b2400,259
b0174,19.1
b4237,1.2
b1094,2285
b2541,0.002
b0871,291
b4198,0.736
b0785,103
b3774,1595
b0314,0.47
b1621,0.544
b2521,410
b3073,7.91
b3360,2.04
b2036,254
b1337,0.276
b0480,117
b1093,905
b4390,21.1
b2264,2.57
b0632,160
b0886,16.9
b3189,65.9
b1723,179
b1474,1.22
b0160,2.81
b2552,7.52
b0932,208
b1380,151
b2924,186
b2988,48.7
b4120,0.403
b2926,3022
b2200,0.005
b1852,280
b2913,626
b0070,0.016
b4132,0.045
b1113,0.394
b0606,181
b3735,588
b1004,1258
b3607,66.4
b2010,0.189
b1900,0.85
b3726,0.636
b4192,3.81
b1681,17.1
b2975,2.04
b2263,1.08
b4214,260
b0351,4.33
b1025,0.301
b3409,47.3
b0068,157
b3117,21.1
b4460,0.019
b0543,0.443
b0604,20.7
b4209,3.34
b0133,424
b1748,126
b0049,16.6
b0509,0.049
b3478,0.244
b2177,0.772
b0199,78.6
b2034,50.1
b2482,0
b4020,1.15
b0349,1.17
b4024,107
b1261,451
b0150,43.1
b3581,1.88
b3771,43.2
b0651,122
b0978,4.72
b0181,167
b1870,40.1
b2128,1.77
b1525,7.54
b1514,0.475
b3198,78
b1449,196
b3728,330
b3034,106
b1539,399
b2103,232
b3291,128
b0237,467
b1745,1.57
b2029,1060
b1778,279
b2431,113
b0894,3.92
b0123,71.9
b0593,104
b1245,23.5
b2256,2.26
b4005,148
b0029,35.7
b1622,5.41
b1619,447
b0444,43.1
b3040,2.44
b0166,668
b4131,6.11
b0980,3.77
b1602,209
b3610,444
b1021,0
b4386,9.95
b2727,2.09
b1090,9.07
b3849,0.075
b0171,160
b3093,1.16
b1064,383
