No.,reaction ID,max_Dfi_no_fixed_ratio,max_Dfi_fixed_ratio,min_Dfi_no_fixed_ratio,min_Dfi_fixed_ratio
1,INOSTO_reverse,-349.35 ,-349.35 ,-419.46 ,-419.46 
2,SHK3Dr_reverse,-22.64 ,-55.91 ,-131.96 ,-110.57 
3,PCNO,-4.94 ,-38.21 ,-114.26 ,-92.87 
4,E4PD_reverse,7.36 ,-25.91 ,-101.96 ,-80.57 
5,ALDD19xr_reverse,13.56 ,-19.71 ,-95.76 ,-74.37 
6,DXYLTD_reverse,-14.57 ,-14.57 ,-69.23 ,-69.23 
7,RHMND_reverse,-14.57 ,-14.57 ,-69.23 ,-69.23 
8,CBMKr,11.90 ,-9.49 ,-115.23 ,-81.96 
9,GGGABADr_reverse,12.96 ,-8.43 ,-96.36 ,-63.09 
10,DHBD_reverse,25.26 ,-8.01 ,-84.06 ,-62.67 
11,ADK1_reverse,52.96 ,-7.64 ,-56.36 ,-7.64 
12,NADHHR,-1.47 ,-7.41 ,-56.13 ,-56.13 
13,NADHHS,-1.47 ,-7.41 ,-56.13 ,-56.13 
14,HCO3E_reverse,25.48 ,-4.21 ,-23.82 ,-4.21 
15,ALCD19_reverse,17.96 ,-3.43 ,-91.36 ,-58.09 
16,GTHOr_reverse,29.97 ,-3.30 ,-106.68 ,-85.28 
17,G3PD2,30.26 ,-3.01 ,-79.06 ,-57.67 
18,DHFR_reverse,30.66 ,-2.61 ,-78.66 ,-57.27 
19,DSERDHr,31.16 ,-2.11 ,-78.16 ,-56.77 
20,PPM2_reverse,-1.57 ,-1.57 ,-56.23 ,-56.23 
21,NADPHHR,-1.47 ,-1.47 ,-56.13 ,-50.19 
22,NADPHHS,-1.47 ,-1.47 ,-56.13 ,-50.19 
23,5DKGR_reverse,32.16 ,-1.11 ,-77.16 ,-55.77 
24,KARA2_reverse,33.06 ,-0.21 ,-76.26 ,-54.87 
