,kcat,data_type,MW,kcat_MW
ALATA_D2_num1,112645.64147536599,fill,90634,4474306.654360589
CPPPGO,42903.75,Database,68646,2250000.0
GTHOr,60.0,Database,97546,2214.33990117483
DHORD5,112645.64147536599,fill,36775,11027173.604658533
GLYCTO2,112645.64147536599,fill,137283.0,2953929.5419776486
GLYCTO3,112645.64147536599,fill,137283.0,2953929.5419776486
GLYCTO4,112645.64147536599,fill,137283.0,2953929.5419776486
PFK_3,20.762333333333334,Brenda_SA,139368,536.3096263130705
TRPS2,2.5062499999999996,Database,143414.0,62.91226797941622
G3PD5_num1,112645.64147536599,fill,148423.0,2732220.1364432573
LEUTAi_num1,0.08,Database,204564,1.40787235290667
SHK3Dr,184585.9228888889,Database,29414,22591600.0
ALATA_L2_num1,112645.64147536599,fill,145980,2777944.3027217262
MAN6PI,713452.5,Brenda_SA,42850,59940000.0
APRAUR,0.3125,Database,80676,13.94466755912539
RBFK,2.6733333333333333,Other_species,34734,277.07721540853345
ACP1_FMN_num1,7.95,Database,30371,942.3463172104969
RBFSb,0.267,Database,70335,13.66602687140115
DMATT,0.7394000000000001,Other_species,32160,82.76865671641791
GRTT,9.96288888888889,Other_species,32160,1115.2487562189056
UPP3S,500.0,Database,27798,64752.85991797971
UPPDC1,333.147,Other_species,78496,15278.857521402364
TMDPP,132415.635,Database,94414,5049000.000000001
HCO3E_num1,3534475.0,Other_species,50194,253498625.33370522
IMPC,4.8525,Database,57329,304.7148912417799
IMPD,13.0,Database,208088,224.90484794894468
ECOAH4_num1,1111.9,Other_species,154144,25968.18559269255
GLUTRS,1.5009666666666668,Database,53816,100.40657053664337
TMPPP,146.72062499999998,Brenda_SA,23015,22949.999999999996
URIK1,324706.6666666667,Brenda_SA,97412,12000000.0
URIK2,324706.6666666667,Brenda_SA,97412,12000000.0
CYTDK1,324706.6666666667,Brenda_SA,97412,12000000.0
CYTDK2,324706.6666666667,Brenda_SA,97412,12000000.0
XPPT,131.0,Other_species,67884,6947.145129927523
HXPRT_num1,5.3749,Other_species,67884,285.03977373165986
NDPK5_num1,890.0,Other_species,23586,135843.29687102517
DHORTS,419978.7166666667,Database,77654,19470000.0
OMPDC,25.0,Database,52700,1707.7798861480076
CS,78.0,Brenda_SA,288090,974.6954076850984
ICDHyr,130.31428571428572,Other_species,91514,5126.33508065901
ACALD_num1,15.7,Other_species,33442,1690.0903056037318
ACS,930.6181818181818,Other_species,72094,46470.23961141641
PPA_num1,102.92384615384616,Other_species,116272,3186.716029257656
PPCK,34.982,Database,59643,2111.483325788441
ME1,82.7,Brenda_SA,252788,1177.7457790717913
ALAR_num1,42.338,Database,38845,3923.7173381387565
ALATA_L_num1,76.44800000000001,Other_species,91034,3023.1869411428697
XYLK_num1,3427.5,Database,61089,201983.9905711339
RBK,11.399090909090908,Other_species,64582,635.4205083882084
GLYK,1424768.5822222224,Brenda_SA,224924,22804000.0
PPM,58235.625,Brenda_SA,44370,4725000.0
ASPTA_num1,271.1433333333333,Database,87146,11200.927179675486
FBP_num1,19.016666666666666,Database,68646,997.2904466392798
GLGC,370.0,Brenda_SA,194792,6838.063164811697
PYK_num1,135.5,Database,205428,2374.5545884689527
A5PISO_num1,131.625,Database,140784,3365.7944084555065
IPPMIb,3.2,Other_species,72369.0,159.18418107200597
ACHBS_num1,38.82857142857143,Database,71547.0,1953.7207310279555
ACLS_num1,44.75,Database,80961.0,1989.8469633527254
PSCVT,24.6285905,Brenda_SA,46096,1923.4407714335302
ANS,3.7,Database,228728.0,58.235108950368996
ANPRT,4.4,Database,113740,139.26499032882012
CHORM_num1,147457.6457894737,Database,86222,6156752.625108502
CHORS,38615.17333333333,Brenda_SA,156548,888000.0
IGPS,6.7,Database,49492,487.3514911500849
ECOAH6_num1,1111.9,Other_species,154144,25968.18559269255
ENO,318063.1666666667,Brenda_SA,91310,12540000.0
FBA_num1,12.35,Other_species,78294,567.8596061000843
MGSA,140.7,Database,101514,4989.65659908978
PPS,1468762.275,Brenda_SA,174870,30237000.0
PGI,436042.6,Brenda_SA,123060,12756000.0
PGK,1480.0,Brenda_SA,41118,129578.28688165767
