,gpr,ec
ALATA_D2,b2551 or b0870,
SHCHD2,b3368,1.3.1.76
CPPPGO,b2436,1.3.3.3
GTHOr,b3500,1.8.1.7
DHORD5,b0945,
GLYCTO2,b4468 and b2979 and b4467,
GLYCTO3,b4468 and b2979 and b4467,
GLYCTO4,b4468 and b2979 and b4467,
PFK_3,b3916,"['2.7.1.-', '2.7.1.11']"
TRPS2,b1260 and b1261,"['4.2.1.122', '4.2.1.20']"
G3PD5,( b2242 and b2243 and b2241 ) or b3426,
LEUTAi,b3770 or b4054,"['2.6.1.42', '2.6.1.6', '2.6.1.67']"
SHK3Dr,b3281,"['1.1.1.25', '1.1.1.282']"
G5SD,b0243,1.2.1.41
ALATA_L2,b0870 or b2551,
MAN6PI,b1613,5.3.1.8
APRAUR,b0414,1.1.1.193
DB4PS,b3041,4.1.99.12
RBFK,b0025,2.7.1.26
ACP1_FMN,b0446 or b3812 or b0844,"['3.1.3.102', '3.1.3.2']"
RBFSb,b1662,2.5.1.9
DMATT,b0421,2.5.1.1
GRTT,b0421,2.5.1.10
UPP3S,b3804,4.2.1.75
UPPDC1,b3997,4.1.1.37
TMDPP,b4382,"['2.4.2.2', '2.4.2.4']"
HCO3E,b0126 or b0339,4.2.1.1
IMPC,b4006,"['2.1.2.3', '3.5.4.10']"
IMPD,b2508,1.1.1.205
ECOAH4,b2341 or b3846,"['4.2.1.17', '4.2.1.74']"
GLUTRS,b2400,"['6.1.1.-', '6.1.1.17', '6.1.1.24']"
TMPPP,b3993,2.5.1.3
URIK1,b2066,"['2.7.1.213', '2.7.1.48']"
URIK2,b2066,2.7.1.48
CYTDK1,b2066,"['2.7.1.213', '2.7.1.48']"
CYTDK2,b2066,"['2.7.1.213', '2.7.1.48']"
XPPT,b0238,"['2.4.2.22', '2.4.2.8']"
HXPRT,b0238 or b0125,2.4.2.8
NDPK5,b0474 or b2518,2.7.4.6
DHORTS,b1062,3.5.2.3
OMPDC,b1281,4.1.1.23
CS,b0720,"['2.3.3.1', '2.3.3.16', '2.3.3.3']"
ICDHyr,b1136,1.1.1.42
ACALD,b0351 or b1241,1.2.1.10
ACS,b4069,6.2.1.1
PPA,b2502 or b2744 or b4226,3.6.1.1
PPCK,b3403,4.1.1.49
ME1,b1479,"['1.1.1.38', '1.1.1.39']"
ALAR,b1190 or b4053,5.1.1.1
ALATA_L,b2290 or b2379,2.6.1.2
XYLK,b0063 or b3564,2.7.1.17
RBK,b3752,2.7.1.15
GLYK,b3926,2.7.1.30
PPM,b4383,"['5.4.2.-', '5.4.2.2', '5.4.2.7']"
ASPTA,b0928 or b4054,2.6.1.1
FBP,b2930 or b4232 or b3925 or b3697,3.1.3.11
GLGC,b3430,2.7.7.27
PYK,b1854 or b1676,2.7.1.40
A5PISO,b3197 or b2708,5.3.1.13
IPPMIb,b0071 and b0072,4.2.1.33
ACHBS,( b3670 and b3671 ) or ( b0077 and b0078 ),2.2.1.6
ACLS,( b0077 and b0078 ) or ( b3670 and b3671 ),2.2.1.6
PSCVT,b0908,2.5.1.19
ANS,b1263 and b1264,4.1.3.27
ANPRT,b1263,2.4.2.18
CHORM,b2599 or b2600,5.4.99.5
CHORS,b2329,4.2.3.5
IGPS,b1262,4.1.1.48
ECOAH6,b2341 or b3846,"['4.2.1.17', '4.2.1.74']"
ENO,b2779,4.2.1.11
FBA,b2925 or b2097,4.1.2.13
MGSA,b0963,4.2.3.3
