UniProtID,Unnamed: 0,proteinNames,txt_subunit,geneNames,subunitnumber
A2RM73,8,"['2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase', 'SEPHCHC synthase']",Homodimer.,"['menD', 'llmg_1829']",2
A2RKH0,9,['Glutamate racemase'],Homodimer.,"['murI', 'llmg_1187']",2
A2RMM7,10,['Alcohol dehydrogenase'],Homodimer.,"['adhA', 'llmg_1991']",2
A2RKG6,11,"['Glutamate synthase, large subunit']",Homodimer.,"['gltB', 'llmg_1183']",2
A2RKG7,12,['glutamate synthase (NADPH)'],Homodimer.,"['gltD', 'llmg_1184']",2
A2RNK5,13,['Glutamate--tRNA ligase'],Monomer.,"['gltX', 'llmg_2332']",1
A2RL63,14,['FAD:protein FMN transferase'],Monomer.,"['apbE', 'llmg_1450']",1
A2RK31,15,['Glycine betaine/proline ABC transporter'],Monomer.,"['busAA', 'llmg_1048']",1
A2RK32,16,['Glycine betaine-binding periplasmic protein'],Monomer.,"['busAB', 'llmg_1049']",1
A2RIN2,17,['Glycerol-3-phosphate transporter'],Monomer.,"['glpT', 'llmg_0523']",1
A2RIF0,18,['6-phospho-beta-glucosidase'],Monomer.,"['bglA', 'llmg_0441']",1
A2RNK0,19,['Putative glycerol uptake facilitator protein'],Monomer.,"['glpF3', 'llmg_2327']",1
A2RI99,20,['FAD:protein FMN transferase'],Monomer.,"['apbE', 'llmg_0388']",1
A2RJL2,21,['Transporter'],Monomer.,[],1
A2RL68,22,['6-phospho-beta-glucosidase'],Monomer.,"['bglA2', 'llmg_1455']",1
A2RK81,23,['Glycerol uptake facilitator'],Monomer.,"['glpF2', 'llmg_1097']",1
A2RJY0,24,['Bifunctional purine biosynthesis protein PurH'],Monomer.,"['purH', 'llmg_0994']",1
A2RK83,25,"['Glycerol kinase', 'ATP:glycerol 3-phosphotransferase', 'Glycerokinase', 'GK']",Homotetramer and homodimer (in equilibrium).,"['glpK', 'llmg_1099']",4
A2RJR9,26,['acetyl-CoA C-acetyltransferase'],Homotetramer and homodimer (in equilibrium).,"['thiL', 'llmg_0930']",4
A2RK33,27,['Putative secreted protein'],Homotetramer and homodimer (in equilibrium).,[],4
A2RL88,28,['Glycine--tRNA ligase beta subunit'],Tetramer of two alpha and two beta subunits.,"['glyS', 'llmg_1477']",2
A2RJY6,29,"['N5-carboxyaminoimidazole ribonucleotide mutase', 'N5-CAIR mutase']",Tetramer of two alpha and two beta subunits.,"['purE', 'llmg_0999']",2
A2RL89,30,['Glycine--tRNA ligase alpha subunit'],Tetramer of two alpha and two beta subunits.,"['glyQ', 'llmg_1478']",2
A2RL29,31,['GMP reductase'],Tetramer of two alpha and two beta subunits.,"['guaC', 'llmg_1412']",2
