,UniProtID,proteinNames,txt_subunit,geneNames
0,A6TAK0,['ATP-binding protein of oligopeptide ABC transport system'],,"['oppF', 'KPN_02193']"
1,A6TAK2,['Oligopeptide transport permease protein'],,"['oppC', 'KPN_02195']"
2,A6TDC9,['Propanediol utilization: propanediol diffusion facilitator'],,"['pduF', 'KPN_03202']"
3,A6T8H8,['Amine oxidase'],,"['tynA', 'KPN_01467']"
4,A6TEA2,"['1,3-propanediol oxidoreductase']",,"['dhaT', 'KPN_03491']"
5,A6TDV0,"['Biosynthetic arginine decarboxylase', 'ADC']",,"['speA', 'KPN_03374']"
6,A6T4E4,['Threonine synthase'],,"['thrC', 'KPN_00004']"
7,A6T8N4,['Arginine/ornithine antiporter'],,"['ydgI', 'KPN_01524']"
8,A6TGE4,"['Argininosuccinate lyase', 'ASAL']",,"['argH', 'KPN78578_42040', 'KPN_04249']"
9,A6TEJ0,['Argininosuccinate synthase'],Homotetramer.,"['argG', 'KPN78578_35500', 'KPN_03580']"
10,A6TGU3,['Maltose/maltodextrin transport system permease protein'],"The complex is composed of two ATP-binding proteins (MalK), two transmembrane proteins (MalG and MalF) and a solute-binding protein (MalE).","['malF', 'KPN_04422']"
11,A6TGU5,['ATP-binding component of transport system for maltose'],"The complex is composed of two ATP-binding proteins (MalK), two transmembrane proteins (MalG and MalF) and a solute-binding protein (MalE).","['malK', 'KPN_04424']"
12,A6TGU2,['Maltose/maltodextrin transport system permease protein MalG'],"The complex is composed of two ATP-binding proteins (MalK), two transmembrane proteins (MalG and MalF) and a solute-binding protein (MalE).","['malG', 'KPN_04421']"
13,A6TGU4,['Maltodextrin-binding protein'],"The complex is composed of two ATP-binding proteins (MalK), two transmembrane proteins (MalG and MalF) and a solute-binding protein (MalE).","['malE', 'KPN_04423']"
14,A6TGU6,['Maltoporin 2'],"Homotrimer formed of three 18-stranded antiparallel beta-barrels, containing three independent channels.","['lamB2', 'KPN78578_43560', 'KPN_04425']"
15,A6TAW1,"['L, D-carboxypeptidase A (In murein recycling)']","Homotrimer formed of three 18-stranded antiparallel beta-barrels, containing three independent channels.","['ldcA', 'KPN_02306']"
16,A6T563,['Outer membrane porin PhoE'],Homotrimer.,"['phoE', 'KPN_00282']"
17,A6TB43,['Arginine--tRNA ligase'],Monomer.,"['argS', 'KPN78578_23530', 'KPN_02388']"
18,A6TAK4,"['Oligopeptide transport protein (ABC superfamily, peri_bind)']",Monomer.,"['oppA', 'KPN_02197']"
19,A6T4W3,"[""5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase"", ""5'-deoxyadenosine nucleosidase""]",Homodimer.,"['mtnN', 'KPN78578_01730', 'KPN_00174']"
20,A6TCX3,"['Arabinose 5-phosphate isomerase', 'API']",Homotetramer.,"['gutQ', 'KPN_03043']"
21,A6TEL6,"['Arabinose 5-phosphate isomerase', 'API']",Homotetramer.,"['yrbH', 'KPN_03607']"
22,A6T7F4,"['Acyl carrier protein', 'ACP']",Homotetramer.,"['acpP', 'KPN78578_10640', 'KPN_01092']"
23,A6T721,['Outer membrane protein 1a'],Homotetramer.,"['ompF', 'KPN_00956']"
24,A6TGI2,['Probable ECA polymerase'],"Probably part of a complex composed of WzxE, WzyE and WzzE.","['wzy', 'wzyE', 'KPN_04294']"
25,A6TB71,['Cytoplasmic alpha-amylase'],"Probably part of a complex composed of WzxE, WzyE and WzzE.","['amyA', 'KPN_02419']"
26,A6TFI7,['Periplasmic alpha-amylase'],"Probably part of a complex composed of WzxE, WzyE and WzzE.","['malS', 'KPN_03935']"
27,A6T8F6,"['Outer membrane pore protein N, non-specific']","Probably part of a complex composed of WzxE, WzyE and WzzE.","['ompN', 'KPN_01445']"
28,A6TBZ6,"['Lysine-, arginine-, ornithine-binding periplasmic protein']","Probably part of a complex composed of WzxE, WzyE and WzzE.","['argT', 'KPN_02700']"
29,A6T6W0,['Arginine 3rd transport system permease protein'],"Probably part of a complex composed of WzxE, WzyE and WzzE.","['artQ', 'KPN_00895']"
30,A6TBZ3,['Histidine/lysine/arginine/ornithine transport system permease protein HisM'],"Probably part of a complex composed of WzxE, WzyE and WzzE.","['hisM', 'KPN_02697']"
31,A6T6W2,['Arginine transport ATP-binding protein ArtP'],"Probably part of a complex composed of WzxE, WzyE and WzzE.","['artP', 'KPN_00897']"
32,A6T6V9,['Arginine ABC transporter permease protein ArtM'],"Probably part of a complex composed of WzxE, WzyE and WzzE.","['artM', 'KPN_00894']"
33,A6T6W1,['Arginine 3rd transport system periplasmic binding protein'],"Probably part of a complex composed of WzxE, WzyE and WzzE.","['artI', 'KPN_00896']"
