UniProtID,Unnamed: 0,proteinNames,txt_subunit,geneNames,subunitnumber
A6TEJ0,9,['Argininosuccinate synthase'],Homotetramer.,"['argG', 'KPN78578_35500', 'KPN_03580']",4
A6TGU3,10,['Maltose/maltodextrin transport system permease protein'],"The complex is composed of two ATP-binding proteins (MalK), two transmembrane proteins (MalG and MalF) and a solute-binding protein (MalE).","['malF', 'KPN_04422']",1
A6TGU5,11,['ATP-binding component of transport system for maltose'],"The complex is composed of two ATP-binding proteins (MalK), two transmembrane proteins (MalG and MalF) and a solute-binding protein (MalE).","['malK', 'KPN_04424']",1
A6TGU2,12,['Maltose/maltodextrin transport system permease protein MalG'],"The complex is composed of two ATP-binding proteins (MalK), two transmembrane proteins (MalG and MalF) and a solute-binding protein (MalE).","['malG', 'KPN_04421']",1
A6TGU4,13,['Maltodextrin-binding protein'],"The complex is composed of two ATP-binding proteins (MalK), two transmembrane proteins (MalG and MalF) and a solute-binding protein (MalE).","['malE', 'KPN_04423']",1
A6TGU6,14,['Maltoporin 2'],"Homotrimer formed of three 18-stranded antiparallel beta-barrels, containing three independent channels.","['lamB2', 'KPN78578_43560', 'KPN_04425']",3
A6TAW1,15,"['L, D-carboxypeptidase A (In murein recycling)']","Homotrimer formed of three 18-stranded antiparallel beta-barrels, containing three independent channels.","['ldcA', 'KPN_02306']",3
A6T563,16,['Outer membrane porin PhoE'],Homotrimer.,"['phoE', 'KPN_00282']",3
A6TB43,17,['Arginine--tRNA ligase'],Monomer.,"['argS', 'KPN78578_23530', 'KPN_02388']",1
A6TAK4,18,"['Oligopeptide transport protein (ABC superfamily, peri_bind)']",Monomer.,"['oppA', 'KPN_02197']",1
A6T4W3,19,"[""5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase"", ""5'-deoxyadenosine nucleosidase""]",Homodimer.,"['mtnN', 'KPN78578_01730', 'KPN_00174']",2
A6TCX3,20,"['Arabinose 5-phosphate isomerase', 'API']",Homotetramer.,"['gutQ', 'KPN_03043']",4
A6TEL6,21,"['Arabinose 5-phosphate isomerase', 'API']",Homotetramer.,"['yrbH', 'KPN_03607']",4
A6T7F4,22,"['Acyl carrier protein', 'ACP']",Homotetramer.,"['acpP', 'KPN78578_10640', 'KPN_01092']",4
A6T721,23,['Outer membrane protein 1a'],Homotetramer.,"['ompF', 'KPN_00956']",4
A6TGI2,24,['Probable ECA polymerase'],"Probably part of a complex composed of WzxE, WzyE and WzzE.","['wzy', 'wzyE', 'KPN_04294']",1
A6TB71,25,['Cytoplasmic alpha-amylase'],"Probably part of a complex composed of WzxE, WzyE and WzzE.","['amyA', 'KPN_02419']",1
A6TFI7,26,['Periplasmic alpha-amylase'],"Probably part of a complex composed of WzxE, WzyE and WzzE.","['malS', 'KPN_03935']",1
A6T8F6,27,"['Outer membrane pore protein N, non-specific']","Probably part of a complex composed of WzxE, WzyE and WzzE.","['ompN', 'KPN_01445']",1
A6TBZ6,28,"['Lysine-, arginine-, ornithine-binding periplasmic protein']","Probably part of a complex composed of WzxE, WzyE and WzzE.","['argT', 'KPN_02700']",1
A6T6W0,29,['Arginine 3rd transport system permease protein'],"Probably part of a complex composed of WzxE, WzyE and WzzE.","['artQ', 'KPN_00895']",1
A6TBZ3,30,['Histidine/lysine/arginine/ornithine transport system permease protein HisM'],"Probably part of a complex composed of WzxE, WzyE and WzzE.","['hisM', 'KPN_02697']",1
A6T6W2,31,['Arginine transport ATP-binding protein ArtP'],"Probably part of a complex composed of WzxE, WzyE and WzzE.","['artP', 'KPN_00897']",1
A6T6V9,32,['Arginine ABC transporter permease protein ArtM'],"Probably part of a complex composed of WzxE, WzyE and WzzE.","['artM', 'KPN_00894']",1
A6T6W1,33,['Arginine 3rd transport system periplasmic binding protein'],"Probably part of a complex composed of WzxE, WzyE and WzzE.","['artI', 'KPN_00896']",1
A6TBZ4,34,"['Histidine and lysine/arginine/ornithine transport system (ABC superfamily, membrane)']","Probably part of a complex composed of WzxE, WzyE and WzzE.","['hisQ', 'KPN_02698']",1
A6TBZ2,35,['ATP-binding component of histidine transport'],"Probably part of a complex composed of WzxE, WzyE and WzzE.","['hisP', 'KPN_02696']",1
A6T6V8,36,['Arginine 3rd transport system periplasmic binding protein'],"Probably part of a complex composed of WzxE, WzyE and WzzE.","['artJ', 'KPN_00893']",1
A6TDS8,37,['Arginine exporter protein ArgO'],"Probably part of a complex composed of WzxE, WzyE and WzzE.","['argO', 'KPN78578_32880', 'KPN_03352']",1
A6TDQ6,38,['6-phospho-beta-glucosidase A'],"Probably part of a complex composed of WzxE, WzyE and WzzE.","['bglA', 'KPN_03330']",1
A6TBT2,39,['Outer membrane pore protein 1b (Ibc)'],Homotrimer.,"['ompC', 'KPN_02636']",3
A6T537,40,['4-aminobutyrate aminotransferase'],Homotrimer.,"['gabT', 'KPN_00255']",3
A6TF52,41,['Aspartate-semialdehyde dehydrogenase'],Homodimer.,"['asd', 'KPN_03799']",2
A6TF78,42,['Aminotransferase class-III'],Homodimer.,[],2
A6TB82,43,['Outer membrane pore protein'],Homotrimer.,[],3
A6TBJ0,44,['D-arabinitol dehydrogenase'],Homotrimer.,[],3
