UniProtID,Unnamed: 0,proteinNames,txt_subunit,geneNames,subunitnumber
V5B8F9,7,['ATP synthase subunit beta'],"F-type ATPases have 2 components, CF(1) - the catalytic core - and CF(0) - the membrane proton channel. CF(1) has five subunits: alpha(3), beta(3), gamma(1), delta(1), epsilon(1). CF(0) has three main subunits: a, b and c.",[],1
V5B9K0,8,['ATPase subunit 9'],"F-type ATPases have 2 components, CF(1) - the catalytic core - and CF(0) - the membrane proton channel. CF(1) has five subunits: alpha(3), beta(3), gamma(1), delta(1), epsilon(1). CF(0) has three main subunits: a, b and c.",[],1
V5BLX9,9,"['ATP synthase subunit gamma, mitochondrial']","F-type ATPases have 2 components, CF(1) - the catalytic core - and CF(0) - the membrane proton channel. CF(1) has five subunits: alpha(3), beta(3), gamma(1), delta(1), epsilon(1). CF(0) has three main subunits: a, b and c.",[],1
V5ARU6,10,['V-type proton ATPase subunit'],V-ATPase is a heteromultimeric enzyme made up of two complexes: the ATP-hydrolytic V1 complex and the proton translocation V0 complex.,[],1
V5BSS9,11,['Vacuolar ATP synthase subunit d'],V-ATPase is a heteromultimeric enzyme made up of two complexes: the ATP-hydrolytic V1 complex and the proton translocation V0 complex.,[],1
V5AVB0,12,['ATPase alpha subunit'],V-ATPase is a heteromultimeric enzyme made up of two complexes: the ATP-hydrolytic V1 complex and the proton translocation V0 complex.,[],1
V5BGR0,13,['Vacuolar ATP synthase subunit B'],V-ATPase is a heteromultimeric enzyme made up of two complexes: the ATP-hydrolytic V1 complex and the proton translocation V0 complex.,[],1
V5BW59,14,['H(+)-transporting two-sector ATPase'],V-ATPase is a heteromultimeric enzyme made up of two complexes: the ATP-hydrolytic V1 complex and the proton translocation V0 complex.,[],1
V5B9V5,15,['(H )-ATPase G subunit'],V-ATPase is a heteromultimeric enzyme made up of two complexes: the ATP-hydrolytic V1 complex and the proton translocation V0 complex.,[],1
V5B1U1,16,['ATP synthase'],V-ATPase is a heteromultimeric enzyme made up of two complexes: the ATP-hydrolytic V1 complex and the proton translocation V0 complex.,[],1
V5BAS5,17,['Nitroreductase'],V-ATPase is a heteromultimeric enzyme made up of two complexes: the ATP-hydrolytic V1 complex and the proton translocation V0 complex.,[],1
V5DLP7,18,['NADH dehydrogenase'],V-ATPase is a heteromultimeric enzyme made up of two complexes: the ATP-hydrolytic V1 complex and the proton translocation V0 complex.,[],1
V5BVY2,19,['Aspartate aminotransferase'],Homodimer.,[],2
V5BPC6,20,['Calcium-transporting ATPase'],Homodimer.,[],2
V5BLM1,21,['Calcium-transporting ATPase'],Homodimer.,[],2
V5B873,22,['Calcium-transporting ATPase'],Homodimer.,[],2
V5BSS0,23,['Aspartate aminotransferase'],Homodimer.,[],2
V5BQ82,24,['Alternative oxidase'],Homodimer.,[],2
V5DRT6,25,['L-ribulokinase'],Homodimer.,[],2
V5C2V4,26,"['6-phosphogluconate dehydrogenase, decarboxylating']",Homodimer.,[],2
