UniProtID,Unnamed: 0,proteinNames,txt_subunit,geneNames,subunitnumber
Q55128,0,['Aspartate aminotransferase'],Homodimer.,"['aspC', 'sll0402']",2
P74667,1,"['Diaminopimelate epimerase', 'DAP epimerase']",Homodimer.,"['dapF', 'slr1665']",2
P73807,2,['Histidinol-phosphate aminotransferase'],Homodimer.,"['hisC', 'sll1958']",2
P20388,3,['Delta(12)-fatty-acid desaturase'],Homodimer.,"['desA', 'slr1350']",2
Q55484,4,['Diaminopimelate decarboxylase'],Homodimer.,"['lysA', 'sll0504']",2
P74383,5,"['Isoaspartyl peptidase/L-asparaginase', 'Beta-aspartyl-peptidase', 'Isoaspartyl dipeptidase']",Heterotetramer of two alpha and two beta chains arranged as a dimer of alpha/beta heterodimers.,[],1
Q55865,6,['Sll0585 protein'],Heterotetramer of two alpha and two beta chains arranged as a dimer of alpha/beta heterodimers.,[],1
P54735,7,['Serine/threonine-protein kinase D'],Heterotetramer of two alpha and two beta chains arranged as a dimer of alpha/beta heterodimers.,"['spkD', 'sll0776']",1
Q08871,8,"['Acyl-CoA 6-desaturase', 'Delta(6)-desaturase', 'Linoleoyl-CoA desaturase']",Heterotetramer of two alpha and two beta chains arranged as a dimer of alpha/beta heterodimers.,"['des6', 'sll0262']",1
Q55746,9,"['Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase', 'UDP-N-acetylglucosamine acyltransferase']",Homotrimer.,"['lpxA', 'sll0379']",3
P73997,10,"['3-dehydroquinate synthase', 'DHQS']",Homotrimer.,"['aroB', 'slr2130']",3
P73367,11,"['3-dehydroquinate dehydratase', '3-dehydroquinase']",Homododecamer.,"['aroQ', 'sll1112']",12
P72988,12,"['UDP-3-O-acyl-N-acetylglucosamine deacetylase', 'UDP-3-O-acyl-GlcNAc deacetylase']",Homododecamer.,"['lpxC', 'sll1508']",12
Q55612,13,['UDP-3-O-acylglucosamine N-acyltransferase'],Homotrimer.,"['lpxD', 'slr0776']",3
Q57310,14,['Lipid-A-disaccharide synthase'],Homotrimer.,"['lpxB', 'slr0015']",3
P74265,15,['Slr1677 protein'],Homotrimer.,[],3
P74562,16,"['L-aspartate oxidase', 'LASPO']",Homotrimer.,"['nadB', 'sll0631']",3
