,UniProtID,proteinNames,txt_subunit,geneNames
0,Q181D2,"['ABC-type transport system, phosphonate-specific ATP-binding protein']",,"['phnL', 'CD630_35330']"
1,Q185W1,"['ABC-type transport system,cystine/aminoacid-family ATP-binding protein']",,[]
2,Q181D3,"['ABC-type transport system, phosphonate-specific ATP-binding protein']",,"['phnK', 'CD630_35340']"
3,Q186Y6,"['ABC-type transport system, aminoacid-family permease']",,[]
4,Q18AK1,['L(+)-tartrate dehydratase subunit beta'],Heterotetramer of two alpha and two beta subunits.,"['fumB', 'CD630_10040']"
5,Q185V1,"['L-lactate dehydrogenase', 'L-LDH']",Homotetramer.,"['ldh', 'CD630_21640']"
6,Q189V0,"['ABC-type transport system, aminoacid-family ATP-binding protein']",Homotetramer.,[]
7,Q189U6,"['ABC-type transport system, aminoacid-family permease']",Homotetramer.,[]
8,Q186Y5,"['ABC-type transport system, aminoacid-family ATP-binding protein']",Homotetramer.,[]
9,Q18A95,"['ABC-type transport system, glycine betaine/carnitine/choline permease']",Homotetramer.,"['opuCC', 'CD630_09010']"
10,Q18A90,"['ABC-type transport system, glycine betaine/carnitine/choline ATP-binding protein']",Homotetramer.,"['opuCA', 'CD630_09000']"
11,Q17ZV9,"['ABC-type transport system, glycine betaine/carnitine/choline ATP-binding protein']",Homotetramer.,[]
12,Q18AM7,"['ABC-type transport system,spermidine/putrescine permease']",Homotetramer.,"['potB', 'CD630_10250']"
13,Q189R4,['Carbon monoxide dehydrogenase'],Homotetramer.,"['cooS1', 'CD630_07160']"
14,Q18AM5,"['ABC-type transport system,spermidine/putrescine solute-binding protein']",Homotetramer.,"['potD', 'CD630_10270']"
15,Q18AM6,"['ABC-type transport system,spermidine/putrescine permease']",Homotetramer.,"['potC', 'CD630_10260']"
16,Q18C11,"['ABC-type transport system, methionine-specific substrate-binding lipoprotein']",Homotetramer.,"['metQ', 'CD630_14910']"
17,Q186K7,['Lipoprotein'],Homotetramer.,[]
18,Q18C10,"['ABC-type transport system, methionine-specific permease']",Homotetramer.,"['metI', 'CD630_14900']"
19,Q186G9,"['ABC-type transport system, ATP-binding protein']",Homotetramer.,[]
20,Q189D2,"['ATPase, P-type, heavy metal translocating']",Homotetramer.,[]
21,Q186L3,['Cation-transporting ATPase'],Homotetramer.,[]
