UniProtID,Unnamed: 0,proteinNames,txt_subunit,geneNames,subunitnumber
P0A825,0,['Serine hydroxymethyltransferase'],Homodimer.,"['glyA', 'b2551', 'JW2535']",2
P75823,1,"['Low specificity L-threonine aldolase', 'Low specificity L-TA']",Homotetramer.,"['ltaE', 'ybjU', 'b0870', 'JW0854']",4
P0AEA8,2,['Siroheme synthase'],Monomer.,"['cysG', 'b3368', 'JW3331']",1
P36553,3,['Oxygen-dependent coproporphyrinogen-III oxidase'],Homodimer.,"['hemF', 'b2436', 'JW2429']",2
P06715,4,['Glutathione reductase'],Homodimer.,"['gor', 'b3500', 'JW3467']",2
P0A7E1,5,"['Dihydroorotate dehydrogenase (quinone)', 'DHOdehase']",Monomer.,"['pyrD', 'b0945', 'JW0928']",1
P52074,6,"['Glycolate oxidase iron-sulfur subunit', 'Glycolate dehydrogenase subunit GlcF', 'Glycolate oxidase subunit GlcF']","The glycolate oxidase likely consists of three subunits, GlcD, GlcE and GlcF.","['glcF', 'gox', 'yghL', 'b4467', 'JW5486']",1
P52073,7,['Glycolate oxidase subunit GlcE'],"The glycolate oxidase likely consists of three subunits, GlcD, GlcE and GlcF.","['glcE', 'gox', 'yghL', 'b4468', 'JW5487']",1
P0AEP9,8,['Glycolate oxidase subunit GlcD'],"The glycolate oxidase likely consists of three subunits, GlcD, GlcE and GlcF.","['glcD', 'gox', 'yghM', 'b2979', 'JW2946']",1
P0A796,9,"['ATP-dependent 6-phosphofructokinase isozyme 1', '6-phosphofructokinase isozyme I', 'Phosphohexokinase 1', 'Sedoheptulose-7-phosphate kinase']",Homotetramer.,"['pfkA', 'b3916', 'JW3887']",4
P0A877,10,['Tryptophan synthase alpha chain'],Tetramer of two alpha and two beta chains.,"['trpA', 'b1260', 'JW1252']",2
P0A879,11,['Tryptophan synthase beta chain'],Tetramer of two alpha and two beta chains.,"['trpB', 'b1261', 'JW1253']",2
P13033,13,['Anaerobic glycerol-3-phosphate dehydrogenase subunit B'],Composed of a catalytic GlpA/B dimer and of membrane bound GlpC.,"['glpB', 'b2242', 'JW2236']",1
P0A996,14,"['Anaerobic glycerol-3-phosphate dehydrogenase subunit C', 'G-3-P dehydrogenase']",Composed of a catalytic GlpA/B dimer and of GlpC.,"['glpC', 'b2243', 'JW2237']",1
P0A9C0,15,"['Anaerobic glycerol-3-phosphate dehydrogenase subunit A', 'G-3-P dehydrogenase']",Composed of a catalytic GlpA/B dimer and of membrane bound GlpC.,"['glpA', 'b2241', 'JW2235']",1
P04693,16,['Aromatic-amino-acid aminotransferase'],Homodimer.,"['tyrB', 'b4054', 'JW4014']",2
P0AB80,17,"['Branched-chain-amino-acid aminotransferase', 'BCAT']",Homohexamer.,"['ilvE', 'b3770', 'JW5606']",6
P15770,18,['Shikimate dehydrogenase (NADP(+))'],Monomer or homodimer.,"['aroE', 'b3281', 'JW3242']",1
P0A6D5,19,['Quinate/shikimate dehydrogenase'],Homodimer.,[],2
P07004,20,"['Gamma-glutamyl phosphate reductase', 'GPR', 'Glutamate-5-semialdehyde dehydrogenase', 'Glutamyl-gamma-semialdehyde dehydrogenase', 'GSA dehydrogenase']",Homodimer (Probable). May form a complex with glutamate 5-kinase (proB).,"['proA', 'b0243', 'JW0233']",2
P25539,22,['Riboflavin biosynthesis protein RibD'],Homodimer.,"['ribD', 'ribG', 'ybaE', 'b0414', 'JW0404']",2
P0A7J0,23,"['3,4-dihydroxy-2-butanone 4-phosphate synthase']",Homodimer.,"['ribB', 'htrP', 'b3041', 'JW3009']",2
P0AFU8,28,"['Riboflavin synthase', 'RS']","Homotrimer. Unlike in B.subtilis, does not interact with 6,7-dimethyl-8-ribityllumazine synthase.","['ribC', 'ribE', 'b1662', 'JW1654']",3
P09126,30,"['Uroporphyrinogen-III synthase', 'UROS', 'Hydroxymethylbilane hydrolyase [cyclizing]', 'Uroporphyrinogen-III cosynthase']",Monomer.,"['hemD', 'b3804', 'JW3776']",1
P29680,31,['Uroporphyrinogen decarboxylase'],Homodimer.,"['hemE', 'b3997', 'JW3961']",2
P07650,32,['Thymidine phosphorylase'],Homodimer.,"['deoA', 'tpp', 'ttg', 'b4382', 'JW4345']",2
P61517,33,['Carbonic anhydrase 2'],Homodimer.,"['can', 'cynT2', 'yadF', 'b0126', 'JW0122']",2
P0ABE9,34,['Carbonic anhydrase 1'],Oligomer.,"['cynT', 'b0339', 'JW0330']",1
