,UniProtID,proteinNames,txt_subunit,geneNames
0,Q39Y23,"['N-acetyl-gamma-glutamyl-phosphate reductase', 'AGPR']",,"['argC', 'Gmet_0608']"
1,Q39W44,['Adenosylhomocysteinase'],,"['ahcY', 'Gmet_1294']"
2,Q39RK1,['Bifunctional purine biosynthesis protein PurH'],,"['purH', 'Gmet_2905']"
3,Q39WT1,['Iron-containing alcohol dehydrogenase'],,[]
4,Q39WT8,"['Ethanol dehydrogenase, putative']",,[]
5,Q39UE1,"['Sulfate ABC transporter, membrane protein CysW']","The complex is composed of two ATP-binding proteins (CysA), two transmembrane proteins (CysT and CysW) and a solute-binding protein (CysP).","['cysW', 'Gmet_1904']"
6,Q39RK3,"['N5-carboxyaminoimidazole ribonucleotide mutase', 'N5-CAIR mutase']","The complex is composed of two ATP-binding proteins (CysA), two transmembrane proteins (CysT and CysW) and a solute-binding protein (CysP).","['purE', 'Gmet_2903']"
7,Q39RY7,['oxoglutarate dehydrogenase (succinyl-transferring)'],"The complex is composed of two ATP-binding proteins (CysA), two transmembrane proteins (CysT and CysW) and a solute-binding protein (CysP).","['sucA', 'Gmet_2769']"
8,Q39RZ2,['Dihydrolipoyl dehydrogenase'],"The complex is composed of two ATP-binding proteins (CysA), two transmembrane proteins (CysT and CysW) and a solute-binding protein (CysP).","['lpdA-1', 'Gmet_2764']"
9,Q39V80,"['Acyl-(Acyl carrier protein) ligase, acyl carrier, [acyl-]glycerolphosphate acyltransferase fusion protein']","The complex is composed of two ATP-binding proteins (CysA), two transmembrane proteins (CysT and CysW) and a solute-binding protein (CysP).",[]
10,Q39UE9,['Dihydrolipoyl dehydrogenase'],"The complex is composed of two ATP-binding proteins (CysA), two transmembrane proteins (CysT and CysW) and a solute-binding protein (CysP).","['lpdA-2', 'Gmet_1896']"
11,Q39S24,"['Chromate transport protein ChrA, subunit 1, putative']","The complex is composed of two ATP-binding proteins (CysA), two transmembrane proteins (CysT and CysW) and a solute-binding protein (CysP).",[]
12,Q39RZ0,['Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex'],"The complex is composed of two ATP-binding proteins (CysA), two transmembrane proteins (CysT and CysW) and a solute-binding protein (CysP).","['sucB', 'Gmet_2766']"
13,Q39S25,"['Chromate transport protein ChrA, subunit 2, putative']","The complex is composed of two ATP-binding proteins (CysA), two transmembrane proteins (CysT and CysW) and a solute-binding protein (CysP).",[]
14,Q39YL6,['Multifunctional fusion protein'],"The complex is composed of two ATP-binding proteins (CysA), two transmembrane proteins (CysT and CysW) and a solute-binding protein (CysP).","['ddl', 'ftsQ', 'Gmet_0415']"
15,Q39S67,['citrate synthase (unknown stereospecificity)'],"The complex is composed of two ATP-binding proteins (CysA), two transmembrane proteins (CysT and CysW) and a solute-binding protein (CysP).","['gltA', 'Gmet_2689']"
16,Q39WN5,['Alanine dehydrogenase'],"The complex is composed of two ATP-binding proteins (CysA), two transmembrane proteins (CysT and CysW) and a solute-binding protein (CysP).","['ald', 'Gmet_1099']"
17,Q39RJ8,['Alanine racemase'],"The complex is composed of two ATP-binding proteins (CysA), two transmembrane proteins (CysT and CysW) and a solute-binding protein (CysP).","['alr', 'Gmet_2908']"
18,Q39QT8,"['Aspartate/glutamate/phosphoserine/alanine/cystea te aminotransferase, putative']","The complex is composed of two ATP-binding proteins (CysA), two transmembrane proteins (CysT and CysW) and a solute-binding protein (CysP).",[]
19,Q39Z77,['Alanine--tRNA ligase'],"The complex is composed of two ATP-binding proteins (CysA), two transmembrane proteins (CysT and CysW) and a solute-binding protein (CysP).","['alaS', 'Gmet_0201']"
20,Q39XJ3,['Aldehyde dehydrogenase family 11 protein'],"The complex is composed of two ATP-binding proteins (CysA), two transmembrane proteins (CysT and CysW) and a solute-binding protein (CysP).",[]
21,Q39PU5,['tRNA-specific adenosine deaminase'],Homodimer.,"['tadA', 'Gmet_3524']"
22,Q39ZI9,"['[acyl-]glycerolphosphate acyltransferase and acyl-(Acyl carrier protein) ligase, major facilitator superfamily domain-containing']",Homodimer.,[]
23,Q39S29,"['Peptidoglycan-binding protein, DUF937 and OmpA domain-containing']",Homodimer.,[]
24,Q39UL3,"['Peptidoglycan-binding protein, OmpA family']",Homodimer.,[]
25,Q39UZ6,['(3R)-hydroxyacyl-(Acyl carrier protein) dehydratase'],Homodimer.,"['fabZ-1', 'Gmet_1697']"
26,Q39T08,"['4-alpha-glucanotransferase', 'Amylomaltase', 'Disproportionating enzyme']",Homodimer.,"['malQ', 'Gmet_2391']"
27,Q39X79,['Carboxynorspermidine/carboxyspermidine decarboxylase'],Homodimer.,"['nspC', 'Gmet_0903']"
28,Q39X80,['Carboxynorspermidine/carboxyspermidine dehydrogenase'],Homodimer.,[]
29,Q39VB2,"['Adenosylmethionine-8-amino-7-oxononanoate aminotransferase', '7,8-diamino-pelargonic acid aminotransferase']",Homodimer.,"['bioA', 'Gmet_1580']"
30,Q39TH3,['Enoyl-CoA hydratase/isomerase'],Homodimer.,[]
31,Q39T45,"['3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ', '(3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase', '(3R)-hydroxymyristoyl-ACP dehydrase', 'Beta-hydroxyacyl-ACP dehydratase']",Homodimer.,"['fabZ', 'Gmet_2354']"
32,Q39WG9,['Demethylmenaquinone methyltransferase'],Homodimer.,"['menG', 'Gmet_1167']"
33,Q39UX6,['3-hydroxyacyl-CoA dehydrogenase'],Homodimer.,[]
34,Q39TJ0,['Enoyl-CoA hydratase/isomerase'],Homodimer.,[]
35,Q39RJ6,"['Phosphomethylpyrimidine synthase', 'Hydroxymethylpyrimidine phosphate synthase']",Homodimer.,"['thiC', 'thiC-1', 'Gmet_2910']"
36,Q39UX7,['Enoyl-CoA hydratase/isomerase'],Homodimer.,[]
37,Q39TX3,['3-hydroxyacyl-CoA dehydrogenase'],Homodimer.,[]
38,Q39SQ6,['Anthranilate phosphoribosyltransferase'],Homodimer.,"['trpD', 'Gmet_2495']"
39,Q39TC9,['3-hydroxyacyl-CoA dehydrogenase'],Homodimer.,[]
40,Q39QH7,['Enoyl-CoA hydratase/isomerase'],Homodimer.,[]
41,Q39SQ4,['Anthranilate synthase component 1'],Heterotetramer consisting of two non-identical subunits: a beta subunit (TrpG) and a large alpha subunit (TrpE).,"['trpE', 'Gmet_2497']"
42,Q39TJ4,['3-hydroxyacyl-CoA dehydrogenase'],Heterotetramer consisting of two non-identical subunits: a beta subunit (TrpG) and a large alpha subunit (TrpE).,[]
43,Q39SQ5,"['Anthranilate synthase, glutamine amidotransferase subunit']",Heterotetramer consisting of two non-identical subunits: a beta subunit (TrpG) and a large alpha subunit (TrpE).,"['trpG', 'Gmet_2496']"
44,Q39XE0,"['8-amino-7-oxononanoate synthase', 'AONS', '7-keto-8-amino-pelargonic acid synthase']",Homodimer.,"['bioF', 'Gmet_0842']"
45,Q39TK2,['Enoyl-CoA hydratase/isomerase'],Homodimer.,[]
