,UniProtID,proteinNames,txt_subunit,geneNames
0,Q0WBS5,[],,[]
1,Q0WBS4,[],,[]
2,Q0WK66,[],,[]
3,Q0WD15,[],,[]
4,Q0WBK6,[],,[]
5,Q0WHI4,[],,[]
6,Q7CG79,[],,[]
7,Q0WAU2,[],,[]
8,Q0WAU5,[],,[]
9,Q7CLD8,[],,[]
10,Q0WAU1,[],,[]
11,Q0WAU6,[],,[]
12,Q7CKK9,[],,[]
13,Q0WEF0,['Anhydro-N-acetylmuramic acid kinase'],,"['anmK', 'YPO2372', 'y1963', 'YP_2158']"
14,Q0WEW1,[],,[]
15,Q7CIM3,[],,[]
16,Q7CL44,[],,[]
17,Q7CHJ2,[],,[]
18,Q7CGZ2,['Lysophospholipid transporter LplT'],,"['lplT', 'YPO0792', 'y3180', 'YP_2865']"
19,Q0WIP0,[],,[]
20,Q0WJV3,[],,[]
21,Q7CKM7,[],,[]
22,Q7CKM6,[],,[]
23,Q0WJV2,[],,[]
24,Q7CHE9,[],,[]
25,Q7CH66,"['8-amino-7-oxononanoate synthase', 'AONS', '7-keto-8-amino-pelargonic acid synthase']",Homodimer.,"['bioF', 'YPO1152', 'y3030', 'YP_1008']"
26,Q7CHF0,[],Homodimer.,[]
27,Q7CHE8,[],Homodimer.,[]
28,Q7CGL9,[],Homodimer.,[]
29,Q0WJH5,[],Homodimer.,[]
30,Q7CKB5,[],Homodimer.,[]
31,Q7CK43,[],Homodimer.,[]
32,Q0W9R8,[],Homodimer.,[]
33,Q0WER8,[],Homodimer.,[]
34,Q7CIK2,[],Homodimer.,[]
35,Q0WER4,[],Homodimer.,[]
36,Q0WER5,['Arabinose import ATP-binding protein AraG'],"The complex is composed of two ATP-binding proteins (AraG), two transmembrane proteins (AraH) and a solute-binding protein (AraF).","['araG', 'YPO2256', 'y2097', 'YP_2052']"
37,Q0W9V5,['Glyoxylate/hydroxypyruvate reductase B'],Homodimer.,"['ghrB', 'YPO4078', 'y4096', 'YP_3988']"
38,Q0WAE9,[],Homodimer.,[]
39,Q0WBQ7,[],Homodimer.,[]
40,Q0WHZ0,[],Homodimer.,[]
41,Q0WJZ5,[],Homodimer.,[]
42,Q7CKV5,['sn-glycerol-3-phosphate transport system permease protein UgpE'],"The complex is composed of two ATP-binding proteins (UgpC), two transmembrane proteins (UgpA and UgpE) and a solute-binding protein (UgpB).","['ugpE', 'YPO3794', 'y0436', 'YP_3255']"
43,Q0WGY6,[],"The complex is composed of two ATP-binding proteins (UgpC), two transmembrane proteins (UgpA and UgpE) and a solute-binding protein (UgpB).",[]
44,Q7CKV7,['sn-glycerol-3-phosphate-binding periplasmic protein UgpB'],"The complex is composed of two ATP-binding proteins (UgpC), two transmembrane proteins (UgpA and UgpE) and a solute-binding protein (UgpB).","['ugpB', 'YPO3796', 'y0434', 'YP_3253']"
45,Q7CKB4,[],"The complex is composed of two ATP-binding proteins (UgpC), two transmembrane proteins (UgpA and UgpE) and a solute-binding protein (UgpB).",[]
46,Q7CKV6,['sn-glycerol-3-phosphate transport system permease protein UgpA'],"The complex is composed of two ATP-binding proteins (UgpC), two transmembrane proteins (UgpA and UgpE) and a solute-binding protein (UgpB).","['ugpA', 'YPO3795', 'y0435', 'YP_3254']"
47,Q74R28,['sn-glycerol-3-phosphate import ATP-binding protein UgpC'],"The complex is composed of two ATP-binding proteins (UgpC), two transmembrane proteins (UgpA and UgpE) and a solute-binding protein (UgpB).","['ugpC', 'YPO3793', 'y0437', 'YP_3256']"
48,Q0WKM6,[],"The complex is composed of two ATP-binding proteins (UgpC), two transmembrane proteins (UgpA and UgpE) and a solute-binding protein (UgpB).",[]
49,Q0WAI5,[],"The complex is composed of two ATP-binding proteins (UgpC), two transmembrane proteins (UgpA and UgpE) and a solute-binding protein (UgpB).",[]
50,Q0WA80,['Aerobic glycerol-3-phosphate dehydrogenase (Partial)'],"The complex is composed of two ATP-binding proteins (UgpC), two transmembrane proteins (UgpA and UgpE) and a solute-binding protein (UgpB).","['glpD', 'glyD', 'YPO3937']"
51,Q0WAI6,['Anaerobic glycerol-3-phosphate dehydrogenase subunit C'],"The complex is composed of two ATP-binding proteins (UgpC), two transmembrane proteins (UgpA and UgpE) and a solute-binding protein (UgpB).","['glpC', 'YPO3824']"
52,Q0WC65,[],"The complex is composed of two ATP-binding proteins (UgpC), two transmembrane proteins (UgpA and UgpE) and a solute-binding protein (UgpB).",[]
53,Q0WDQ5,[],"The complex is composed of two ATP-binding proteins (UgpC), two transmembrane proteins (UgpA and UgpE) and a solute-binding protein (UgpB).",[]
54,Q7CJA2,[],"The complex is composed of two ATP-binding proteins (UgpC), two transmembrane proteins (UgpA and UgpE) and a solute-binding protein (UgpB).",[]
55,Q0WF90,[],"The complex is composed of two ATP-binding proteins (UgpC), two transmembrane proteins (UgpA and UgpE) and a solute-binding protein (UgpB).",[]
56,Q0WH64,[],"The complex is composed of two ATP-binding proteins (UgpC), two transmembrane proteins (UgpA and UgpE) and a solute-binding protein (UgpB).",[]
57,Q7CHQ3,['Galactose/methyl galactoside import ATP-binding protein MglA'],"The complex is composed of one ATP-binding protein (MglA), two transmembrane proteins (MglC) and a solute-binding protein (MglB).","['mglA', 'YPO1508', 'y2661', 'YP_1398']"
58,Q7CJA1,[],"The complex is composed of one ATP-binding protein (MglA), two transmembrane proteins (MglC) and a solute-binding protein (MglB).",[]
59,Q7CHH4,[],"The complex is composed of one ATP-binding protein (MglA), two transmembrane proteins (MglC) and a solute-binding protein (MglB).",[]
60,Q74VQ1,[],"The complex is composed of one ATP-binding protein (MglA), two transmembrane proteins (MglC) and a solute-binding protein (MglB).",[]
61,Q7CHH3,[],"The complex is composed of one ATP-binding protein (MglA), two transmembrane proteins (MglC) and a solute-binding protein (MglB).",[]
62,Q7CJ23,[],"The complex is composed of one ATP-binding protein (MglA), two transmembrane proteins (MglC) and a solute-binding protein (MglB).",[]
63,Q0WGR5,"['D-galactose/methyl-galactoside binding periplasmic protein MglB', 'D-galactose-binding periplasmic protein', 'D-galactose/D-glucose-binding protein']","The ABC transporter complex is composed of one ATP-binding protein (MglA), two transmembrane proteins (MglC) and a solute-binding protein (MglB).","['mglB', 'YPO1507']"
64,Q7CJ22,[],"The ABC transporter complex is composed of one ATP-binding protein (MglA), two transmembrane proteins (MglC) and a solute-binding protein (MglB).",[]
65,Q74VB3,[],"The ABC transporter complex is composed of one ATP-binding protein (MglA), two transmembrane proteins (MglC) and a solute-binding protein (MglB).",[]
66,Q7CJA3,[],"The ABC transporter complex is composed of one ATP-binding protein (MglA), two transmembrane proteins (MglC) and a solute-binding protein (MglB).",[]
67,Q0WHR1,[],"The ABC transporter complex is composed of one ATP-binding protein (MglA), two transmembrane proteins (MglC) and a solute-binding protein (MglB).",[]
68,Q0WHK2,[],"The ABC transporter complex is composed of one ATP-binding protein (MglA), two transmembrane proteins (MglC) and a solute-binding protein (MglB).",[]
69,Q7CJB1,[],"The ABC transporter complex is composed of one ATP-binding protein (MglA), two transmembrane proteins (MglC) and a solute-binding protein (MglB).",[]
70,Q7CGC6,[],"The ABC transporter complex is composed of one ATP-binding protein (MglA), two transmembrane proteins (MglC) and a solute-binding protein (MglB).",[]
71,Q7CIH3,[],"The ABC transporter complex is composed of one ATP-binding protein (MglA), two transmembrane proteins (MglC) and a solute-binding protein (MglB).",[]
72,Q7CG71,[],"The ABC transporter complex is composed of one ATP-binding protein (MglA), two transmembrane proteins (MglC) and a solute-binding protein (MglB).",[]
73,Q0WIB1,[],"The ABC transporter complex is composed of one ATP-binding protein (MglA), two transmembrane proteins (MglC) and a solute-binding protein (MglB).",[]
74,Q7CJJ9,[],"The ABC transporter complex is composed of one ATP-binding protein (MglA), two transmembrane proteins (MglC) and a solute-binding protein (MglB).",[]
75,Q7CII7,[],"The ABC transporter complex is composed of one ATP-binding protein (MglA), two transmembrane proteins (MglC) and a solute-binding protein (MglB).",[]
76,Q7CKD2,[],"The ABC transporter complex is composed of one ATP-binding protein (MglA), two transmembrane proteins (MglC) and a solute-binding protein (MglB).",[]
77,Q0WDY8,[],"The ABC transporter complex is composed of one ATP-binding protein (MglA), two transmembrane proteins (MglC) and a solute-binding protein (MglB).",[]
78,Q7CLB1,[],"The ABC transporter complex is composed of one ATP-binding protein (MglA), two transmembrane proteins (MglC) and a solute-binding protein (MglB).",[]
79,Q7CKD4,"[""5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase"", ""5'-deoxyadenosine nucleosidase""]",Homodimer.,"['mtnN', 'YPO3384', 'y0805', 'YP_0301']"
80,Q0WA90,[],Homodimer.,[]
81,Q0W9R9,[],Homodimer.,[]
82,Q0WGH7,[],Homodimer.,[]
83,Q0WA75,[],Homodimer.,[]
84,Q0WAF3,[],Homodimer.,[]
85,Q7CFP2,[],Homodimer.,[]
86,Q0WGK5,[],Homodimer.,[]
87,Q7CFZ3,[],Homodimer.,[]
88,Q0WA79,[],Homodimer.,[]
89,Q0WIC2,[],Homodimer.,[]
90,Q0WA78,[],Homodimer.,[]
91,Q0WD56,[],Homodimer.,[]
92,Q0WA76,[],Homodimer.,[]
93,Q0WA77,[],Homodimer.,[]
94,Q0WFB0,[],Homodimer.,[]
95,Q7CJ67,[],Homodimer.,[]
96,Q9ETB0,['Aspartate-semialdehyde dehydrogenase'],Homodimer.,"['asd', 'YPO3949']"
97,Q74TY8,[],Homodimer.,[]
98,Q7CJ68,[],Homodimer.,[]
99,Q7CJ69,[],Homodimer.,[]
100,Q0WHY5,[],Homodimer.,[]
101,Q7CIH5,[],Homodimer.,[]
102,Q74YC3,[],Homodimer.,[]
103,Q7CJU5,[],Homodimer.,[]
104,Q0WDQ2,[],Homodimer.,[]
105,Q7CL62,[],Homodimer.,[]
106,Q0WAZ3,[],Homodimer.,[]
107,Q0WC64,[],Homodimer.,[]
108,Q0WDC3,['Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta'],"Acetyl-CoA carboxylase is a heterohexamer composed of biotin carboxyl carrier protein (AccB), biotin carboxylase (AccC) and two subunits each of ACCase subunit alpha (AccA) and ACCase subunit beta (AccD).","['accD', 'YPO2768', 'y1601', 'YP_2396']"
109,Q0WBZ1,[],"Acetyl-CoA carboxylase is a heterohexamer composed of biotin carboxyl carrier protein (AccB), biotin carboxylase (AccC) and two subunits each of ACCase subunit alpha (AccA) and ACCase subunit beta (AccD).",[]
