UniProtID,Unnamed: 0,proteinNames,txt_subunit,geneNames,subunitnumber
P40989,15,"['1,3-beta-glucan synthase component GSC2', '1,3-beta-D-glucan-UDP glucosyltransferase', 'FK506 sensitivity protein 2', 'Glucan synthase of cerevisiae protein 2']","Component of the 1,3-beta-glucan synthase (GS) complex, composed of two alternate catalytic subunits FKS1 or GSC2, and a regulatory subunit RHO1. Interacts with SMK1.","['GSC2', 'FKS2', 'GLS2', 'YGR032W']",1
J5S8X4,16,"['1,3-beta-glucanosyltransferase']","Component of the 1,3-beta-glucan synthase (GS) complex, composed of two alternate catalytic subunits FKS1 or GSC2, and a regulatory subunit RHO1. Interacts with SMK1.","['YOL132W', 'SKDI15G0280', 'SKDI_15G0280', 'SKUD_200604']",1
J4U109,17,['ADH4-like protein'],"Component of the 1,3-beta-glucan synthase (GS) complex, composed of two alternate catalytic subunits FKS1 or GSC2, and a regulatory subunit RHO1. Interacts with SMK1.","['YGL256W', 'SKUD_204908']",1
J6EKQ6,18,['alcohol dehydrogenase'],"Component of the 1,3-beta-glucan synthase (GS) complex, composed of two alternate catalytic subunits FKS1 or GSC2, and a regulatory subunit RHO1. Interacts with SMK1.","['YBR145W', 'SKDI02G2550', 'SKDI_02G2550', 'SKUD_205114']",1
J6ELC7,19,['Elongation of fatty acids protein'],"Component of the 1,3-beta-glucan synthase (GS) complex, composed of two alternate catalytic subunits FKS1 or GSC2, and a regulatory subunit RHO1. Interacts with SMK1.","['YCR034W', 'SKDI03G1010', 'SKDI_03G1010', 'SKUD_203507']",1
J6EHB4,20,"['1,3-beta-glucanosyltransferase']","Component of the 1,3-beta-glucan synthase (GS) complex, composed of two alternate catalytic subunits FKS1 or GSC2, and a regulatory subunit RHO1. Interacts with SMK1.","['YMR215W', 'SKDI13G3450', 'SKDI_13G3450', 'SKUD_140003']",1
J5PBK2,21,"['1,3-beta-glucanosyltransferase']","Component of the 1,3-beta-glucan synthase (GS) complex, composed of two alternate catalytic subunits FKS1 or GSC2, and a regulatory subunit RHO1. Interacts with SMK1.","['YMR307W', 'SKUD_154102']",1
P38631,22,"['1,3-beta-glucan synthase component FKS1', '1,3-beta-D-glucan-UDP glucosyltransferase', 'Calcineurin dependent protein 1', 'Calcofluor white hypersensitivity protein 53', 'Echinocandin target gene protein 1', 'FK506 sensitivity protein 1', 'Glucan synthase of cerevisiae protein 1', 'Papulacandin B resistance protein 1']","Component of the 1,3-beta-glucan synthase (GS) complex, composed of two alternate catalytic subunits FKS1 or GSC2, and a regulatory subunit RHO1. Interacts with RHO1, which is a GTP-binding protein.","['FKS1', 'CND1', 'CWH53', 'ETG1', 'GLS1', 'GSC1', 'PBR1', 'YLR342W', 'L8300.6']",1
Q04952,23,"['1,3-beta-glucan synthase component FKS3', '1,3-beta-D-glucan-UDP glucosyltransferase', 'FK506 sensitivity protein 3']","Component of the 1,3-beta-glucan synthase (GS) complex, composed of two alternate catalytic subunits FKS1 or GSC2, and a regulatory subunit RHO1. Interacts with RHO1, which is a GTP-binding protein.","['FKS3', 'YMR306W', 'YM9952.08']",1
J4U463,24,['BAP2-like protein'],"Component of the 1,3-beta-glucan synthase (GS) complex, composed of two alternate catalytic subunits FKS1 or GSC2, and a regulatory subunit RHO1. Interacts with RHO1, which is a GTP-binding protein.","['YBR068C', 'SKDI02G1740', 'SKDI_02G1740', 'SKUD_165002']",1
