UniProtID,Unnamed: 0,proteinNames,txt_subunit,geneNames,subunitnumber
Q18AK1,4,['L(+)-tartrate dehydratase subunit beta'],Heterotetramer of two alpha and two beta subunits.,"['fumB', 'CD630_10040']",2
Q185V1,5,"['L-lactate dehydrogenase', 'L-LDH']",Homotetramer.,"['ldh', 'CD630_21640']",4
Q189V0,6,"['ABC-type transport system, aminoacid-family ATP-binding protein']",Homotetramer.,[],4
Q189U6,7,"['ABC-type transport system, aminoacid-family permease']",Homotetramer.,[],4
Q186Y5,8,"['ABC-type transport system, aminoacid-family ATP-binding protein']",Homotetramer.,[],4
Q18A95,9,"['ABC-type transport system, glycine betaine/carnitine/choline permease']",Homotetramer.,"['opuCC', 'CD630_09010']",4
Q18A90,10,"['ABC-type transport system, glycine betaine/carnitine/choline ATP-binding protein']",Homotetramer.,"['opuCA', 'CD630_09000']",4
Q17ZV9,11,"['ABC-type transport system, glycine betaine/carnitine/choline ATP-binding protein']",Homotetramer.,[],4
Q18AM7,12,"['ABC-type transport system,spermidine/putrescine permease']",Homotetramer.,"['potB', 'CD630_10250']",4
Q189R4,13,['Carbon monoxide dehydrogenase'],Homotetramer.,"['cooS1', 'CD630_07160']",4
Q18AM5,14,"['ABC-type transport system,spermidine/putrescine solute-binding protein']",Homotetramer.,"['potD', 'CD630_10270']",4
Q18AM6,15,"['ABC-type transport system,spermidine/putrescine permease']",Homotetramer.,"['potC', 'CD630_10260']",4
Q18C11,16,"['ABC-type transport system, methionine-specific substrate-binding lipoprotein']",Homotetramer.,"['metQ', 'CD630_14910']",4
Q186K7,17,['Lipoprotein'],Homotetramer.,[],4
Q18C10,18,"['ABC-type transport system, methionine-specific permease']",Homotetramer.,"['metI', 'CD630_14900']",4
Q186G9,19,"['ABC-type transport system, ATP-binding protein']",Homotetramer.,[],4
Q189D2,20,"['ATPase, P-type, heavy metal translocating']",Homotetramer.,[],4
Q186L3,21,['Cation-transporting ATPase'],Homotetramer.,[],4
Q189S2,22,"['Bifunctional carbon monoxide dehydrogenase/acetyl-CoA synthase,nickel-inserting subunit']",Homotetramer.,[],4
Q189R3,23,"['Bifunctional carbon monoxide dehydrogenase/acetyl-CoA synthase, accessory protein']",Homotetramer.,[],4
