,UniProtID,proteinNames,txt_subunit,geneNames
0,Q88GX6,['Delta 1-piperideine-2-carboxylate reductase'],,"['dpkA', 'PP_3591']"
1,Q88NI4,"['7-carboxy-7-deazaguanine synthase', 'CDG synthase']",Homodimer.,"['queE', 'PP_1225']"
2,Q88PX5,"['4-diphosphocytidyl-2-C-methyl-D-erythritol kinase', 'CMK']",Homodimer.,"['ispE', 'PP_0723']"
3,Q88NF4,['1-pyrroline-4-hydroxy-2-carboxylate deaminase'],Homodimer.,[]
4,Q88JL2,['Glucanase'],Homodimer.,"['bcsZ', 'PP_2637']"
5,Q88L02,['Fatty acid oxidation complex subunit alpha'],Heterotetramer of two alpha chains (FadB) and two beta chains (FadA).,"['fadB', 'PP_2136']"
6,Q88LC7,"['2,4-dienoyl-CoA reductase']",Heterotetramer of two alpha chains (FadB) and two beta chains (FadA).,"['fadH', 'PP_2008']"
7,Q88PG9,['Dipeptide ABC transporter-putative membrane subunit'],Heterotetramer of two alpha chains (FadB) and two beta chains (FadA).,"['dppB', 'PP_0881']"
8,Q88PH0,['Dipeptide ABC transporter-putative membrane subunit'],Heterotetramer of two alpha chains (FadB) and two beta chains (FadA).,"['dppC', 'PP_0880']"
9,Q88PH2,"['Dipeptide ABC transporter, binding subunit']",Heterotetramer of two alpha chains (FadB) and two beta chains (FadA).,"['dppF', 'PP_0878']"
10,Q88PG5,['Dipeptide ABC transporter-periplasmic binding protein'],Heterotetramer of two alpha chains (FadB) and two beta chains (FadA).,"['dppA-III', 'PP_0885']"
11,Q88PG6,['Dipeptide ABC transporter-periplasmic binding protein'],Heterotetramer of two alpha chains (FadB) and two beta chains (FadA).,"['dppA-II', 'PP_0884']"
12,Q88PG8,['Dipeptide ABC transporter-periplasmic binding protein'],Heterotetramer of two alpha chains (FadB) and two beta chains (FadA).,"['dppA-I', 'PP_0882']"
13,Q88JL1,['Cellulose synthase operon C protein'],Heterotetramer of two alpha chains (FadB) and two beta chains (FadA).,[]
14,Q88JL3,['Cyclic di-GMP-binding protein'],Tightly associated with the cellulose synthase catalytic subunit.,"['bcsB', 'PP_2636']"
15,Q88JL4,['Cellulose synthase catalytic subunit [UDP-forming]'],Tightly associated with the cellulose synthase catalytic subunit.,"['bcsA', 'PP_2635']"
16,Q88JB5,['Cyclopropane-fatty-acyl-phospholipid synthase'],Tightly associated with the cellulose synthase catalytic subunit.,"['cfa', 'PP_2734']"
17,Q88PH9,"['Glycine betaine/carnitine/choline ABC transporter, permease protein']",Tightly associated with the cellulose synthase catalytic subunit.,[]
18,Q88PI0,"['Glycine betaine/carnitine/choline ABC transporter, periplasmic binding protein']",Tightly associated with the cellulose synthase catalytic subunit.,[]
19,Q88R38,['Choline / betaine / carnitine ABC transporter-substrate binding protein'],Tightly associated with the cellulose synthase catalytic subunit.,"['cbcX', 'PP_0296']"
20,Q88R39,['Choline / betaine / carnitine ABC transporter-membrane subunit'],Tightly associated with the cellulose synthase catalytic subunit.,"['cbcW', 'PP_0295']"
21,Q88R40,['Choline / betaine / carnitine ABC transporter-ATP binding subunit'],Tightly associated with the cellulose synthase catalytic subunit.,"['cbcV', 'PP_0294']"
22,Q88PI1,['Osmoprotectant ABC transporter permease subunit'],Tightly associated with the cellulose synthase catalytic subunit.,"['yehW', 'PP_0869']"
23,Q88PI2,['ABC transporter ATP-binding subunit'],Tightly associated with the cellulose synthase catalytic subunit.,"['yehX', 'PP_0868']"
24,Q88CW6,['Oxygen-dependent choline dehydrogenase'],Tightly associated with the cellulose synthase catalytic subunit.,"['betA', 'PP_5064']"
25,Q88EV6,"['D-alanine--D-alanine ligase A', 'D-Ala-D-Ala ligase A', 'D-alanylalanine synthetase A']",Tightly associated with the cellulose synthase catalytic subunit.,"['ddlA', 'PP_4346']"
26,Q88N74,"['D-alanine--D-alanine ligase B', 'D-Ala-D-Ala ligase B', 'D-alanylalanine synthetase B']",Tightly associated with the cellulose synthase catalytic subunit.,"['ddlB', 'PP_1339']"
27,Q88PG7,['Glycine-glutamate dipeptide porin'],Tightly associated with the cellulose synthase catalytic subunit.,"['opdP', 'PP_0883']"
28,Q88M74,['Acyltransferase'],Tightly associated with the cellulose synthase catalytic subunit.,[]
29,Q88HH9,['2-ketogluconokinase'],Tightly associated with the cellulose synthase catalytic subunit.,"['kguK', 'PP_3378']"
30,Q88HI0,"['2-ketogluconate transporter, putative']",Tightly associated with the cellulose synthase catalytic subunit.,"['kguT', 'PP_3377']"
31,Q88HC7,['4-hydroxyphenylpyruvate dioxygenase'],Tightly associated with the cellulose synthase catalytic subunit.,"['hpd', 'PP_3433']"
32,Q88Q98,['Omega-amino acid--pyruvate aminotransferase'],Tightly associated with the cellulose synthase catalytic subunit.,[]
33,O85207,['(R)-3-hydroxydecanoyl-ACP:CoA transacylase'],Tightly associated with the cellulose synthase catalytic subunit.,"['phaG', 'PP_1408']"
34,Q88MG9,"['3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ', '(3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase', '(3R)-hydroxymyristoyl-ACP dehydrase', 'Beta-hydroxyacyl-ACP dehydratase']",Tightly associated with the cellulose synthase catalytic subunit.,"['fabZ', 'PP_1602']"
35,Q88FC4,"['3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase', '3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA', 'Beta-hydroxydecanoyl thioester dehydrase', 'Trans-2-decenoyl-[acyl-carrier-protein] isomerase']",Homodimer.,"['fabA', 'PP_4174']"
36,Q88DK8,['MaoC domain protein'],Homodimer.,[]
37,Q88RQ2,['Choline-sulfatase'],Homodimer.,"['betC', 'PP_0077']"
38,Q88RQ4,['Choline sulfate transporter'],Homodimer.,[]
39,Q88RQ3,['Choline betaine-binding protein'],Homodimer.,[]
40,Q88RA4,['Choline/carnitine/betaine transporter'],Homodimer.,"['betT-II', 'PP_0229']"
41,Q88FX0,['Choline/carnitine/betaine transporter BetTC'],Homodimer.,"['betT-III', 'PP_3957']"
