UniProtID,Unnamed: 0,proteinNames,txt_subunit,geneNames,subunitnumber
Q9X0Y2,0,"['Aspartate aminotransferase', 'AspAT']",Homodimer.,"['aspC', 'TM_1255']",2
Q9X224,1,['Aminotransferase'],Homodimer.,[],2
Q9WY13,2,['tetrahydrofolate synthase'],Monomer.,[],1
Q9WYG8,3,"['Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit', 'Dihydroorotate oxidase B', 'Orotate reductase (NADH)']",Heterotetramer of 2 PyrK and 2 PyrD type B subunits.,"['pyrD', 'TM_0333']",2
Q9WYG9,4,"['Putative dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit']",Heterotetramer of 2 PyrK and 2 PyrD type B subunits.,"['pyrK', 'TM_0334']",2
Q9X022,5,"['Alcohol dehydrogenase, iron-containing']",Heterotetramer of 2 PyrK and 2 PyrD type B subunits.,[],2
Q9WYH0,6,"['Putative dihydroorotase', 'DHOase']",Heterotetramer of 2 PyrK and 2 PyrD type B subunits.,"['pyrC', 'TM_0335']",2
Q9WYI4,7,"['3-dehydroquinate dehydratase', '3-dehydroquinase']",Homododecamer.,"['aroQ', 'TM_0349']",12
Q9WYI3,8,['Bifunctional shikimate kinase/3-dehydroquinate synthase'],Homododecamer.,"['aroKB', 'TM_0348']",12
Q9WY08,9,['Geranyltranstransferase'],Homododecamer.,[],12
Q9WYF3,10,"['Cation-transporting ATPase, P-type']",Homododecamer.,[],12
Q9X1A7,11,['Dephospho-CoA kinase'],Homododecamer.,"['coaE', 'TM_1387']",12
Q9X0U1,12,"['NADH dehydrogenase, putative']",Homododecamer.,[],12
Q9X0T8,13,"['NADH dehydrogenase, putative']",Homododecamer.,[],12
Q9WY44,14,"['NADP-reducing hydrogenase, subunit D, putative']",Homododecamer.,[],12
Q9X0U2,15,"['NADH dehydrogenase, 30 kDa subunit, putative']",Homododecamer.,[],12
Q9WXW6,16,"['Alcohol dehydrogenase, iron-containing']",Homododecamer.,[],12
Q9WZH6,17,"['Propionyl-CoA carboxylase, gamma subunit']",Homododecamer.,[],12
Q9WXM5,18,"['NADP-reducing hydrogenase, subunit C']",Homododecamer.,[],12
Q9WZ20,19,"['Ketol-acid reductoisomerase (NADP(+))', 'KARI', 'Acetohydroxy-acid isomeroreductase', 'AHIR', 'Alpha-keto-beta-hydroxylacyl reductoisomerase', 'Ketol-acid reductoisomerase type 1', 'Ketol-acid reductoisomerase type I']",Homododecamer.,"['ilvC', 'TM_0550']",12
Q9WZH5,20,"['Propionyl-CoA carboxylase, beta subunit']",Homododecamer.,[],12
Q9X2A4,21,"['Acetylglutamate kinase', 'N-acetyl-L-glutamate 5-phosphotransferase', 'NAG kinase', 'NAGK']",Homohexamer.,"['argB', 'TM_1784']",6
Q9X055,22,"['Ribokinase', 'RK']",Homodimer.,"['rbsK', 'TM_0960']",2
Q9X2A3,23,['Arginine biosynthesis bifunctional protein ArgJ'],Heterotetramer of two alpha and two beta chains.,"['argJ', 'TM_1783']",2
Q9X1P5,24,"['Deoxyribose-phosphate aldolase', 'DERA', '2-deoxy-D-ribose 5-phosphate aldolase', 'Phosphodeoxyriboaldolase', 'Deoxyriboaldolase']",Heterotetramer of two alpha and two beta chains.,"['deoC', 'TM_1559']",2
Q9WXM7,25,"['NADP-reducing hydrogenase, subunit A']",Heterotetramer of two alpha and two beta chains.,[],2
Q9WZ19,26,['Acetolactate synthase small subunit'],Dimer of large and small chains.,[],1
Q9X0U3,27,"['NADH dehydrogenase, 49 kDa subunit, putative']",Dimer of large and small chains.,[],1
Q9WZ18,28,['Acetolactate synthase'],Dimer of large and small chains.,[],1
Q9WYB1,29,['Acetate kinase'],Homodimer.,"['ackA', 'TM_0274']",2
Q9WZQ9,30,['3-oxoacyl-[acyl-carrier-protein] synthase 2'],Homodimer.,[],2
Q9WYC8,31,"['3-isopropylmalate dehydratase small subunit 1', 'Alpha-IPM isomerase 1', 'IPMI 1', 'Isopropylmalate isomerase 1']",Heterodimer of LeuC and LeuD.,"['leuD1', 'TM_0292']",1
Q9WYC7,32,"['3-isopropylmalate dehydratase large subunit 1', 'Alpha-IPM isomerase 1', 'IPMI 1', 'Isopropylmalate isomerase 1']",Heterodimer of LeuC and LeuD.,"['leuC1', 'TM_0291']",1
Q9X2A5,33,"['Acetylornithine aminotransferase', 'ACOAT']",Homodimer.,"['argD', 'TM_1785']",2
Q9WZF6,34,"['Holo-[acyl-carrier-protein] synthase', 'Holo-ACP synthase']",Homodimer.,"['acpS', 'TM_0692']",2
Q9X0I3,35,['Thymidylate kinase'],Homodimer.,"['tmk', 'TM_1099']",2
Q9X1Q0,36,['Acylphosphatase'],Homodimer.,"['acyP', 'TM_1564']",2
Q9X034,37,"['5-methylthioadenosine/S-adenosylhomocysteine deaminase', 'MTA/SAH deaminase']",Homodimer.,"['mtaD', 'TM_0936']",2
Q9X0I9,38,"['NADH dehydrogenase, putative']",Homodimer.,[],2
Q9X1I8,39,"['Adenylate kinase', 'AK', 'ATP-AMP transphosphorylase', 'ATP:AMP phosphotransferase', 'Adenylate monophosphate kinase']",Monomer.,"['adk', 'TM_1479']",1
Q9X0T9,40,"['NADH dehydrogenase, putative']",Monomer.,[],1
Q9WYN2,41,['Thymidine kinase'],Homotetramer.,"['tdk', 'TM_0401']",4
Q9X215,42,['Guanylate kinase'],Homotetramer.,"['gmk', 'TM_1689']",4
Q9WZC3,43,['S-adenosylmethionine decarboxylase proenzyme'],Heterotetramer of two alpha and two beta chains arranged as a dimer of alpha/beta heterodimers.,"['speH', 'TM_0655']",1
Q9X015,44,"['Nucleoside triphosphate pyrophosphohydrolase/pyrophosphatase MazG', 'NTP-PPase']",Homodimer.,"['mazG', 'TM_0913']",2
Q9X255,45,['NAD kinase'],Homodimer.,"['NADK', 'TM_1733']",2
Q9X1A4,46,"['Adenine phosphoribosyltransferase', 'APRT']",Homodimer.,"['apt', 'TM_1384']",2
Q9WZZ1,47,"['1-deoxy-D-xylulose 5-phosphate reductoisomerase', 'DXP reductoisomerase', '1-deoxyxylulose-5-phosphate reductoisomerase', '2-C-methyl-D-erythritol 4-phosphate synthase']",Homodimer.,"['dxr', 'TM_0889']",2
Q9X0I0,48,"['Adenylosuccinate lyase', 'ASL']",Homotetramer. Residues from neighboring subunits contribute catalytic and substrate-binding residues to each active site.,"['purB', 'TM_1095']",4
Q9WYQ9,49,"['Oxidoreductase, putative']",Homotetramer. Residues from neighboring subunits contribute catalytic and substrate-binding residues to each active site.,[],4
Q9X0I1,50,['Adenylosuccinate synthetase'],Homodimer.,"['purA', 'TM_1096']",2
Q9X291,51,['1-deoxy-D-xylulose-5-phosphate synthase'],Homodimer.,"['dxs', 'TM_1770']",2
Q9WZS1,52,['N-acetylglucosamine-6-phosphate deacetylase'],Homodimer.,[],2
Q9WYE1,53,"['Endoglucanase, putative']",Homodimer.,[],2
Q9WZB3,54,['NH(3)-dependent NAD(+) synthetase'],Homodimer.,"['nadE1', 'TM_0645']",2
Q9X219,55,['1-acyl-sn-glycerol-3-phosphate acyltransferase'],Homodimer.,[],2
G4FFR3,56,['Endoglucanase'],Homodimer.,[],2
Q9X2A2,57,"['N-acetyl-gamma-glutamyl-phosphate reductase', 'AGPR']",Homodimer.,"['argC', 'TM_1782']",2
Q9X0Y0,58,['Glutamine-dependent NAD(+) synthetase'],Homodimer.,"['nadE2', 'TM_1253']",2
