,name,gene_reaction_rule,subunit_num
ALATA_D2,D-alanine transaminase,b2551 or b0870,2 or 4 
SHCHD2,Sirohydrochlorin dehydrogenase (NAD),b3368,2
CPPPGO,Coproporphyrinogen oxidase (O2 required),b2436,2
GTHOr,Glutathione oxidoreductase,b3500,2
DHORD5,Dihydroorotic acid (menaquinone-8),b0945,1
GLYCTO2,Glycolate oxidase,b4468 and b2979 and b4467,1 and 1 and 1 
GLYCTO3,Glycolate oxidase,b4468 and b2979 and b4467,1 and 1 and 1 
GLYCTO4,Glycolate oxidase,b4468 and b2979 and b4467,1 and 1 and 1 
PFK_3,Phosphofructokinase (s7p),b3916,4
TRPS2,Tryptophan synthase (indole),b1260 and b1261,2 and 2 
G3PD5,Glycerol-3-phosphate dehydrogenase (ubiquinone-8),( b2242 and b2243 and b2241 ) or b3426,( 1 and 1 and 1 ) or 2 
LEUTAi,Leucine transaminase (irreversible),b3770 or b4054,6 or 2 
SHK3Dr,Shikimate dehydrogenase,b3281,1
SHK3Dr_reverse,Shikimate dehydrogenase,b1692,2
G5SD,Glutamate-5-semialdehyde dehydrogenase,b0243,4
ALATA_L2,Alanine transaminase,b0870 or b2551,4 or 2 
MAN6PI,Mannose-6-phosphate isomerase,b1613,1
APRAUR,5-amino-6-(5-phosphoribosylamino)uracil reductase,b0414,2
DB4PS,"3,4-Dihydroxy-2-butanone-4-phosphate synthase",b3041,2
RBFK,Riboflavin kinase,b0025,1
ACP1_FMN,Acid phosphatase (FMN),b0446 or b3812 or b0844,1 or 1 or 1 
RBFSb,Riboflavin synthase,b1662,3
DMATT,Dimethylallyltranstransferase,b0421,1
GRTT,Geranyltranstransferase,b0421,1
UPP3S,Uroporphyrinogen-III synthase,b3804,1
UPPDC1,Uroporphyrinogen decarboxylase (uroporphyrinogen III),b3997,1
TMDPP,Thymidine phosphorylase,b4382,2
HCO3E,HCO3 equilibration reaction,b0126 or b0339,4 or 2 
IMPC,IMP cyclohydrolase,b4006,1
IMPD,IMP dehydrogenase,b2508,4
ECOAH4,3-hydroxyacyl-CoA dehydratase (3-hydroxydecanoyl-CoA),b2341 or b3846,1 or 2 
GLUTRS,Glutamyl-tRNA synthetase,b2400,1
TMPPP,Thiamine-phosphate diphosphorylase,b3993,1
URIK1,Uridine kinase  ATPUridine ,b2066,1
