UniProtID,Unnamed: 0,proteinNames,txt_subunit,geneNames,subunitnumber
P63557,2,"['Acetylglutamate kinase', 'N-acetyl-L-glutamate 5-phosphotransferase', 'NAG kinase', 'NAGK']",Homodimer.,"['argB', 'STM4122']",2
Q8ZPL4,3,['Outer membrane protein N'],Homodimer.,"['ompN', 'STM1473']",2
Q8ZMB8,4,['Amino-acid acetyltransferase'],Homohexamer.,"['argA', 'STM2992']",6
Q2QHH4,5,['Outer membrane protein 1a'],Homohexamer.,"['ompF', 'STM0999']",6
Q9L6T2,6,['Acetolactate synthase'],Homohexamer.,"['ilvG', 'ilvG_1', 'STM3901']",6
Q7CPF3,7,['acetolactate synthase'],Dimer of large and small chains.,"['ilvN', 'STM3795']",1
Q8ZL15,8,['Acetolactate synthase'],Dimer of large and small chains.,"['ilvB', 'STM3796']",1
Q7CPD7,9,[],Dimer of large and small chains.,"['ilvM', 'STM3902']",1
P63411,10,['Acetate kinase AckA'],Homodimer.,"['ackA', 'STM2337']",2
O06961,11,['Propionate kinase'],Homodimer.,"['tdcD', 'oxd-2', 'STM3242']",2
P0A263,12,"['Outer membrane porin C', 'Outer membrane protein C', 'Porin OmpC']",Homotrimer.,"['ompC', 'STM2267']",3
P30705,13,['Outer membrane porin PhoE'],Homotrimer.,"['phoE', 'STM0320']",3
P37451,14,['Propanediol uptake facilitator PduF'],Homotrimer.,"['pduF', 'STM2037']",3
P14845,15,['Carbamoyl phosphate synthase small chain'],"Composed of two chains; the small (or glutamine) chain promotes the hydrolysis of glutamine to ammonia, which is used by the large (or ammonia) chain to synthesize carbamoyl phosphate. Tetramer of heterodimers (alpha,beta)4.","['carA', 'STM0066']",1
P14846,16,['Carbamoyl phosphate synthase large chain'],"Composed of two chains; the small (or glutamine) chain promotes the hydrolysis of glutamine to ammonia, which is used by the large (or ammonia) chain to synthesize carbamoyl phosphate. Tetramer of heterodimers (alpha,beta)4.","['carB', 'STM0067']",1
Q8ZNW5,17,"['Formate-dependent phosphoribosylglycinamide formyltransferase', ""5'-phosphoribosylglycinamide transformylase 2"", 'Formate-dependent GAR transformylase', 'GAR transformylase 2', 'GART 2', 'Non-folate glycinamide ribonucleotide transformylase', 'Phosphoribosylglycinamide formyltransferase 2']",Homodimer.,"['purT', 'STM1883']",2
P37457,18,"['UDP-N-acetyl-D-mannosaminuronic acid transferase', 'UDP-ManNAcA transferase']",Homodimer.,"['wecG', 'rffM', 'STM3929', 'STMD1.61']",2
Q8ZLE5,19,['P-type ATPase family'],Homodimer.,"['zntA', 'STM3576']",2
Q8ZP02,20,['Mannose-specific enzyme IID'],Homodimer.,"['manZ', 'STM1832']",2
Q8ZQT3,21,['Zinc transporter ZitB'],Homodimer.,"['zitB', 'STM0758']",2
Q8ZKR4,22,['Cation-efflux pump FieF'],Homodimer.,"['fieF', 'STM4061']",2
P67470,23,['Zinc transporter ZupT'],Homodimer.,"['zupT', 'STM3190']",2
P26219,24,"['CDP-diacylglycerol pyrophosphatase', 'CDP-diacylglycerol phosphatidylhydrolase', 'CDP-diglyceride hydrolase']",Homodimer.,"['cdh', 'ushB', 'STM4064']",2
P26468,25,['Maltose/maltodextrin transport system permease protein MalG'],"The complex is composed of two ATP-binding proteins (MalK), two transmembrane proteins (MalG and MalF) and a solute-binding protein (MalE).","['malG', 'STM4227']",1
P26467,26,['Maltose/maltodextrin transport system permease protein MalF'],"The complex is composed of two ATP-binding proteins (MalK), two transmembrane proteins (MalG and MalF) and a solute-binding protein (MalE).","['malF', 'STM4228']",1
P19566,27,['Maltose/maltodextrin import ATP-binding protein MalK'],"The complex is composed of two ATP-binding proteins (MalK), two transmembrane proteins (MalG and MalK) and a solute-binding protein (MalE).","['malK', 'STM4230']",1
P19576,28,"['Maltose/maltodextrin-binding periplasmic protein', 'MMBP', 'Maltodextrin-binding protein', 'Maltose-binding protein', 'MBP']","The complex is composed of two ATP-binding proteins (MalK), two transmembrane proteins (MalG and MalF) and a solute-binding protein (MalE).","['malE', 'STM4229']",1
P26466,29,['Maltoporin'],"Homotrimer formed of three 18-stranded antiparallel beta-barrels, containing three independent channels.","['lamB', 'malL', 'STM4231']",3
P26265,30,"[""2',3'-cyclic-nucleotide 2'-phosphodiesterase/3'-nucleotidase""]","Homotrimer formed of three 18-stranded antiparallel beta-barrels, containing three independent channels.","['cpdB', 'STM4403']",3
Q7CQD8,31,['Mannose-specific enzyme IIC'],"Homotrimer formed of three 18-stranded antiparallel beta-barrels, containing three independent channels.","['manY', 'STM1831']",3
Q8ZP03,32,"['PTS system mannose-specific EIIAB component', 'EIIAB-Man', 'EIII-Man']",Homodimer.,"['manX', 'STM1830']",2
P0A2G5,33,"['Sialic acid transporter NanT', 'Sialic acid permease', 'Sialic acid/H(+) symporter']",Homodimer.,"['nanT', 'STM3338']",2
Q8ZMA5,34,['Lysophospholipid transporter LplT'],Homodimer.,"['lplT', 'STM3009']",2
Q8ZMA4,35,['Bifunctional protein Aas'],Homodimer.,"['aas', 'STM3010']",2
P30753,36,"['4-diphosphocytidyl-2-C-methyl-D-erythritol kinase', 'CMK']",Homodimer.,"['ispE', 'ipk', 'STM1779']",2
Q8ZLQ6,37,"['N-acetylneuraminate lyase', 'N-acetylneuraminate pyruvate-lyase', 'N-acetylneuraminic acid aldolase', 'Sialate lyase', 'Sialic acid aldolase', 'Sialic acid lyase']",Homotetramer.,"['nanA', 'STM3339']",4
Q8ZRJ7,38,['Acyl-coenzyme A dehydrogenase'],Homotetramer.,"['fadE', 'fadF', 'yafH', 'STM0309']",4
Q7CQL0,39,['Cyclopropane fatty acyl phospholipid synthase'],Homotetramer.,"['cfa', 'STM1427']",4
Q8ZLA1,40,['Glyoxylate/hydroxypyruvate reductase B'],Homodimer.,"['ghrB', 'STM3646']",2
O85139,41,"['Beta-ketoacyl-[acyl-carrier-protein] synthase III', '3-oxoacyl-[acyl-carrier-protein] synthase 3', '3-oxoacyl-[acyl-carrier-protein] synthase III']",Homodimer.,"['fabH', 'STM1193']",2
Q8ZKL9,42,['Acetylornithine deacetylase'],Homodimer.,"['argE', 'STM4120']",2
Q8ZP52,43,"['Aconitate hydratase A', '(2R,3S)-2-methylisocitrate dehydratase', '(2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate dehydratase', '2-methyl-cis-aconitate hydratase', 'Iron-responsive protein-like', 'IRP-like', 'RNA-binding protein']",Monomer.,"['acnA', 'STM1712']",1
Q8ZRB6,44,['HMP-PP phosphatase'],Monomer.,"['cof', 'STM0457']",1
Q8ZNM9,45,"['ABC-type proline/glycine betaine transport system, permease component']",Monomer.,"['yehY', 'STM2164']",1
Q8ZRS8,46,"['Aconitate hydratase B', '(2R,3S)-2-methylisocitrate dehydratase', '(2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate dehydratase', '2-methyl-cis-aconitate hydratase', 'Iron-responsive protein-like', 'IRP-like', 'RNA-binding protein']",Monomer.,"['acnB', 'STM0158']",1
Q8ZNN0,47,"['ABC-type proline/glycine betaine transport system, permease component']",Monomer.,"['yehW', 'STM2162']",1
Q8ZNM8,48,['ABC superfamily transport protein (Bind_prot)'],Monomer.,"['yehZ', 'STM2165']",1
Q7CQ89,49,"['ABC-type proline/glycine betaine transport system, ATPase component']",Monomer.,"['yehX', 'STM2163']",1
Q8ZPZ3,50,['Phosphatase NudJ'],Monomer.,"['ymfB', 'nudJ', 'STM1235']",1
P40732,51,['Acetylornithine/succinyldiaminopimelate aminotransferase'],Homodimer.,"['argD', 'dapC', 'dtu', 'STM3468']",2
P0A1H9,52,"['3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ', '(3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase', '(3R)-hydroxymyristoyl-ACP dehydrase', 'Beta-hydroxyacyl-ACP dehydratase']",Homodimer.,"['fabZ', 'STM0227']",2
Q8ZPV2,53,"['Succinylornithine transaminase', 'SOAT']",Homodimer.,"['astC', 'argM', 'STM1303']",2
P64105,54,"['3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase', '3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA', 'Beta-hydroxydecanoyl thioester dehydrase', 'Trans-2-decenoyl-[acyl-carrier-protein] isomerase']",Homodimer.,"['fabA', 'STM1067']",2
P58729,55,"['Chorismate synthase', 'CS']",Homotetramer.,"['aroC', 'STM2384']",4
P63466,56,"['Holo-[acyl-carrier-protein] synthase', 'Holo-ACP synthase']",Homodimer.,"['acpS', 'dpj', 'STM2577']",2
Q8ZL78,57,['Cryptic L-xylulose kinase'],Homodimer.,"['lyxK', 'STM3674']",2
Q8ZLE2,58,"[""4'-phosphopantetheinyl transferase AcpT""]",Homodimer.,"['acpT', 'STM3583']",2
Q8ZKI0,59,['Chorismate pyruvate-lyase'],Monomer.,"['ubiC', 'STM4233']",1
Q8ZMX5,60,['Cysteine/O-acetylserine efflux protein'],Monomer.,"['eamB', 'STM2645']",1
P66881,61,"[""5'/3'-nucleotidase SurE"", 'Exopolyphosphatase', 'Nucleoside monophosphate phosphohydrolase']",Monomer.,"['surE', 'STM2927']",1
Q7CQZ6,62,['Citrate lyase acyl carrier protein 1'],"Oligomer with a subunit composition of (alpha,beta,gamma)6.","['citD1', 'citD', 'STM0623']",1
Q56072,63,['Probable amino-acid metabolite efflux pump'],"Oligomer with a subunit composition of (alpha,beta,gamma)6.","['eamA', 'STM1517']",1
