UniProtID,Unnamed: 0,proteinNames,txt_subunit,geneNames,subunitnumber
Q88NI4,1,"['7-carboxy-7-deazaguanine synthase', 'CDG synthase']",Homodimer.,"['queE', 'PP_1225']",2
Q88PX5,2,"['4-diphosphocytidyl-2-C-methyl-D-erythritol kinase', 'CMK']",Homodimer.,"['ispE', 'PP_0723']",2
Q88NF4,3,['1-pyrroline-4-hydroxy-2-carboxylate deaminase'],Homodimer.,[],2
Q88JL2,4,['Glucanase'],Homodimer.,"['bcsZ', 'PP_2637']",2
Q88L02,5,['Fatty acid oxidation complex subunit alpha'],Heterotetramer of two alpha chains (FadB) and two beta chains (FadA).,"['fadB', 'PP_2136']",2
Q88LC7,6,"['2,4-dienoyl-CoA reductase']",Heterotetramer of two alpha chains (FadB) and two beta chains (FadA).,"['fadH', 'PP_2008']",2
Q88PG9,7,['Dipeptide ABC transporter-putative membrane subunit'],Heterotetramer of two alpha chains (FadB) and two beta chains (FadA).,"['dppB', 'PP_0881']",2
Q88PH0,8,['Dipeptide ABC transporter-putative membrane subunit'],Heterotetramer of two alpha chains (FadB) and two beta chains (FadA).,"['dppC', 'PP_0880']",2
Q88PH2,9,"['Dipeptide ABC transporter, binding subunit']",Heterotetramer of two alpha chains (FadB) and two beta chains (FadA).,"['dppF', 'PP_0878']",2
Q88PG5,10,['Dipeptide ABC transporter-periplasmic binding protein'],Heterotetramer of two alpha chains (FadB) and two beta chains (FadA).,"['dppA-III', 'PP_0885']",2
Q88PG6,11,['Dipeptide ABC transporter-periplasmic binding protein'],Heterotetramer of two alpha chains (FadB) and two beta chains (FadA).,"['dppA-II', 'PP_0884']",2
Q88PG8,12,['Dipeptide ABC transporter-periplasmic binding protein'],Heterotetramer of two alpha chains (FadB) and two beta chains (FadA).,"['dppA-I', 'PP_0882']",2
Q88JL1,13,['Cellulose synthase operon C protein'],Heterotetramer of two alpha chains (FadB) and two beta chains (FadA).,[],2
Q88JL3,14,['Cyclic di-GMP-binding protein'],Tightly associated with the cellulose synthase catalytic subunit.,"['bcsB', 'PP_2636']",1
Q88JL4,15,['Cellulose synthase catalytic subunit [UDP-forming]'],Tightly associated with the cellulose synthase catalytic subunit.,"['bcsA', 'PP_2635']",1
Q88JB5,16,['Cyclopropane-fatty-acyl-phospholipid synthase'],Tightly associated with the cellulose synthase catalytic subunit.,"['cfa', 'PP_2734']",1
Q88PH9,17,"['Glycine betaine/carnitine/choline ABC transporter, permease protein']",Tightly associated with the cellulose synthase catalytic subunit.,[],1
Q88PI0,18,"['Glycine betaine/carnitine/choline ABC transporter, periplasmic binding protein']",Tightly associated with the cellulose synthase catalytic subunit.,[],1
Q88R38,19,['Choline / betaine / carnitine ABC transporter-substrate binding protein'],Tightly associated with the cellulose synthase catalytic subunit.,"['cbcX', 'PP_0296']",1
Q88R39,20,['Choline / betaine / carnitine ABC transporter-membrane subunit'],Tightly associated with the cellulose synthase catalytic subunit.,"['cbcW', 'PP_0295']",1
Q88R40,21,['Choline / betaine / carnitine ABC transporter-ATP binding subunit'],Tightly associated with the cellulose synthase catalytic subunit.,"['cbcV', 'PP_0294']",1
Q88PI1,22,['Osmoprotectant ABC transporter permease subunit'],Tightly associated with the cellulose synthase catalytic subunit.,"['yehW', 'PP_0869']",1
Q88PI2,23,['ABC transporter ATP-binding subunit'],Tightly associated with the cellulose synthase catalytic subunit.,"['yehX', 'PP_0868']",1
Q88CW6,24,['Oxygen-dependent choline dehydrogenase'],Tightly associated with the cellulose synthase catalytic subunit.,"['betA', 'PP_5064']",1
Q88EV6,25,"['D-alanine--D-alanine ligase A', 'D-Ala-D-Ala ligase A', 'D-alanylalanine synthetase A']",Tightly associated with the cellulose synthase catalytic subunit.,"['ddlA', 'PP_4346']",1
Q88N74,26,"['D-alanine--D-alanine ligase B', 'D-Ala-D-Ala ligase B', 'D-alanylalanine synthetase B']",Tightly associated with the cellulose synthase catalytic subunit.,"['ddlB', 'PP_1339']",1
