,UniProtID,proteinNames,txt_subunit,geneNames
0,Q8ZQX6,"['Sugar Specific PTS family, n-acetylglucosamine-specific enzyme IIABC']",,"['nagE', 'STM0685']"
1,P37439,['PTS system glucose-specific EIICB component'],,"['ptsG', 'STM1203']"
2,P63557,"['Acetylglutamate kinase', 'N-acetyl-L-glutamate 5-phosphotransferase', 'NAG kinase', 'NAGK']",Homodimer.,"['argB', 'STM4122']"
3,Q8ZPL4,['Outer membrane protein N'],Homodimer.,"['ompN', 'STM1473']"
4,Q8ZMB8,['Amino-acid acetyltransferase'],Homohexamer.,"['argA', 'STM2992']"
5,Q2QHH4,['Outer membrane protein 1a'],Homohexamer.,"['ompF', 'STM0999']"
6,Q9L6T2,['Acetolactate synthase'],Homohexamer.,"['ilvG', 'ilvG_1', 'STM3901']"
7,Q7CPF3,['acetolactate synthase'],Dimer of large and small chains.,"['ilvN', 'STM3795']"
8,Q8ZL15,['Acetolactate synthase'],Dimer of large and small chains.,"['ilvB', 'STM3796']"
9,Q7CPD7,[],Dimer of large and small chains.,"['ilvM', 'STM3902']"
10,P63411,['Acetate kinase AckA'],Homodimer.,"['ackA', 'STM2337']"
11,O06961,['Propionate kinase'],Homodimer.,"['tdcD', 'oxd-2', 'STM3242']"
12,P0A263,"['Outer membrane porin C', 'Outer membrane protein C', 'Porin OmpC']",Homotrimer.,"['ompC', 'STM2267']"
13,P30705,['Outer membrane porin PhoE'],Homotrimer.,"['phoE', 'STM0320']"
14,P37451,['Propanediol uptake facilitator PduF'],Homotrimer.,"['pduF', 'STM2037']"
15,P14845,['Carbamoyl phosphate synthase small chain'],"Composed of two chains; the small (or glutamine) chain promotes the hydrolysis of glutamine to ammonia, which is used by the large (or ammonia) chain to synthesize carbamoyl phosphate. Tetramer of heterodimers (alpha,beta)4.","['carA', 'STM0066']"
16,P14846,['Carbamoyl phosphate synthase large chain'],"Composed of two chains; the small (or glutamine) chain promotes the hydrolysis of glutamine to ammonia, which is used by the large (or ammonia) chain to synthesize carbamoyl phosphate. Tetramer of heterodimers (alpha,beta)4.","['carB', 'STM0067']"
17,Q8ZNW5,"['Formate-dependent phosphoribosylglycinamide formyltransferase', ""5'-phosphoribosylglycinamide transformylase 2"", 'Formate-dependent GAR transformylase', 'GAR transformylase 2', 'GART 2', 'Non-folate glycinamide ribonucleotide transformylase', 'Phosphoribosylglycinamide formyltransferase 2']",Homodimer.,"['purT', 'STM1883']"
18,P37457,"['UDP-N-acetyl-D-mannosaminuronic acid transferase', 'UDP-ManNAcA transferase']",Homodimer.,"['wecG', 'rffM', 'STM3929', 'STMD1.61']"
19,Q8ZLE5,['P-type ATPase family'],Homodimer.,"['zntA', 'STM3576']"
20,Q8ZP02,['Mannose-specific enzyme IID'],Homodimer.,"['manZ', 'STM1832']"
21,Q8ZQT3,['Zinc transporter ZitB'],Homodimer.,"['zitB', 'STM0758']"
22,Q8ZKR4,['Cation-efflux pump FieF'],Homodimer.,"['fieF', 'STM4061']"
23,P67470,['Zinc transporter ZupT'],Homodimer.,"['zupT', 'STM3190']"
24,P26219,"['CDP-diacylglycerol pyrophosphatase', 'CDP-diacylglycerol phosphatidylhydrolase', 'CDP-diglyceride hydrolase']",Homodimer.,"['cdh', 'ushB', 'STM4064']"
25,P26468,['Maltose/maltodextrin transport system permease protein MalG'],"The complex is composed of two ATP-binding proteins (MalK), two transmembrane proteins (MalG and MalF) and a solute-binding protein (MalE).","['malG', 'STM4227']"
26,P26467,['Maltose/maltodextrin transport system permease protein MalF'],"The complex is composed of two ATP-binding proteins (MalK), two transmembrane proteins (MalG and MalF) and a solute-binding protein (MalE).","['malF', 'STM4228']"
27,P19566,['Maltose/maltodextrin import ATP-binding protein MalK'],"The complex is composed of two ATP-binding proteins (MalK), two transmembrane proteins (MalG and MalK) and a solute-binding protein (MalE).","['malK', 'STM4230']"
28,P19576,"['Maltose/maltodextrin-binding periplasmic protein', 'MMBP', 'Maltodextrin-binding protein', 'Maltose-binding protein', 'MBP']","The complex is composed of two ATP-binding proteins (MalK), two transmembrane proteins (MalG and MalF) and a solute-binding protein (MalE).","['malE', 'STM4229']"
29,P26466,['Maltoporin'],"Homotrimer formed of three 18-stranded antiparallel beta-barrels, containing three independent channels.","['lamB', 'malL', 'STM4231']"
30,P26265,"[""2',3'-cyclic-nucleotide 2'-phosphodiesterase/3'-nucleotidase""]","Homotrimer formed of three 18-stranded antiparallel beta-barrels, containing three independent channels.","['cpdB', 'STM4403']"
31,Q7CQD8,['Mannose-specific enzyme IIC'],"Homotrimer formed of three 18-stranded antiparallel beta-barrels, containing three independent channels.","['manY', 'STM1831']"
32,Q8ZP03,"['PTS system mannose-specific EIIAB component', 'EIIAB-Man', 'EIII-Man']",Homodimer.,"['manX', 'STM1830']"
33,P0A2G5,"['Sialic acid transporter NanT', 'Sialic acid permease', 'Sialic acid/H(+) symporter']",Homodimer.,"['nanT', 'STM3338']"
34,Q8ZMA5,['Lysophospholipid transporter LplT'],Homodimer.,"['lplT', 'STM3009']"
35,Q8ZMA4,['Bifunctional protein Aas'],Homodimer.,"['aas', 'STM3010']"
36,P30753,"['4-diphosphocytidyl-2-C-methyl-D-erythritol kinase', 'CMK']",Homodimer.,"['ispE', 'ipk', 'STM1779']"
37,Q8ZLQ6,"['N-acetylneuraminate lyase', 'N-acetylneuraminate pyruvate-lyase', 'N-acetylneuraminic acid aldolase', 'Sialate lyase', 'Sialic acid aldolase', 'Sialic acid lyase']",Homotetramer.,"['nanA', 'STM3339']"
38,Q8ZRJ7,['Acyl-coenzyme A dehydrogenase'],Homotetramer.,"['fadE', 'fadF', 'yafH', 'STM0309']"
