,name,gene_reaction_rule,subunit_num,subunit_mw
ALATA_D2_num1,D-alanine transaminase,b2551,2,45.31659
ALATA_D2_num2,D-alanine transaminase,b0870,4 ,36.49471
SHCHD2,Sirohydrochlorin dehydrogenase (NAD),b3368,2,49.9514
CPPPGO,Coproporphyrinogen oxidase (O2 required),b2436,2,34.32263
GTHOr,Glutathione oxidoreductase,b3500,2,48.77251
DHORD5,Dihydroorotic acid (menaquinone-8),b0945,1,36.77452
GLYCTO2,Glycolate oxidase,b4468 and b2979 and b4467,1 and 1 and 1 ,38.36098 and 53.8117 and 45.11012
GLYCTO3,Glycolate oxidase,b4468 and b2979 and b4467,1 and 1 and 1 ,38.36098 and 53.8117 and 45.11012
GLYCTO4,Glycolate oxidase,b4468 and b2979 and b4467,1 and 1 and 1 ,38.36098 and 53.8117 and 45.11012
PFK_3,Phosphofructokinase (s7p),b3916,4,34.84204
TRPS2,Tryptophan synthase (indole),b1260 and b1261,2 and 2 ,28.72416 and 42.98301
G3PD5_num1,Glycerol-3-phosphate dehydrogenase (ubiquinone-8),( b2242 and b2243 and b2241 ),( 1 and 1 and 1 ),( 45.35724 and 44.10804 and 58.95825 )
G3PD5_num2,Glycerol-3-phosphate dehydrogenase (ubiquinone-8),b3426,2 ,56.75054
LEUTAi_num1,Leucine transaminase (irreversible),b3770,6,34.09365
LEUTAi_num2,Leucine transaminase (irreversible),b4054,2 ,43.53781
SHK3Dr,Shikimate dehydrogenase,b3281,1,29.41364
SHK3Dr_reverse,Shikimate dehydrogenase,b1692,2,31.2278
G5SD,Glutamate-5-semialdehyde dehydrogenase,b0243,4,44.63005
ALATA_L2_num1,Alanine transaminase,b0870,4,36.49471
ALATA_L2_num2,Alanine transaminase,b2551,2 ,45.31659
MAN6PI,Mannose-6-phosphate isomerase,b1613,1,42.84995
APRAUR,5-amino-6-(5-phosphoribosylamino)uracil reductase,b0414,2,40.33831
DB4PS,"3,4-Dihydroxy-2-butanone-4-phosphate synthase",b3041,2,23.35347
RBFK,Riboflavin kinase,b0025,1,34.73427
ACP1_FMN_num1,Acid phosphatase (FMN),b0446,1,30.37091
ACP1_FMN_num2,Acid phosphatase (FMN),b3812,1,27.12184
ACP1_FMN_num3,Acid phosphatase (FMN),b0844,1 ,30.19621
RBFSb,Riboflavin synthase,b1662,3,23.4449
DMATT,Dimethylallyltranstransferase,b0421,1,32.15963
GRTT,Geranyltranstransferase,b0421,1,32.15963
UPP3S,Uroporphyrinogen-III synthase,b3804,1,27.79794
UPPDC1,Uroporphyrinogen decarboxylase (uroporphyrinogen III),b3997,1,39.24812
TMDPP,Thymidine phosphorylase,b4382,2,47.20712
HCO3E_num1,HCO3 equilibration reaction,b0126,4,25.09677
HCO3E_num2,HCO3 equilibration reaction,b0339,2 ,23.76426
IMPC,IMP cyclohydrolase,b4006,1,57.32921
IMPD,IMP dehydrogenase,b2508,4,52.02245
ECOAH4_num1,3-hydroxyacyl-CoA dehydratase (3-hydroxydecanoyl-CoA),b2341,1,77.07221
ECOAH4_num2,3-hydroxyacyl-CoA dehydratase (3-hydroxydecanoyl-CoA),b3846,2 ,79.59391
GLUTRS,Glutamyl-tRNA synthetase,b2400,1,53.81573
TMPPP,Thiamine-phosphate diphosphorylase,b3993,1,23.01528
URIK1,Uridine kinase  ATPUridine ,b2066,1,24.35311
URIK2,Uridine kinase (GTP:Uridine),b2066,1,24.35311
