UniProtID,Unnamed: 0,proteinNames,txt_subunit,geneNames,subunitnumber
Q7CH66,25,"['8-amino-7-oxononanoate synthase', 'AONS', '7-keto-8-amino-pelargonic acid synthase']",Homodimer.,"['bioF', 'YPO1152', 'y3030', 'YP_1008']",2
Q7CHF0,26,[],Homodimer.,[],2
Q7CHE8,27,[],Homodimer.,[],2
Q7CGL9,28,[],Homodimer.,[],2
Q0WJH5,29,[],Homodimer.,[],2
Q7CKB5,30,[],Homodimer.,[],2
Q7CK43,31,[],Homodimer.,[],2
Q0W9R8,32,[],Homodimer.,[],2
Q0WER8,33,[],Homodimer.,[],2
Q7CIK2,34,[],Homodimer.,[],2
Q0WER4,35,[],Homodimer.,[],2
Q0WER5,36,['Arabinose import ATP-binding protein AraG'],"The complex is composed of two ATP-binding proteins (AraG), two transmembrane proteins (AraH) and a solute-binding protein (AraF).","['araG', 'YPO2256', 'y2097', 'YP_2052']",1
Q0W9V5,37,['Glyoxylate/hydroxypyruvate reductase B'],Homodimer.,"['ghrB', 'YPO4078', 'y4096', 'YP_3988']",2
Q0WAE9,38,[],Homodimer.,[],2
Q0WBQ7,39,[],Homodimer.,[],2
Q0WHZ0,40,[],Homodimer.,[],2
Q0WJZ5,41,[],Homodimer.,[],2
Q7CKV5,42,['sn-glycerol-3-phosphate transport system permease protein UgpE'],"The complex is composed of two ATP-binding proteins (UgpC), two transmembrane proteins (UgpA and UgpE) and a solute-binding protein (UgpB).","['ugpE', 'YPO3794', 'y0436', 'YP_3255']",1
Q0WGY6,43,[],"The complex is composed of two ATP-binding proteins (UgpC), two transmembrane proteins (UgpA and UgpE) and a solute-binding protein (UgpB).",[],1
Q7CKV7,44,['sn-glycerol-3-phosphate-binding periplasmic protein UgpB'],"The complex is composed of two ATP-binding proteins (UgpC), two transmembrane proteins (UgpA and UgpE) and a solute-binding protein (UgpB).","['ugpB', 'YPO3796', 'y0434', 'YP_3253']",1
Q7CKB4,45,[],"The complex is composed of two ATP-binding proteins (UgpC), two transmembrane proteins (UgpA and UgpE) and a solute-binding protein (UgpB).",[],1
Q7CKV6,46,['sn-glycerol-3-phosphate transport system permease protein UgpA'],"The complex is composed of two ATP-binding proteins (UgpC), two transmembrane proteins (UgpA and UgpE) and a solute-binding protein (UgpB).","['ugpA', 'YPO3795', 'y0435', 'YP_3254']",1
Q74R28,47,['sn-glycerol-3-phosphate import ATP-binding protein UgpC'],"The complex is composed of two ATP-binding proteins (UgpC), two transmembrane proteins (UgpA and UgpE) and a solute-binding protein (UgpB).","['ugpC', 'YPO3793', 'y0437', 'YP_3256']",1
Q0WKM6,48,[],"The complex is composed of two ATP-binding proteins (UgpC), two transmembrane proteins (UgpA and UgpE) and a solute-binding protein (UgpB).",[],1
Q0WAI5,49,[],"The complex is composed of two ATP-binding proteins (UgpC), two transmembrane proteins (UgpA and UgpE) and a solute-binding protein (UgpB).",[],1
Q0WA80,50,['Aerobic glycerol-3-phosphate dehydrogenase (Partial)'],"The complex is composed of two ATP-binding proteins (UgpC), two transmembrane proteins (UgpA and UgpE) and a solute-binding protein (UgpB).","['glpD', 'glyD', 'YPO3937']",1
Q0WAI6,51,['Anaerobic glycerol-3-phosphate dehydrogenase subunit C'],"The complex is composed of two ATP-binding proteins (UgpC), two transmembrane proteins (UgpA and UgpE) and a solute-binding protein (UgpB).","['glpC', 'YPO3824']",1
Q0WC65,52,[],"The complex is composed of two ATP-binding proteins (UgpC), two transmembrane proteins (UgpA and UgpE) and a solute-binding protein (UgpB).",[],1
Q0WDQ5,53,[],"The complex is composed of two ATP-binding proteins (UgpC), two transmembrane proteins (UgpA and UgpE) and a solute-binding protein (UgpB).",[],1
Q7CJA2,54,[],"The complex is composed of two ATP-binding proteins (UgpC), two transmembrane proteins (UgpA and UgpE) and a solute-binding protein (UgpB).",[],1
Q0WF90,55,[],"The complex is composed of two ATP-binding proteins (UgpC), two transmembrane proteins (UgpA and UgpE) and a solute-binding protein (UgpB).",[],1
Q0WH64,56,[],"The complex is composed of two ATP-binding proteins (UgpC), two transmembrane proteins (UgpA and UgpE) and a solute-binding protein (UgpB).",[],1
Q7CHQ3,57,['Galactose/methyl galactoside import ATP-binding protein MglA'],"The complex is composed of one ATP-binding protein (MglA), two transmembrane proteins (MglC) and a solute-binding protein (MglB).","['mglA', 'YPO1508', 'y2661', 'YP_1398']",1
Q7CJA1,58,[],"The complex is composed of one ATP-binding protein (MglA), two transmembrane proteins (MglC) and a solute-binding protein (MglB).",[],1
Q7CHH4,59,[],"The complex is composed of one ATP-binding protein (MglA), two transmembrane proteins (MglC) and a solute-binding protein (MglB).",[],1
Q74VQ1,60,[],"The complex is composed of one ATP-binding protein (MglA), two transmembrane proteins (MglC) and a solute-binding protein (MglB).",[],1
Q7CHH3,61,[],"The complex is composed of one ATP-binding protein (MglA), two transmembrane proteins (MglC) and a solute-binding protein (MglB).",[],1
Q7CJ23,62,[],"The complex is composed of one ATP-binding protein (MglA), two transmembrane proteins (MglC) and a solute-binding protein (MglB).",[],1
Q0WGR5,63,"['D-galactose/methyl-galactoside binding periplasmic protein MglB', 'D-galactose-binding periplasmic protein', 'D-galactose/D-glucose-binding protein']","The ABC transporter complex is composed of one ATP-binding protein (MglA), two transmembrane proteins (MglC) and a solute-binding protein (MglB).","['mglB', 'YPO1507']",1
Q7CJ22,64,[],"The ABC transporter complex is composed of one ATP-binding protein (MglA), two transmembrane proteins (MglC) and a solute-binding protein (MglB).",[],1
Q74VB3,65,[],"The ABC transporter complex is composed of one ATP-binding protein (MglA), two transmembrane proteins (MglC) and a solute-binding protein (MglB).",[],1
Q7CJA3,66,[],"The ABC transporter complex is composed of one ATP-binding protein (MglA), two transmembrane proteins (MglC) and a solute-binding protein (MglB).",[],1
Q0WHR1,67,[],"The ABC transporter complex is composed of one ATP-binding protein (MglA), two transmembrane proteins (MglC) and a solute-binding protein (MglB).",[],1
Q0WHK2,68,[],"The ABC transporter complex is composed of one ATP-binding protein (MglA), two transmembrane proteins (MglC) and a solute-binding protein (MglB).",[],1
Q7CJB1,69,[],"The ABC transporter complex is composed of one ATP-binding protein (MglA), two transmembrane proteins (MglC) and a solute-binding protein (MglB).",[],1
Q7CGC6,70,[],"The ABC transporter complex is composed of one ATP-binding protein (MglA), two transmembrane proteins (MglC) and a solute-binding protein (MglB).",[],1
Q7CIH3,71,[],"The ABC transporter complex is composed of one ATP-binding protein (MglA), two transmembrane proteins (MglC) and a solute-binding protein (MglB).",[],1
Q7CG71,72,[],"The ABC transporter complex is composed of one ATP-binding protein (MglA), two transmembrane proteins (MglC) and a solute-binding protein (MglB).",[],1
Q0WIB1,73,[],"The ABC transporter complex is composed of one ATP-binding protein (MglA), two transmembrane proteins (MglC) and a solute-binding protein (MglB).",[],1
Q7CJJ9,74,[],"The ABC transporter complex is composed of one ATP-binding protein (MglA), two transmembrane proteins (MglC) and a solute-binding protein (MglB).",[],1
Q7CII7,75,[],"The ABC transporter complex is composed of one ATP-binding protein (MglA), two transmembrane proteins (MglC) and a solute-binding protein (MglB).",[],1
Q7CKD2,76,[],"The ABC transporter complex is composed of one ATP-binding protein (MglA), two transmembrane proteins (MglC) and a solute-binding protein (MglB).",[],1
Q0WDY8,77,[],"The ABC transporter complex is composed of one ATP-binding protein (MglA), two transmembrane proteins (MglC) and a solute-binding protein (MglB).",[],1
Q7CLB1,78,[],"The ABC transporter complex is composed of one ATP-binding protein (MglA), two transmembrane proteins (MglC) and a solute-binding protein (MglB).",[],1
Q7CKD4,79,"[""5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase"", ""5'-deoxyadenosine nucleosidase""]",Homodimer.,"['mtnN', 'YPO3384', 'y0805', 'YP_0301']",2
Q0WA90,80,[],Homodimer.,[],2
Q0W9R9,81,[],Homodimer.,[],2
Q0WGH7,82,[],Homodimer.,[],2
Q0WA75,83,[],Homodimer.,[],2
Q0WAF3,84,[],Homodimer.,[],2
Q7CFP2,85,[],Homodimer.,[],2
Q0WGK5,86,[],Homodimer.,[],2
Q7CFZ3,87,[],Homodimer.,[],2
Q0WA79,88,[],Homodimer.,[],2
Q0WIC2,89,[],Homodimer.,[],2
Q0WA78,90,[],Homodimer.,[],2
Q0WD56,91,[],Homodimer.,[],2
Q0WA76,92,[],Homodimer.,[],2
Q0WA77,93,[],Homodimer.,[],2
Q0WFB0,94,[],Homodimer.,[],2
Q7CJ67,95,[],Homodimer.,[],2
Q9ETB0,96,['Aspartate-semialdehyde dehydrogenase'],Homodimer.,"['asd', 'YPO3949']",2
Q74TY8,97,[],Homodimer.,[],2
Q7CJ68,98,[],Homodimer.,[],2
Q7CJ69,99,[],Homodimer.,[],2
Q0WHY5,100,[],Homodimer.,[],2
Q7CIH5,101,[],Homodimer.,[],2
Q74YC3,102,[],Homodimer.,[],2
Q7CJU5,103,[],Homodimer.,[],2
Q0WDQ2,104,[],Homodimer.,[],2
Q7CL62,105,[],Homodimer.,[],2
Q0WAZ3,106,[],Homodimer.,[],2
Q0WC64,107,[],Homodimer.,[],2
Q0WDC3,108,['Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta'],"Acetyl-CoA carboxylase is a heterohexamer composed of biotin carboxyl carrier protein (AccB), biotin carboxylase (AccC) and two subunits each of ACCase subunit alpha (AccA) and ACCase subunit beta (AccD).","['accD', 'YPO2768', 'y1601', 'YP_2396']",1
Q0WBZ1,109,[],"Acetyl-CoA carboxylase is a heterohexamer composed of biotin carboxyl carrier protein (AccB), biotin carboxylase (AccC) and two subunits each of ACCase subunit alpha (AccA) and ACCase subunit beta (AccD).",[],1
Q0WA46,110,[],"Acetyl-CoA carboxylase is a heterohexamer composed of biotin carboxyl carrier protein (AccB), biotin carboxylase (AccC) and two subunits each of ACCase subunit alpha (AccA) and ACCase subunit beta (AccD).",[],1
Q0WGE8,111,['N-acetyl-D-glucosamine kinase'],"Acetyl-CoA carboxylase is a heterohexamer composed of biotin carboxyl carrier protein (AccB), biotin carboxylase (AccC) and two subunits each of ACCase subunit alpha (AccA) and ACCase subunit beta (AccD).","['nagK', 'YPO1629', 'y1788', 'YP_1758']",1
Q0WFL0,112,[],"Acetyl-CoA carboxylase is a heterohexamer composed of biotin carboxyl carrier protein (AccB), biotin carboxylase (AccC) and two subunits each of ACCase subunit alpha (AccA) and ACCase subunit beta (AccD).",[],1
Q0WAE4,113,[],"Acetyl-CoA carboxylase is a heterohexamer composed of biotin carboxyl carrier protein (AccB), biotin carboxylase (AccC) and two subunits each of ACCase subunit alpha (AccA) and ACCase subunit beta (AccD).",[],1
Q7CJA4,114,[],"Acetyl-CoA carboxylase is a heterohexamer composed of biotin carboxyl carrier protein (AccB), biotin carboxylase (AccC) and two subunits each of ACCase subunit alpha (AccA) and ACCase subunit beta (AccD).",[],1
Q0WAA4,115,[],"Acetyl-CoA carboxylase is a heterohexamer composed of biotin carboxyl carrier protein (AccB), biotin carboxylase (AccC) and two subunits each of ACCase subunit alpha (AccA) and ACCase subunit beta (AccD).",[],1
Q7CJU2,116,[],"Acetyl-CoA carboxylase is a heterohexamer composed of biotin carboxyl carrier protein (AccB), biotin carboxylase (AccC) and two subunits each of ACCase subunit alpha (AccA) and ACCase subunit beta (AccD).",[],1
Q74PS5,117,[],"Acetyl-CoA carboxylase is a heterohexamer composed of biotin carboxyl carrier protein (AccB), biotin carboxylase (AccC) and two subunits each of ACCase subunit alpha (AccA) and ACCase subunit beta (AccD).",[],1
Q7CJ18,118,[],"Acetyl-CoA carboxylase is a heterohexamer composed of biotin carboxyl carrier protein (AccB), biotin carboxylase (AccC) and two subunits each of ACCase subunit alpha (AccA) and ACCase subunit beta (AccD).",[],1
Q7CLA8,119,[],"Acetyl-CoA carboxylase is a heterohexamer composed of biotin carboxyl carrier protein (AccB), biotin carboxylase (AccC) and two subunits each of ACCase subunit alpha (AccA) and ACCase subunit beta (AccD).",[],1
