UniProtID,Unnamed: 0,proteinNames,txt_subunit,geneNames,subunitnumber
Q3YVE9,12,['Magnesium transport protein CorA'],"Homopentamer. In the absence of Mg(2+), interactions between subunits are weakened, and dimers, trimers and tetramers can be observed in vitro (By similarity).","['corA', 'SSON_3991']",5
Q3Z530,13,"['D-alanine--D-alanine ligase', 'D-Ala-D-Ala ligase', 'D-alanylalanine synthetase']","Homopentamer. In the absence of Mg(2+), interactions between subunits are weakened, and dimers, trimers and tetramers can be observed in vitro (By similarity).","['ddlA', 'ddl', 'SSON_0356']",5
Q3Z032,14,"['Lipid A 1-diphosphate synthase', 'Kdo(2)-lipid A phosphotransferase', 'Undecaprenyl pyrophosphate:lipid A 1-phosphate phosphotransferase']","Homopentamer. In the absence of Mg(2+), interactions between subunits are weakened, and dimers, trimers and tetramers can be observed in vitro (By similarity).","['lpxT', 'SSON_2230']",5
Q3Z3K7,15,['ATP-dependent lipid A-core flippase'],Homodimer.,"['msbA', 'SSON_0916']",2
Q3YZZ2,16,['Outer membrane protein 1b (Ibc)'],Homotrimer.,"['ompC', 'SSON_2273']",3
Q3Z170,17,['Dipeptide epimerase'],Homotrimer.,"['ycjG', 'SSON_1813']",3
Q3Z596,18,['Outer membrane porin PhoE'],Homotrimer.,"['phoE', 'SSON_0283']",3
Q3Z3J1,19,['Outer membrane protein 1a (IabF)'],Homotrimer.,"['ompF', 'SSON_0932']",3
Q3Z315,20,['Outer membrane receptor for ferric iron uptake'],Homotrimer.,"['fhuE', 'SSON_1122']",3
Q3Z2V8,21,['Alanine racemase'],Homotrimer.,"['dadX', 'SSON_1182']",3
Q3YUT1,22,['Alanine racemase'],Homotrimer.,"['alr', 'SSON_4233']",3
Q3YUV1,23,['Maltodextrin-binding protein'],Homotrimer.,"['malE', 'SSON_4212']",3
Q3YUV3,24,['Maltose/maltodextrin transport system permease protein MalG'],Homotrimer.,"['malG', 'SSON_4210']",3
Q3Z3R3,25,['Arylsulfatase'],Homotetramer.,"['ybjU', 'SSON_0856']",4
Q3YUV2,26,['Maltose/maltodextrin transport system permease protein'],"The complex is composed of two ATP-binding proteins (MalK), two transmembrane proteins (MalG and MalF) and a solute-binding protein (MalE).","['malF', 'SSON_4211']",1
Q3YZ04,27,['Serine hydroxymethyltransferase'],Homodimer.,"['glyA', 'SSON_2634']",2
Q3YUV0,28,['Maltose/maltodextrin import ATP-binding protein MalK'],"The complex is composed of two ATP-binding proteins (MalK), two transmembrane proteins (MalG and MalK) and a solute-binding protein (MalE).","['malK', 'SSON_4213']",1
Q3YUU9,29,['Maltoporin'],"Homotrimer formed of three 18-stranded antiparallel beta-barrels, containing three independent channels.","['lamB', 'SSON_4214']",3
Q3YUD4,30,"[""2':3'-cyclic-nucleotide 2'-phosphodiesterase""]","Homotrimer formed of three 18-stranded antiparallel beta-barrels, containing three independent channels.","['cpdB', 'SSON_4398']",3
Q3YZS0,31,['alanine transaminase'],"Homotrimer formed of three 18-stranded antiparallel beta-barrels, containing three independent channels.",[],3
Q3YZF1,32,['Aminotransferase'],"Homotrimer formed of three 18-stranded antiparallel beta-barrels, containing three independent channels.",[],3
Q3YYG6,33,['Alanine--tRNA ligase'],Homotetramer.,"['alaS', 'SSON_2841']",4
Q3YW68,34,['High-affinity amino acid transport system periplasmic binding protein'],Homotetramer.,"['livJ', 'SSON_3698']",4
Q3YY22,35,['Lysophospholipid transporter LplT'],Homotetramer.,"['lplT', 'SSON_2995']",4
