UniProtID,Unnamed: 0,proteinNames,txt_subunit,geneNames,subunitnumber
B7FS46,2,['ATP synthase subunit beta'],"F-type ATPases have 2 components, CF(1) - the catalytic core - and CF(0) - the membrane proton channel. CF(1) has five subunits: alpha(3), beta(3), gamma(1), delta(1), epsilon(1). CF(0) has three main subunits: a, b and c.","['atpB', 'PHATRDRAFT_54086']",1
B7GA40,3,"['Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial']","F-type ATPases have 2 components, CF(1) - the catalytic core - and CF(0) - the membrane proton channel. CF(1) has five subunits: alpha(3), beta(3), gamma(1), delta(1), epsilon(1). CF(0) has three main subunits: a, b and c.","['SDH2', 'PHATRDRAFT_52539']",1
B7FUM8,4,['Oligomycin sensitivity conferral protein'],"F-type ATPases have 2 components, CF(1) - the catalytic core - and CF(0) - the membrane proton channel. CF(1) has five subunits: alpha(3), beta(3), gamma(1), delta(1), epsilon(1). CF(0) has three main subunits: a, b and c.",[],1
B7G5Z8,5,['Glycine cleavage system P protein'],"The glycine cleavage system is composed of four proteins: P, T, L and H.","['GDCP', 'PHATRDRAFT_22187']",1
B7FVF5,6,['Fumarate reductase flavoprotein'],"The glycine cleavage system is composed of four proteins: P, T, L and H.",[],1
B7G8H7,7,"[""pyridoxal 5'-phosphate synthase (glutamine hydrolyzing)""]","The glycine cleavage system is composed of four proteins: P, T, L and H.",[],1
B7FST3,8,['Glycine cleavage system H protein'],"The glycine cleavage system is composed of four proteins: P, T, L and H.","['GDCH', 'PHATRDRAFT_32847']",1
B7FRE6,9,['ATPase F1/V1/A1 complex alpha/beta subunit nucleotide-binding domain-containing protein'],"The glycine cleavage system is composed of four proteins: P, T, L and H.",[],1
B7FR45,10,['3-methyl-2-oxobutanoate hydroxymethyltransferase'],"The glycine cleavage system is composed of four proteins: P, T, L and H.",[],1
B7FUP6,11,['2-isopropylmalate synthase'],"The glycine cleavage system is composed of four proteins: P, T, L and H.",[],1
B7FSH7,12,['DNA/pantothenate metabolism flavoprotein C-terminal domain-containing protein'],"The glycine cleavage system is composed of four proteins: P, T, L and H.",[],1
B7FZP8,13,['D-lactate dehydrogenase'],"The glycine cleavage system is composed of four proteins: P, T, L and H.","['D-LCR', 'PHATRDRAFT_20192']",1
B7G1X4,14,['5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase'],"The glycine cleavage system is composed of four proteins: P, T, L and H.",[],1
B7FTE2,15,"['ATP synthase subunit gamma, mitochondrial']","The glycine cleavage system is composed of four proteins: P, T, L and H.",[],1
B7G287,16,['Uncharacterized protein'],"The glycine cleavage system is composed of four proteins: P, T, L and H.",[],1
B7GDA8,17,['3-hydroxyacyl-[acyl-carrier-protein] dehydratase'],"The glycine cleavage system is composed of four proteins: P, T, L and H.","['FABZ_2', 'PHATRDRAFT_55157']",1
B7GB47,18,['Uncharacterized protein'],"The glycine cleavage system is composed of four proteins: P, T, L and H.",[],1
B5Y5A5,19,['proton-translocating NAD(P)(+) transhydrogenase'],"The glycine cleavage system is composed of four proteins: P, T, L and H.",[],1
B7G529,20,['inorganic diphosphatase'],"The glycine cleavage system is composed of four proteins: P, T, L and H.",[],1
B7FT09,21,['inorganic diphosphatase'],"The glycine cleavage system is composed of four proteins: P, T, L and H.",[],1
B7FS72,22,['Enoyl-acp reductase'],"The glycine cleavage system is composed of four proteins: P, T, L and H.","['FABI', 'PHATRDRAFT_10068']",1
B7GBF1,23,['ornithine carbamoyltransferase'],"The glycine cleavage system is composed of four proteins: P, T, L and H.",[],1
B7FUT6,24,['Uroporphyrinogen decarboxylase'],Homodimer.,"['HemE_2', 'PHATRDRAFT_19188']",2
B7G0Z0,25,['Uroporphyrinogen decarboxylase'],Homodimer.,"['HemE_1', 'PHATRDRAFT_20757']",2
B7FZ15,26,['Adenylate kinase'],Homodimer.,[],2
B7G5D7,27,['DUF1995 domain-containing protein'],Homodimer.,[],2
B7G2T4,28,['Adenylate kinase'],Homodimer.,[],2
B7G5A1,29,['Glutamine synthetase'],Homodimer.,[],2
B7FZ42,30,['AMP-dependent synthetase/ligase domain-containing protein'],Homodimer.,[],2
B7FZB0,31,['Synthase of glutamate synthase'],Homodimer.,"['GltD', 'PHATRDRAFT_20342']",2
B7GAZ5,32,"['Ferredoxin-dependent glutamate synthase, fusion of large and small subunits']",Homodimer.,"['GltX', 'PHATRDRAFT_51214']",2
B7FXX6,33,['Long chain acyl-coa synthetase'],Homodimer.,"['ACS4', 'PHATRDRAFT_45510']",2
B7G9G9,34,['fructose-bisphosphate aldolase'],Homodimer.,"['FbaC2', 'PHATRDRAFT_22993']",2
B7G9F0,35,['Acetyl-coenzyme A synthetase'],Homodimer.,[],2
B7G0H9,36,['Ornithine aminotransferase'],Homodimer.,"['OAT', 'PHATRDRAFT_27726']",2
B7G3T2,37,['Geranylgeranyl diphosphate synthase'],Homodimer.,[],2
B7GCP7,38,['CTP synthase'],Homodimer.,[],2
B7FRU6,39,['Aminotransferase class I/classII domain-containing protein'],Homodimer.,[],2
B7G2V2,40,['hydroxymethylglutaryl-CoA lyase'],Homodimer.,"['HCL1', 'PHATRDRAFT_13643']",2
B7G3D4,41,['Malonyl-CoA:ACP transacylase'],Homodimer.,"['FABD', 'PHATRDRAFT_37652']",2
B7FSG4,42,['Aminotransferase class I/classII domain-containing protein'],Homodimer.,[],2
B7GDJ7,43,['Uncharacterized protein'],Homodimer.,[],2
B7GDE4,44,['Aspartate aminotransferase'],Homodimer.,"['AAT_2', 'PHATRDRAFT_23871']",2
B7FVX7,45,['Histidine decarboxylase'],Homodimer.,[],2
B7FV67,46,['threonine ammonia-lyase'],Homodimer.,[],2
B7G9B5,47,['Threonine dehydratase'],Homodimer.,"['TDH', 'PHATRDRAFT_49047']",2
B7G713,48,['Catalase'],Homodimer.,[],2
B7GAR0,49,['fructose-bisphosphatase'],Homodimer.,"['FBP', 'PHATRDRAFT_23247']",2
B7GBU6,50,['methylmalonate-semialdehyde dehydrogenase (CoA acylating)'],Homodimer.,[],2
B7FPB5,51,['Serine hydroxymethyltransferase'],Homodimer.,[],2
B7G3F1,52,['Tryptophan synthase beta chain-like PALP domain-containing protein'],Homodimer.,[],2
B7FUH0,53,['alanine transaminase'],Homodimer.,[],2
B7G5R1,54,['Dehydrogenase'],Homodimer.,[],2
B7GDK9,55,['Glucose-6-phosphate isomerase'],Homodimer.,"['GPI_1', 'PHATRDRAFT_23924']",2
B7G997,56,['Nitrate reductase'],Homodimer.,[],2
B7G3C1,57,['Triosephosphate isomerase'],Homodimer.,"['TIM_1', 'PHATRDRAFT_54738']",2
B7FR81,58,['chorismate mutase'],Homodimer.,[],2
B7G137,59,['Aldolase fructose-6-phosphate-aldolase'],Homodimer.,"['FSA', 'PHATRDRAFT_20779']",2
B7G0H8,60,['fumarate hydratase'],Homodimer.,"['Fum', 'PHATRDRAFT_36139']",2
B7G8F0,61,['Selenocysteine lyase'],Homodimer.,"['CsdB', 'PHATRDRAFT_2966']",2
B7GDS3,62,['Spermine/spermidine synthase'],Homodimer.,[],2
B7G0K7,63,"['Succinate--CoA ligase [ADP-forming] subunit alpha, mitochondrial']",Heterodimer of an alpha and a beta subunit.,"['SCS-alpha', 'PHATRDRAFT_42015']",1
B7GEM7,64,['Carbamate kinase'],Heterodimer of an alpha and a beta subunit.,[],1
B7FXA2,65,"['Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial']",Heterodimer of an alpha and a beta subunit.,[],1
B7FY24,66,['Ribulose-phosphate 3-epimerase'],Heterodimer of an alpha and a beta subunit.,"['RPE2', 'PHATRDRAFT_20015']",1
B7G5R3,67,['transketolase'],Heterodimer of an alpha and a beta subunit.,[],1
B7FRG3,68,['Ribulose-phosphate 3-epimerase'],Heterodimer of an alpha and a beta subunit.,"['Rpe', 'PHATRDRAFT_53935']",1
B7G0B2,69,['dihydroxy-acid dehydratase'],Heterodimer of an alpha and a beta subunit.,[],1
B7FXL7,70,['Formyl transferase N-terminal domain-containing protein'],Heterodimer of an alpha and a beta subunit.,[],1
B7G718,71,"['tetrahydrofolate synthase', 'Folylpoly-gamma-glutamate synthetase', 'Tetrahydrofolylpolyglutamate synthase']",Heterodimer of an alpha and a beta subunit.,[],1
B7FSS9,72,['Pyrroline-5-carboxylate reductase'],Heterodimer of an alpha and a beta subunit.,[],1
B7FW28,73,['Formyltetrahydrofolate deformylase'],Heterodimer of an alpha and a beta subunit.,[],1
B7FV89,74,['diaminopimelate epimerase'],Heterodimer of an alpha and a beta subunit.,[],1
B7FRJ9,75,['Phospho-2-dehydro-3-deoxyheptonate aldolase'],Heterodimer of an alpha and a beta subunit.,"['AroA', 'PHATRDRAFT_24353']",1
B7GEJ6,76,['acetylornithine transaminase'],Heterodimer of an alpha and a beta subunit.,[],1
B7FZ92,77,['Acetyl-CoA C-acyltransferase'],Heterodimer of an alpha and a beta subunit.,[],1
B7G9X0,78,['formate--tetrahydrofolate ligase'],Heterodimer of an alpha and a beta subunit.,"['FTHFS', 'PHATRDRAFT_49229']",1
B7FTL5,79,['Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex'],Heterodimer of an alpha and a beta subunit.,"['DHLTA_4', 'PHATRDRAFT_54219']",1
B7FT50,80,['asparagine synthase (glutamine-hydrolyzing)'],Heterodimer of an alpha and a beta subunit.,[],1
B7G9B7,81,"['Pantoate--beta-alanine ligase', 'Pantoate-activating enzyme', 'Pantothenate synthetase']",Heterodimer of an alpha and a beta subunit.,[],1
B7FQE2,82,['2-oxoisovalerate dehydrogenase subunit alpha'],Heterodimer of an alpha and a beta subunit.,[],1
B7G4R3,83,['fructose-bisphosphate aldolase'],Heterodimer of an alpha and a beta subunit.,"['Fba3', 'PHATRDRAFT_29014']",1
B7FRC1,84,['fructose-bisphosphate aldolase'],Heterodimer of an alpha and a beta subunit.,"['Fba4', 'PHATRDRAFT_42447']",1
B7G1R8,85,['3-oxoacyl-[acyl-carrier protein'],Heterodimer of an alpha and a beta subunit.,"['FABG', 'PHATRDRAFT_13073']",1
B7GCN5,86,['Agmatinase'],Heterodimer of an alpha and a beta subunit.,[],1
B7G4F0,87,['Anthranilate phosphoribosyltransferase'],Heterodimer of an alpha and a beta subunit.,"['PHATRDRAFT_14230', 'PHATRDRAFT_28937']",1
