,UniProtID,proteinNames,txt_subunit,geneNames
0,Q3Z1M8,['Transport protein'],,[]
1,Q3YVS2,['ABC-type dipeptide transporter'],,"['dppD', 'SSON_3849']"
2,Q3Z1M6,['ATP-binding component of a transport system'],,[]
3,Q3Z1M9,['Transport system permease protein'],,[]
4,Q3YVS3,['Dipeptide transport system permease protein 2'],,"['dppC', 'SSON_3848']"
5,Q3Z1M7,['ATP-binding component of a transport system'],,[]
6,Q3YVS1,['ATP-binding component of dipeptide transport system'],,"['dppF', 'SSON_3850']"
7,Q3Z1N0,['Hemin-binding lipoprotein'],,[]
8,Q3YVS5,['Dipeptide transport protein'],,"['dppA', 'SSON_3846']"
9,Q3YVS4,['Dipeptide transport system permease protein 1'],,"['dppB', 'SSON_3847']"
10,Q3Z1C7,['Outer membrane protein'],,[]
11,Q3Z5R7,"['D-alanine--D-alanine ligase', 'D-Ala-D-Ala ligase', 'D-alanylalanine synthetase']",,"['ddlB', 'ddl', 'SSON_0100']"
12,Q3YVE9,['Magnesium transport protein CorA'],"Homopentamer. In the absence of Mg(2+), interactions between subunits are weakened, and dimers, trimers and tetramers can be observed in vitro (By similarity).","['corA', 'SSON_3991']"
13,Q3Z530,"['D-alanine--D-alanine ligase', 'D-Ala-D-Ala ligase', 'D-alanylalanine synthetase']","Homopentamer. In the absence of Mg(2+), interactions between subunits are weakened, and dimers, trimers and tetramers can be observed in vitro (By similarity).","['ddlA', 'ddl', 'SSON_0356']"
14,Q3Z032,"['Lipid A 1-diphosphate synthase', 'Kdo(2)-lipid A phosphotransferase', 'Undecaprenyl pyrophosphate:lipid A 1-phosphate phosphotransferase']","Homopentamer. In the absence of Mg(2+), interactions between subunits are weakened, and dimers, trimers and tetramers can be observed in vitro (By similarity).","['lpxT', 'SSON_2230']"
15,Q3Z3K7,['ATP-dependent lipid A-core flippase'],Homodimer.,"['msbA', 'SSON_0916']"
16,Q3YZZ2,['Outer membrane protein 1b (Ibc)'],Homotrimer.,"['ompC', 'SSON_2273']"
17,Q3Z170,['Dipeptide epimerase'],Homotrimer.,"['ycjG', 'SSON_1813']"
18,Q3Z596,['Outer membrane porin PhoE'],Homotrimer.,"['phoE', 'SSON_0283']"
19,Q3Z3J1,['Outer membrane protein 1a (IabF)'],Homotrimer.,"['ompF', 'SSON_0932']"
20,Q3Z315,['Outer membrane receptor for ferric iron uptake'],Homotrimer.,"['fhuE', 'SSON_1122']"
21,Q3Z2V8,['Alanine racemase'],Homotrimer.,"['dadX', 'SSON_1182']"
22,Q3YUT1,['Alanine racemase'],Homotrimer.,"['alr', 'SSON_4233']"
23,Q3YUV1,['Maltodextrin-binding protein'],Homotrimer.,"['malE', 'SSON_4212']"
24,Q3YUV3,['Maltose/maltodextrin transport system permease protein MalG'],Homotrimer.,"['malG', 'SSON_4210']"
25,Q3Z3R3,['Arylsulfatase'],Homotetramer.,"['ybjU', 'SSON_0856']"
26,Q3YUV2,['Maltose/maltodextrin transport system permease protein'],"The complex is composed of two ATP-binding proteins (MalK), two transmembrane proteins (MalG and MalF) and a solute-binding protein (MalE).","['malF', 'SSON_4211']"
27,Q3YZ04,['Serine hydroxymethyltransferase'],Homodimer.,"['glyA', 'SSON_2634']"
28,Q3YUV0,['Maltose/maltodextrin import ATP-binding protein MalK'],"The complex is composed of two ATP-binding proteins (MalK), two transmembrane proteins (MalG and MalK) and a solute-binding protein (MalE).","['malK', 'SSON_4213']"
29,Q3YUU9,['Maltoporin'],"Homotrimer formed of three 18-stranded antiparallel beta-barrels, containing three independent channels.","['lamB', 'SSON_4214']"
30,Q3YUD4,"[""2':3'-cyclic-nucleotide 2'-phosphodiesterase""]","Homotrimer formed of three 18-stranded antiparallel beta-barrels, containing three independent channels.","['cpdB', 'SSON_4398']"
31,Q3YZS0,['alanine transaminase'],"Homotrimer formed of three 18-stranded antiparallel beta-barrels, containing three independent channels.",[]
32,Q3YZF1,['Aminotransferase'],"Homotrimer formed of three 18-stranded antiparallel beta-barrels, containing three independent channels.",[]
33,Q3YYG6,['Alanine--tRNA ligase'],Homotetramer.,"['alaS', 'SSON_2841']"
34,Q3YW68,['High-affinity amino acid transport system periplasmic binding protein'],Homotetramer.,"['livJ', 'SSON_3698']"
35,Q3YY22,['Lysophospholipid transporter LplT'],Homotetramer.,"['lplT', 'SSON_2995']"
36,Q3YY21,['Bifunctional protein Aas'],Homotetramer.,"['aas', 'SSON_2996']"
37,Q3YVT5,['Glyoxylate/hydroxypyruvate reductase B'],Homodimer.,"['ghrB', 'SSON_3835']"
38,Q3Z2Y5,['Phosphatase NudJ'],Monomer.,"['nudJ', 'SSON_1152']"
39,Q3Z4V2,['HMP-PP phosphatase'],Monomer.,"['cof', 'SSON_0434']"
