UniProtID,Unnamed: 0,proteinNames,txt_subunit,geneNames,subunitnumber
D8GJD7,4,['3-oxoacyl-[acyl-carrier-protein] reductase'],Homotetramer.,"['fabG2', 'CLJU_c42160']",4
D8GSF3,5,['3-oxoacyl-[acyl-carrier-protein] reductase'],Homotetramer.,"['fabG1', 'CLJU_c34940']",4
D8GJD6,6,['3-oxoacyl-[acyl-carrier-protein] synthase 2'],Homotetramer.,"['fabF', 'CLJU_c42150']",4
D8GPL3,7,"['N5-carboxyaminoimidazole ribonucleotide mutase', 'N5-CAIR mutase']",Homotetramer.,"['purE', 'CLJU_c08540']",4
D8GJG0,8,['Fructose-specific PTS (Phosphotransferase system) system enzyme IIABC component'],Homotetramer.,[],4
D8GMM6,9,['PTS family enzyme IIC'],Homotetramer.,[],4
D8GTX8,10,['Formate--tetrahydrofolate ligase'],Homotetramer.,"['fhs', 'CLJU_c37650']",4
D8GIK9,11,['L(+)-tartrate dehydratase subunit beta'],Heterotetramer of two alpha and two beta subunits.,"['fumB', 'CLJU_c40590']",2
D8GQV3,12,"['D-alanine--D-alanine ligase', 'D-Ala-D-Ala ligase', 'D-alanylalanine synthetase']",Heterotetramer of two alpha and two beta subunits.,"['ddl', 'CLJU_c32110']",2
D8GQV4,13,['Alanine racemase'],Heterotetramer of two alpha and two beta subunits.,"['alr2', 'CLJU_c32120']",2
D8GII6,14,['Threonine synthase'],Heterotetramer of two alpha and two beta subunits.,[],2
D8GIL0,15,"['Fumarate hydratase, alpha subunit']",Heterotetramer of two alpha and two beta subunits.,"['fumA', 'CLJU_c40600']",2
D8GJA0,16,['Bifunctional protein GlmU'],Homotrimer.,"['gcaD', 'glmU', 'CLJU_c41780']",3
D8GRJ6,17,['Threonine synthase'],Homotrimer.,"['thrC', 'CLJU_c33180']",3
D8GN14,18,['Glucose-1-phosphate thymidylyltransferase'],Homotrimer.,"['rfbA2', 'CLJU_c05560']",3
D8GRD1,19,['Alanine racemase'],Homotrimer.,"['alr1', 'CLJU_c12010']",3
D8GII9,20,['Alanine racemase'],Homotrimer.,"['alr3', 'CLJU_c40390']",3
D8GJM8,21,['Aminotransferase'],Homotrimer.,"['aspC2', 'CLJU_c21290']",3
D8GMK5,22,['Glucose-1-phosphate thymidylyltransferase'],Homotrimer.,"['rfbA1', 'CLJU_c05330']",3
D8GRB8,23,['Ethanol dehydrogenase'],Homotrimer.,[],3
D8GKA0,24,['Alpha-L-arabinofuranosidase'],Homohexamer; trimer of dimers.,[],6
D8GMC1,25,"['Glutamate-1-semialdehyde 2,1-aminomutase', 'GSA']",Homodimer.,"['hemL', 'CLJU_c04490']",2
D8GJ34,26,['4-aminobutyrate aminotransferase'],Homodimer.,"['gabT', 'CLJU_c20470']",2
D8GRZ6,27,"['Phosphate acyltransferase', 'Acyl-ACP phosphotransacylase', 'Acyl-[acyl-carrier-protein]--phosphate acyltransferase', 'Phosphate-acyl-ACP acyltransferase']",Homodimer. Probably interacts with PlsY.,"['plsX', 'CLJU_c12810']",2
D8GLX0,28,['Zinc-containing alcohol dehydrogenase'],Homodimer. Probably interacts with PlsY.,[],2
D8GLX2,29,['Predicted NADPH-dependent butanol dehydrogenase'],Homodimer. Probably interacts with PlsY.,"['adh1', 'CLJU_c24880']",2
D8GRW3,30,['Glycerol-3-phosphate dehydrogenase [NAD(P)+]'],Homodimer. Probably interacts with PlsY.,"['gpsA', 'CLJU_c12480']",2
D8GIC3,31,['Predicted acetaldehyde dehydrogenase'],Homodimer. Probably interacts with PlsY.,"['CLJU_c11960', 'CLJU_c39730']",2
D8GN58,32,"['Gamma-glutamyl phosphate reductase', 'GPR', 'Glutamate-5-semialdehyde dehydrogenase', 'Glutamyl-gamma-semialdehyde dehydrogenase', 'GSA dehydrogenase']",Homodimer. Probably interacts with PlsY.,"['proA', 'CLJU_c06000']",2
D8GIE5,33,['Predicted NADPH-dependent butanol dehydrogenase'],Homodimer. Probably interacts with PlsY.,"['adh2', 'CLJU_c39950']",2
D8GNK1,34,['D-galactarate dehydratase'],Homodimer. Probably interacts with PlsY.,[],2
D8GTE8,35,['Allantoinase'],Homotetramer.,"['allB', 'CLJU_c15330']",4
D8GTE9,36,['Dihydroorotase'],Homotetramer.,[],4
D8GTE7,37,['Predicted nucleoside transporter family protein'],Homotetramer.,[],4
D8GTF0,38,['Predicted nucleoside transporter family protein'],Homotetramer.,[],4
D8GU53,39,['Aldehyde-alcohol dehydrogenase'],Homotetramer.,"['adhE2', 'CLJU_c16520']",4
D8GU52,40,['Aldehyde-alcohol dehydrogenase'],Homotetramer.,"['adhE1', 'CLJU_c16510']",4
D8GSL1,41,['Adenosylcobinamide kinase'],Homotetramer.,"['cobU', 'CLJU_c35520']",4
D8GJD3,42,['Biotin carboxylase'],"Acetyl-CoA carboxylase is a heterohexamer of biotin carboxyl carrier protein, biotin carboxylase and the two subunits of carboxyl transferase in a 2:2 complex.","['accC2', 'CLJU_c42120']",1
D8GJD5,43,['Biotin carboxyl carrier protein of acetyl-CoA carboxylase'],"Acetyl-CoA carboxylase is a heterohexamer of biotin carboxyl carrier protein, biotin carboxylase and the two subunits of carboxyl transferase in a 2:2 complex.",[],1
D8GJD2,44,['Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta'],"Acetyl-CoA carboxylase is a heterohexamer composed of biotin carboxyl carrier protein (AccB), biotin carboxylase (AccC) and two subunits each of ACCase subunit alpha (AccA) and ACCase subunit beta (AccD).","['accD', 'CLJU_c42110']",1
D8GS77,45,['Predicted MFS transporter'],"Acetyl-CoA carboxylase is a heterohexamer composed of biotin carboxyl carrier protein (AccB), biotin carboxylase (AccC) and two subunits each of ACCase subunit alpha (AccA) and ACCase subunit beta (AccD).",[],1
D8GMC3,46,['UTP--glucose-1-phosphate uridylyltransferase'],"Acetyl-CoA carboxylase is a heterohexamer composed of biotin carboxyl carrier protein (AccB), biotin carboxylase (AccC) and two subunits each of ACCase subunit alpha (AccA) and ACCase subunit beta (AccD).","['galU1', 'CLJU_c04510']",1
D8GJD1,47,['Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha'],"Acetyl-CoA carboxylase is a heterohexamer composed of biotin carboxyl carrier protein (AccB), biotin carboxylase (AccC) and two subunits each of ACCase subunit alpha (AccA) and ACCase subunit beta (AccD).","['accA', 'CLJU_c42100']",1
D8GQ65,48,['Putative cell wall hydrolase/autolysin'],"Acetyl-CoA carboxylase is a heterohexamer composed of biotin carboxyl carrier protein (AccB), biotin carboxylase (AccC) and two subunits each of ACCase subunit alpha (AccA) and ACCase subunit beta (AccD).",[],1
D8GRU6,49,['UTP--glucose-1-phosphate uridylyltransferase'],"Acetyl-CoA carboxylase is a heterohexamer composed of biotin carboxyl carrier protein (AccB), biotin carboxylase (AccC) and two subunits each of ACCase subunit alpha (AccA) and ACCase subunit beta (AccD).","['galU2', 'CLJU_c34190']",1
D8GLS3,50,['Predicted transporter protein'],"Acetyl-CoA carboxylase is a heterohexamer composed of biotin carboxyl carrier protein (AccB), biotin carboxylase (AccC) and two subunits each of ACCase subunit alpha (AccA) and ACCase subunit beta (AccD).",[],1
D8GKU5,51,['Putative N-acetylmuramoyl-L-alanine amidase'],"Acetyl-CoA carboxylase is a heterohexamer composed of biotin carboxyl carrier protein (AccB), biotin carboxylase (AccC) and two subunits each of ACCase subunit alpha (AccA) and ACCase subunit beta (AccD).",[],1
D8GJQ1,52,"['Acetylglutamate kinase', 'N-acetyl-L-glutamate 5-phosphotransferase', 'NAG kinase', 'NAGK']","Acetyl-CoA carboxylase is a heterohexamer composed of biotin carboxyl carrier protein (AccB), biotin carboxylase (AccC) and two subunits each of ACCase subunit alpha (AccA) and ACCase subunit beta (AccD).","['argB', 'CLJU_c21520']",1
D8GPQ4,53,['D-galactose/methyl-galactoside binding periplasmic protein MglB'],"The ABC transporter complex is composed of one ATP-binding protein (MglA), two transmembrane proteins (MglC) and a solute-binding protein (MglB).","['rbsB', 'CLJU_c08950']",1
D8GJQ2,54,['Arginine biosynthesis bifunctional protein ArgJ'],Heterotetramer of two alpha and two beta chains.,"['argJ', 'CLJU_c21530']",2
D8GUR3,55,['Glyceraldehyde-3-phosphate dehydrogenase'],Heterotetramer of two alpha and two beta chains.,"['gap', 'CLJU_c39150']",2
D8GUP0,56,['Acetolactate synthase'],Heterotetramer of two alpha and two beta chains.,[],2
D8GMF4,57,['Predicted cell wall hydrolyse'],Heterotetramer of two alpha and two beta chains.,[],2
D8GS55,58,['Glyceraldehyde-3-phosphate dehydrogenase'],Heterotetramer of two alpha and two beta chains.,[],2
D8GIJ8,59,['Putative cell wall hydrolase'],Heterotetramer of two alpha and two beta chains.,[],2
D8GJ29,60,['Acetolactate synthase'],Heterotetramer of two alpha and two beta chains.,"['ilvI', 'CLJU_c20420']",2
D8GPL7,61,"['Phosphoribosylglycinamide formyltransferase', ""5'-phosphoribosylglycinamide transformylase"", 'GAR transformylase', 'GART']",Heterotetramer of two alpha and two beta chains.,"['purN', 'CLJU_c08580']",2
D8GTW7,62,['Glycine cleavage system H protein'],"The glycine cleavage system is composed of four proteins: P, T, L and H.","['gcvH', 'CLJU_c37540']",1
D8GL41,63,['Acetolactate synthase'],"The glycine cleavage system is composed of four proteins: P, T, L and H.","['ilvB', 'CLJU_c23420']",1
D8GII0,64,['Demethylmenaquinone methyltransferase'],"The glycine cleavage system is composed of four proteins: P, T, L and H.","['menG', 'CLJU_c40300']",1
D8GLB6,65,['Glycine cleavage system H protein'],"The glycine cleavage system is composed of four proteins: P, T, L and H.","['gcvH', 'CLJU_c24170']",1
D8GTM4,66,['Anthranilate phosphoribosyltransferase'],Homodimer.,"['trpD', 'CLJU_c16090']",2
D8GJ30,67,['Acetolactate synthase small subunit'],Dimer of large and small chains.,"['ilvH', 'CLJU_c20430']",1
D8GTM2,68,['Anthranilate synthase component 1'],Heterotetramer consisting of two non-identical subunits: a beta subunit (TrpG) and a large alpha subunit (TrpE).,"['trpE', 'CLJU_c16070']",2
D8GLB4,69,"['Probable glycine dehydrogenase (decarboxylating) subunit 2', 'Glycine cleavage system P-protein subunit 2', 'Glycine decarboxylase subunit 2', 'Glycine dehydrogenase (aminomethyl-transferring) subunit 2']","The glycine cleavage system is composed of four proteins: P, T, L and H. In this organism, the P 'protein' is a heterodimer of two subunits.","['gcvPB', 'CLJU_c24150']",1
D8GTM3,70,['Anthranilate synthase component II'],"The glycine cleavage system is composed of four proteins: P, T, L and H. In this organism, the P 'protein' is a heterodimer of two subunits.","['trpG', 'CLJU_c16080']",1
D8GRZ3,71,['Acetate kinase'],Homodimer.,"['ackA', 'CLJU_c12780']",2
D8GLB5,72,"['Probable glycine dehydrogenase (decarboxylating) subunit 1', 'Glycine cleavage system P-protein subunit 1', 'Glycine decarboxylase subunit 1', 'Glycine dehydrogenase (aminomethyl-transferring) subunit 1']","The glycine cleavage system is composed of four proteins: P, T, L and H. In this organism, the P 'protein' is a heterodimer of two subunits.","['gcvPA', 'CLJU_c24160']",1
D8GTX3,73,['Dihydrolipoyl dehydrogenase'],"The glycine cleavage system is composed of four proteins: P, T, L and H. In this organism, the P 'protein' is a heterodimer of two subunits.",[],1
D8GLB7,74,['Aminomethyltransferase'],"The glycine cleavage system is composed of four proteins: P, T, L and H.","['gcvT', 'CLJU_c24180']",1
D8GPJ7,75,['Alpha-acetolactate decarboxylase'],"The glycine cleavage system is composed of four proteins: P, T, L and H.",[],1
D8GIZ8,76,['Predicted tungsten-containing aldehyde ferredoxin oxidoreductase'],"The glycine cleavage system is composed of four proteins: P, T, L and H.",[],1
D8GIJ2,77,"['Glutamine--fructose-6-phosphate aminotransferase [isomerizing]', 'D-fructose-6-phosphate amidotransferase', 'GFAT', 'Glucosamine-6-phosphate synthase', 'Hexosephosphate aminotransferase', 'L-glutamine--D-fructose-6-phosphate amidotransferase']",Homodimer.,"['glmS', 'CLJU_c40420']",2
D8GJ08,78,['Predicted tungsten-containing aldehyde ferredoxin oxidoreductase'],Homodimer.,[],2
D8GR80,79,['Serine hydroxymethyltransferase'],Homodimer.,"['glyA', 'CLJU_c11500']",2
D8GUT7,80,['Electron transfer flavoprotein alpha subunit'],Homodimer.,"['etfA3', 'CLJU_c39400']",2
D8GUT8,81,['Electron transfer flavoprotein small subunit'],Homodimer.,"['etfB3', 'CLJU_c39410']",2
D8GK51,82,['Putative gluconate transporter'],Homodimer.,[],2
D8GUT9,83,['Predicted acyl-CoA dehydrogenase'],Homodimer.,[],2
D8GKC9,84,['Riboflavin biosynthesis protein RibD'],Homodimer.,"['ribD', 'CLJU_c22090']",2
D8GNK7,85,['High-affinity transport of gluconate-gluconate permease'],Homodimer.,[],2
D8GHY3,86,['Predicted aldo/keto reductase'],Homodimer.,[],2
D8GJE0,87,"['Beta-ketoacyl-[acyl-carrier-protein] synthase III', '3-oxoacyl-[acyl-carrier-protein] synthase 3', '3-oxoacyl-[acyl-carrier-protein] synthase III']",Homodimer.,"['fabH', 'CLJU_c42190']",2
D8GR90,88,['Predicted high affinity gluconate/H+ symporter'],Homodimer.,[],2
D8GRZ7,89,"['Acyl carrier protein', 'ACP']",Homodimer.,"['acpP', 'CLJU_c12820']",2
D8GK96,90,['L-arabinose isomerase'],Homodimer.,"['araA', 'CLJU_c01200']",2
D8GNK8,91,['glucarate dehydratase'],Homodimer.,[],2
D8GNK4,92,['glucarate dehydratase'],Homodimer.,[],2
D8GKV5,93,['Predicted solute-binding protein'],Homodimer.,[],2
D8GQ03,94,"['Aconitate hydratase A', 'Iron-responsive protein-like', 'RNA-binding protein']",Monomer.,[],1
D8GJB6,95,['Glutamine synthetase'],Monomer.,"['glnA', 'CLJU_c41950']",1
D8GN57,96,['Glutamate 5-kinase'],Monomer.,"['proB', 'CLJU_c05990']",1
D8GKA1,97,['Putative cation symporter'],Monomer.,[],1
D8GL18,98,['Glutamate dehydrogenase'],Homohexamer.,"['gdh', 'CLJU_c02660']",6
D8GNA8,99,"['Aconitate hydratase A', 'Iron-responsive protein-like', 'RNA-binding protein']",Monomer.,[],1
D8GJQ0,100,"['Acetylornithine aminotransferase', 'ACOAT']",Homodimer.,"['argD', 'CLJU_c21510']",2
D8GPL5,101,"['Amidophosphoribosyltransferase', 'ATase']",Homodimer.,"['purF', 'CLJU_c08560']",2
D8GPT6,102,"['Arginine deiminase', 'ADI']",Homodimer.,"['arcA', 'CLJU_c09270']",2
D8GJB5,103,['Glutamate racemase'],Homodimer.,"['murI', 'CLJU_c41940']",2
D8GLI8,104,"['Holo-[acyl-carrier-protein] synthase', 'Holo-ACP synthase']",Homodimer.,"['acpS', 'CLJU_c03000']",2
D8GUD7,105,"['Glutamate synthase, large subunit']",Homodimer.,"['gltB', 'CLJU_c17370']",2
D8GS85,106,['Predicted arginine/lysine/ornithine decarboxylase'],Homodimer.,[],2
D8GUD8,107,['glutamate synthase (NADPH)'],Homodimer.,"['gltD', 'CLJU_c17380']",2
D8GMC0,108,"['Glutamyl-tRNA reductase', 'GluTR']",Homodimer.,"['hemA', 'CLJU_c04480']",2
D8GKP5,109,['Arginine decarboxylase'],Homodimer.,"['speA', 'CLJU_c01380']",2
