UniProtID,Unnamed: 0,proteinNames,txt_subunit,geneNames,subunitnumber
Q46GB9,8,"['Adenylate kinase', 'AK', 'ATP-AMP transphosphorylase', 'ATP:AMP phosphotransferase', 'Adenylate monophosphate kinase']",Monomer.,"['adk', 'Mbar_A0086']",1
Q46D93,9,"['Acetylglutamate kinase', 'N-acetyl-L-glutamate 5-phosphotransferase', 'NAG kinase', 'NAGK']",Monomer.,"['argB', 'Mbar_A1181']",1
Q46F13,10,['Adenylate cyclase'],Monomer.,[],1
Q465E2,11,['Adenosylcobinamide amidohydrolase'],Monomer.,[],1
Q465W3,12,"['Adenosylcobinamide-GDP ribazoletransferase', 'Cobalamin synthase', ""Cobalamin-5'-phosphate synthase""]",Monomer.,"['cobS', 'Mbar_A3456']",1
Q46C14,13,"['Hypoxanthine/guanine phosphoribosyltransferase', 'HGPRTase']",Homodimer.,"['hpt', 'Mbar_A1633']",2
Q46BW2,14,['Methylcobalamin:coenzyme M methyltransferase'],Homodimer.,[],2
Q465H0,15,['Dimethylamine corrinoid protein'],Homodimer.,[],2
Q46CL6,16,['Farnesyl-diphosphate synthase / geranylgeranyl-diphosphate synthase'],Homodimer.,[],2
Q46EJ1,17,['Amino-acid acetyltransferase'],Homodimer.,[],2
Q46E69,18,['Monomethylamine permease'],Homodimer.,[],2
Q46EP0,19,"['Adenylosuccinate lyase', 'ASL']",Homotetramer. Residues from neighboring subunits contribute catalytic and substrate-binding residues to each active site.,[],4
Q46B05,20,['Arginine biosynthesis bifunctional protein ArgJ'],Heterotetramer of two alpha and two beta chains.,"['argJ', 'Mbar_A2003']",2
Q46FF6,21,['Adenylosuccinate synthetase'],Homodimer.,"['purA', 'Mbar_A0403']",2
Q46E70,22,"['Monomethylamine permease, EAT family']",Homodimer.,[],2
Q46EX5,23,['N-acetylglutamate synthase'],Homodimer.,[],2
Q466A4,24,"['7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase']","Consists of two subunits, CofG and CofH.","['cofG', 'Mbar_A3415']",1
Q466A2,25,['5-amino-6-(D-ribitylamino)uracil--L-tyrosine 4-hydroxyphenyl transferase 2'],"Consists of two subunits, CofG and CofH.","['cofH2', 'Mbar_A3417']",1
Q46BR9,26,['N-acetylglucosaminyl-phosphatidylinositol biosynthetic protein'],"Consists of two subunits, CofG and CofH.",[],1
Q46FD1,27,"['Acetolactate synthase, large subunit']","Consists of two subunits, CofG and CofH.",[],1
Q46FF1,28,['Peptidoglycan GlcNAc deacetylase'],"Consists of two subunits, CofG and CofH.",[],1
Q466A3,29,['5-amino-6-(D-ribitylamino)uracil--L-tyrosine 4-hydroxyphenyl transferase 1'],"Consists of two subunits, CofG and CofH.","['cofH1', 'Mbar_A3416']",1
Q46FZ0,30,['Acetolactate synthase'],"Consists of two subunits, CofG and CofH.",[],1
Q46DU5,31,['UPF0200 protein Mbar_A0975'],"Consists of two subunits, CofG and CofH.",[],1
Q46FY9,32,['Acetolactate synthase small subunit'],Dimer of large and small chains.,[],1
Q46EM0,33,['Agmatinase'],Dimer of large and small chains.,[],1
Q469I8,34,"['Acetolactate synthase, large subunit']",Dimer of large and small chains.,[],1
Q46B07,35,"['N-acetyl-gamma-glutamyl-phosphate reductase', 'AGPR']",Dimer of large and small chains.,"['argC', 'Mbar_A2001']",1
Q46DH6,36,['Probable thymidylate kinase'],Dimer of large and small chains.,"['tmk', 'Mbar_A1098']",1
Q46FC1,37,['Acetolactate synthase large subunit'],Dimer of large and small chains.,[],1
Q466X0,38,"['AMP phosphorylase', 'AMPpase']",Dimer of large and small chains.,[],1
Q46FZ8,39,['ACT domain protein'],Dimer of large and small chains.,[],1
Q466R0,40,"['S-inosyl-L-homocysteine hydrolase', 'SIHH']",Dimer of large and small chains.,[],1
Q46BI1,41,['Acetate kinase'],Homodimer.,"['ackA', 'Mbar_A1820']",2
Q46FP9,42,"['CRISPR-associated helicase, Cas3 family']",Homodimer.,[],2
Q46G55,43,['Ech hydrogenase subunit A'],Homodimer.,[],2
Q467Y1,44,['Alpha-acetolactate decarboxylase'],Homodimer.,[],2
Q46G58,45,['Ech hydrogenase subunit D'],Homodimer.,[],2
Q46G59,46,['Ech hydrogenase subunit E'],Homodimer.,[],2
Q46G57,47,['Ech hydrogenase subunit C'],Homodimer.,[],2
Q46G56,48,['Ech hydrogenase subunit B'],Homodimer.,[],2
Q46G60,49,['Ech hydrogenase subunit F'],Homodimer.,[],2
Q46AN2,50,"['Phosphomethylpyrimidine synthase 2', 'Hydroxymethylpyrimidine phosphate synthase 2']",Homodimer.,"['thiC2', 'Mbar_A2129']",2
Q46EW5,51,"['Phosphomethylpyrimidine synthase 1', 'Hydroxymethylpyrimidine phosphate synthase 1']",Homodimer.,"['thiC1', 'Mbar_A0597']",2
Q469U6,52,['O-acetylhomoserine sulfhydrolase'],Homodimer.,[],2
Q46D73,53,['Possible beta-lactamase class C and other pencillin-binding proteins'],Homodimer.,[],2
Q46EZ1,54,['IMP cyclohydrolase'],Homodimer.,[],2
Q466M0,55,['phosphoribosylaminoimidazolesuccinocarboxamide synthase'],Homodimer.,[],2
Q46EF3,56,['AIR carboxylase'],Homodimer.,[],2
Q468E2,57,"['Enolase', '2-phospho-D-glycerate hydro-lyase', '2-phosphoglycerate dehydratase']",Homodimer.,"['eno', 'Mbar_A2850']",2
Q467Y2,58,['Alpha-acetolactate decarboxylase'],Homodimer.,[],2
Q465E3,59,['Methyltransferase domain-containing protein'],Homodimer.,[],2
Q466B6,60,['F420H2 dehydrogenase subunit L'],Homodimer.,[],2
Q467D1,61,"['N5-carboxyaminoimidazole ribonucleotide mutase', 'N5-CAIR mutase']",Homodimer.,"['purE', 'Mbar_A3125']",2
Q46EK0,62,['aconitate hydratase'],Homodimer.,[],2
Q466B3,63,['F420H2 dehydrogenase subunit J'],Homodimer.,[],2
Q466N2,64,['Aminotransferase'],Homodimer.,[],2
Q466A8,65,['F420H2 dehydrogenase subunit B'],Homodimer.,[],2
Q46AH2,66,['2-isopropylmalate synthase'],Homodimer.,[],2
Q46E47,67,"['Acetylornithine aminotransferase', 'ACOAT']",Homodimer.,"['argD', 'Mbar_A0871']",2
Q466B9,68,['F420H2 dehydrogenase subunit O'],Homodimer.,[],2
Q46D82,69,"[""5'-nucleotidase SurE""]",Homodimer.,"['surE', 'Mbar_A1192']",2
Q466A9,70,['F420H2 dehydrogenase subunit C'],Homodimer.,[],2
Q466B5,71,['F420H2 dehydrogenase subunit K'],Homodimer.,[],2
Q46D45,72,['Alkaline phosphatase'],Homodimer.,[],2
Q46AJ2,73,['AMP-binding protein'],Homodimer.,[],2
Q46C98,74,['Aminotransferase'],Homodimer.,[],2
Q466B4,75,['F420H2 dehydrogenase subunit'],Homodimer.,[],2
Q466B0,76,['F420H2 dehydrogenase subunit D'],Homodimer.,[],2
Q466M9,77,['acylphosphatase'],Homodimer.,[],2
Q46F10,78,['UPF0219 protein Mbar_A0551'],Homodimer.,[],2
Q46FV3,79,['F420H2 dehydrogenase subunit F'],Homodimer.,[],2
Q466B8,80,['F420H2 dehydrogenase subunit N'],Homodimer.,[],2
Q466B1,81,"['F(420)H(2) dehydrogenase subunit H', 'F(420)H(2)-dependent phenazine dehydrogenase subunit H', 'F(420)H(2)-dependent phenazine oxidoreductase subunit H', 'FPO subunit H']","The FPO complex is composed of at least 13 different subunits. FpoA, FpoH, FpoJ, FpoK, FpoL, FpoM and FpoN proteins constitute the membrane sector of the complex.","['fpoH', 'Mbar_A3408']",1
Q466B7,82,['F420H2 dehydrogenase subunit M'],"The FPO complex is composed of at least 13 different subunits. FpoA, FpoH, FpoJ, FpoK, FpoL, FpoM and FpoN proteins constitute the membrane sector of the complex.",[],1
Q466A7,83,['F420H2 dehydrogenase subunit A'],"The FPO complex is composed of at least 13 different subunits. FpoA, FpoH, FpoJ, FpoK, FpoL, FpoM and FpoN proteins constitute the membrane sector of the complex.",[],1
Q466B2,84,['F420H2 dehydrogenase subunit I'],"The FPO complex is composed of at least 13 different subunits. FpoA, FpoH, FpoJ, FpoK, FpoL, FpoM and FpoN proteins constitute the membrane sector of the complex.",[],1
Q46AI5,85,['Flavodoxin'],"The FPO complex is composed of at least 13 different subunits. FpoA, FpoH, FpoJ, FpoK, FpoL, FpoM and FpoN proteins constitute the membrane sector of the complex.",[],1
Q466G3,86,['Flavoprotein A'],"The FPO complex is composed of at least 13 different subunits. FpoA, FpoH, FpoJ, FpoK, FpoL, FpoM and FpoN proteins constitute the membrane sector of the complex.",[],1
Q46DH9,87,"['F420-dependent methylenetetrahydromethanopterin dehydrogenase', 'MTD']","The FPO complex is composed of at least 13 different subunits. FpoA, FpoH, FpoJ, FpoK, FpoL, FpoM and FpoN proteins constitute the membrane sector of the complex.","['mtd', 'Mbar_A1095']",1
Q46FV4,88,"['5,10-methylenetetrahydromethanopterin reductase', 'Coenzyme F420-dependent N(5),N(10)-methylenetetrahydromethanopterin reductase', 'Methylene-H(4)MPT reductase']","The FPO complex is composed of at least 13 different subunits. FpoA, FpoH, FpoJ, FpoK, FpoL, FpoM and FpoN proteins constitute the membrane sector of the complex.","['mer', 'Mbar_A0254']",1
Q46BG2,89,"['Methanophenazine-reducing hydrogenase, cytochrome B subunit']","The FPO complex is composed of at least 13 different subunits. FpoA, FpoH, FpoJ, FpoK, FpoL, FpoM and FpoN proteins constitute the membrane sector of the complex.",[],1
Q46BF4,90,"['Methanophenazine-reducing hydrogenase, small subunit']","The FPO complex is composed of at least 13 different subunits. FpoA, FpoH, FpoJ, FpoK, FpoL, FpoM and FpoN proteins constitute the membrane sector of the complex.",[],1
Q46BG1,91,"['Methanophenazine-reducing hydrogenase, large subunit']","The FPO complex is composed of at least 13 different subunits. FpoA, FpoH, FpoJ, FpoK, FpoL, FpoM and FpoN proteins constitute the membrane sector of the complex.",[],1
Q46BF6,92,"['Methanophenazine-reducing hydrogenase, cytochrome B subunit']","The FPO complex is composed of at least 13 different subunits. FpoA, FpoH, FpoJ, FpoK, FpoL, FpoM and FpoN proteins constitute the membrane sector of the complex.",[],1
Q46BF5,93,"['Methanophenazine-reducing hydrogenase, large subunit']","The FPO complex is composed of at least 13 different subunits. FpoA, FpoH, FpoJ, FpoK, FpoL, FpoM and FpoN proteins constitute the membrane sector of the complex.",[],1
Q46BG0,94,"['Methanophenazine-reducing hydrogenase, small subunit']","The FPO complex is composed of at least 13 different subunits. FpoA, FpoH, FpoJ, FpoK, FpoL, FpoM and FpoN proteins constitute the membrane sector of the complex.",[],1
Q46ER6,95,['Reduced coenzyme F420:NADP oxidoreductase'],"The FPO complex is composed of at least 13 different subunits. FpoA, FpoH, FpoJ, FpoK, FpoL, FpoM and FpoN proteins constitute the membrane sector of the complex.",[],1
Q46FA9,96,"['Coenzyme F420-reducing hydrogenase, delta subunit']","The FPO complex is composed of at least 13 different subunits. FpoA, FpoH, FpoJ, FpoK, FpoL, FpoM and FpoN proteins constitute the membrane sector of the complex.",[],1
P80490,97,['Coenzyme F420 hydrogenase subunit beta'],"Pentamer of two alpha chains, two beta chains and a gamma chain.","['frhB', 'Mbar_A0449']",1
Q46CS0,98,['Alanine--tRNA ligase'],"Pentamer of two alpha chains, two beta chains and a gamma chain.","['alaS', 'Mbar_A1361']",1
Q46AR9,99,"['Alanyl-tRNA editing protein AlaX-M', 'AlaX-M']","Pentamer of two alpha chains, two beta chains and a gamma chain.","['alaXM', 'Mbar_A2092']",1
Q468Y0,100,['Na(+)-linked D-alanine glycine permease'],"Pentamer of two alpha chains, two beta chains and a gamma chain.",[],1
Q46EE4,101,['Zinc-binding alcohol dehydrogenase'],"Pentamer of two alpha chains, two beta chains and a gamma chain.",[],1
Q46ED1,102,['Iron-containing alcohol dehydrogenase'],"Pentamer of two alpha chains, two beta chains and a gamma chain.",[],1
Q46A26,103,['Alcohol dehydrogenase (NADP+)'],"Pentamer of two alpha chains, two beta chains and a gamma chain.",[],1
Q46EE1,104,['Formaldehyde dehydrogenase'],"Pentamer of two alpha chains, two beta chains and a gamma chain.",[],1
Q46EE0,105,['Formaldehyde dehydrogenase'],"Pentamer of two alpha chains, two beta chains and a gamma chain.",[],1
Q469Y4,106,['Aldehyde dehydrogenase (NAD+)'],"Pentamer of two alpha chains, two beta chains and a gamma chain.",[],1
Q465F3,107,['Anthranilate phosphoribosyltransferase'],Homodimer.,"['trpD', 'Mbar_A3624']",2
Q465F0,108,['anthranilate synthase'],Homodimer.,[],2
Q465F1,109,['Anthranilate synthase component 1'],Heterotetramer consisting of two non-identical subunits: a beta subunit (TrpG) and a large alpha subunit (TrpE).,"['trpE', 'Mbar_A3626']",2
Q465W4,110,['YutG/PgpA domain-containing protein'],Heterotetramer consisting of two non-identical subunits: a beta subunit (TrpG) and a large alpha subunit (TrpE).,[],2
Q46AW9,111,"['Pyruvoyl-dependent arginine decarboxylase', 'PvlArgDC']",Heterotetramer consisting of two non-identical subunits: a beta subunit (TrpG) and a large alpha subunit (TrpE).,"['pdaD', 'Mbar_A2039']",2
Q469N7,112,"['Pyruvoyl-dependent arginine decarboxylase', 'PvlArgDC']",Heterotetramer consisting of two non-identical subunits: a beta subunit (TrpG) and a large alpha subunit (TrpE).,"['pdaD', 'Mbar_A2492']",2
Q46BV7,113,['Arginine deiminase'],Heterotetramer consisting of two non-identical subunits: a beta subunit (TrpG) and a large alpha subunit (TrpE).,[],2
Q465S0,114,['Hydroxymethylpyrimidine kinase'],Heterotetramer consisting of two non-identical subunits: a beta subunit (TrpG) and a large alpha subunit (TrpE).,[],2
Q46A81,115,"['Coenzyme F420 hydrogenase, subunit alpha']",Heterotetramer consisting of two non-identical subunits: a beta subunit (TrpG) and a large alpha subunit (TrpE).,[],2
P80489,116,['Coenzyme F420 hydrogenase subunit alpha'],"Pentamer of two alpha chains, two beta chains and a gamma chain.","['frhA', 'Mbar_A0452']",1
Q46BA4,117,['homoserine dehydrogenase'],"Pentamer of two alpha chains, two beta chains and a gamma chain.",[],1
Q46A79,118,"['Coenzyme F420-reducing hydrogenase, gamma subunit']","Pentamer of two alpha chains, two beta chains and a gamma chain.",[],1
Q469U5,119,"['Homoserine O-acetyltransferase', 'HAT']",Homodimer.,"['metXA', 'Mbar_A2428']",2
Q46A78,120,"['Coenzyme F420-reducing hydrogenase, beta subunit']",Homodimer.,[],2
Q468V3,121,['Homospermidine synthase'],Homodimer.,[],2
P80491,122,['Coenzyme F420 hydrogenase subunit gamma'],"Pentamer of two alpha chains, two beta chains and a gamma chain.","['frhG', 'Mbar_A0450']",1
Q46E46,123,['Histidinol-phosphate aminotransferase'],"Pentamer of two alpha chains, two beta chains and a gamma chain.","['hisC', 'Mbar_A0872']",1
Q46G31,124,['fructose-bisphosphate aldolase'],"Pentamer of two alpha chains, two beta chains and a gamma chain.",[],1
Q46ET9,125,['Isocitrate dehydrogenase (NADP)'],"Pentamer of two alpha chains, two beta chains and a gamma chain.",[],1
Q46AE2,126,['fructose-bisphosphate aldolase'],"Pentamer of two alpha chains, two beta chains and a gamma chain.",[],1
Q46CC5,127,"['Imidazole glycerol phosphate synthase subunit HisF', 'IGP synthase cyclase subunit', 'IGP synthase subunit HisF', 'ImGP synthase subunit HisF', 'IGPS subunit HisF']",Heterodimer of HisH and HisF.,"['hisF', 'Mbar_A1514']",1
Q46EG1,128,"['2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase']",Homodecamer.,"[""aroA'"", 'Mbar_A0753']",10
Q465U3,129,"['Imidazole glycerol phosphate synthase subunit HisH', 'IGP synthase glutaminase subunit', 'IGP synthase subunit HisH', 'ImGP synthase subunit HisH', 'IGPS subunit HisH']",Heterodimer of HisH and HisF.,"['hisH', 'Mbar_A3476']",1
Q46BG5,130,"['Fructose-1,6-bisphosphatase']",Heterodimer of HisH and HisF.,[],1
Q465F6,131,"['Indole-3-glycerol phosphate synthase', 'IGPS']",Heterodimer of HisH and HisF.,"['trpC', 'Mbar_A3621']",1
Q46EY6,132,"['Branched-chain-amino-acid aminotransferase', 'BCAT']",Heterodimer of HisH and HisF.,"['ilvE', 'Mbar_A0576']",1
Q46D29,133,['L-fuculose phosphate aldolase'],Homotetramer.,[],4
Q465G4,134,['Isoleucine--tRNA ligase'],Monomer.,"['ileS', 'Mbar_A3613']",1
Q46C84,135,"['Formate dehydrogenase, alpha subunit (F420)']",Monomer.,[],1
Q46CL9,136,['Polymerase/histidinol phosphatase N-terminal domain-containing protein'],Monomer.,[],1
Q46C83,137,"['Formate dehydrogenase, beta subunit (F420)']",Monomer.,[],1
Q46FK6,138,['Isoleucyl-tRNA synthetase'],Monomer.,[],1
Q469B6,139,['Branched chain amino acid transport protein AzlD'],Monomer.,[],1
Q46EX3,140,['Ferrous iron transport protein B'],Monomer.,[],1
Q469B7,141,['Branched-chain amino acid transport protein'],Monomer.,[],1
Q46DV6,142,['Manganese-dependent inorganic pyrophosphatase'],Monomer.,[],1
Q46CI3,143,['Ferrous iron transport protein B'],Monomer.,[],1
Q46AT2,144,"['Transcriptional regulator, XRE family']",Monomer.,[],1
Q46DA1,145,"['Iron ABC transporter, permease protein']",Monomer.,[],1
Q46DD6,146,['Myo-inositol 2-dehydrogenase'],Monomer.,[],1
Q46GE5,147,['Indolepyruvate oxidoreductase subunit IorB'],Heterodimer of the IorA and IorB subunits.,[],1
Q469X7,148,"['Iron(III) ABC transporter, solute-binding protein']",Heterodimer of the IorA and IorB subunits.,[],1
Q469X5,149,"['Iron(III) ABC transporter, ATP-binding protein']",Heterodimer of the IorA and IorB subunits.,[],1
Q469X8,150,"['Iron ABC transporter, ATP-binding protein']",Heterodimer of the IorA and IorB subunits.,[],1
Q469X6,151,"['Iron(III) ABC transporter, solute-binding protein']",Heterodimer of the IorA and IorB subunits.,[],1
Q46AA5,152,"['Iron(III) ABC transporter, ATP-binding protein']",Heterodimer of the IorA and IorB subunits.,[],1
Q469X4,153,['Iron(III) dicitrate transport system permease protein FecD'],Heterodimer of the IorA and IorB subunits.,[],1
Q46AA0,154,"['ABC transporter, ATP-binding protein']",Heterodimer of the IorA and IorB subunits.,[],1
Q46AA4,155,"['Iron(III) ABC transporter, solute-binding protein']",Heterodimer of the IorA and IorB subunits.,[],1
Q46DA2,156,"['Iron ABC transporter, ATP-binding protein']",Heterodimer of the IorA and IorB subunits.,[],1
Q469X9,157,"['Iron ABC transporter, permease protein']",Heterodimer of the IorA and IorB subunits.,[],1
Q46DA0,158,"['Iron ABC transporter, solute-binding protein']",Heterodimer of the IorA and IorB subunits.,[],1
Q46AA6,159,"['Iron(III) ABC transporter, permease protein']",Heterodimer of the IorA and IorB subunits.,[],1
Q46BD4,160,['Iron(III) dicitrate-binding protein'],Heterodimer of the IorA and IorB subunits.,[],1
Q46BD0,161,['Iron(III) dicitrate transport ATP-binding protein'],Heterodimer of the IorA and IorB subunits.,[],1
Q46F95,162,"['Fe(III) dicitrate ABC transporter, ATP-binding protein']",Heterodimer of the IorA and IorB subunits.,[],1
Q46BD3,163,['Iron(III) dicitrate-binding protein'],Heterodimer of the IorA and IorB subunits.,[],1
Q46BD2,164,['Iron(III) dicitrate-binding protein'],Heterodimer of the IorA and IorB subunits.,[],1
Q46F93,165,"['Fe(III) dicitrate ABC transporter, permease']",Heterodimer of the IorA and IorB subunits.,[],1
