,UniProtID,proteinNames,txt_subunit,geneNames
0,Q9Z3G1,"['Cytochrome b6-f complex subunit 5', 'Cytochrome b6-f complex subunit PetG', 'Cytochrome b6-f complex subunit V']","The 4 large subunits of the cytochrome b6-f complex are cytochrome b6, subunit IV (17 kDa polypeptide, PetD), cytochrome f and the Rieske protein, while the 4 small subunits are PetG, PetL, PetM and PetN. The complex functions as a dimer.","['petG', 'Synpcc7942_1479']"
1,Q31KG3,"['Cytochrome b6-f complex subunit 7', 'Cytochrome b6-f complex subunit PetM', 'Cytochrome b6-f complex subunit VII']","The 4 large subunits of the cytochrome b6-f complex are cytochrome b6, subunit IV (17 kDa polypeptide, PetD), cytochrome f and the Rieske protein, while the 4 small subunits are PetG, PetL, PetM and PetN. The complex functions as a dimer.","['petM', 'Synpcc7942_2426']"
2,Q9L790,['Quinolinate synthase'],"The 4 large subunits of the cytochrome b6-f complex are cytochrome b6, subunit IV (17 kDa polypeptide, PetD), cytochrome f and the Rieske protein, while the 4 small subunits are PetG, PetL, PetM and PetN. The complex functions as a dimer.","['nadA', 'Synpcc7942_1448']"
3,Q31S24,['Cytochrome b6-f complex subunit 6'],"The 4 large subunits of the cytochrome b6-f complex are cytochrome b6, subunit IV (17 kDa polypeptide, PetD), cytochrome f and the Rieske protein, while the 4 small subunits are PetG, PetL, PetM and PetN. The complex functions as a dimer.",[]
4,Q31QD0,['Arginine decarboxylase'],"The 4 large subunits of the cytochrome b6-f complex are cytochrome b6, subunit IV (17 kDa polypeptide, PetD), cytochrome f and the Rieske protein, while the 4 small subunits are PetG, PetL, PetM and PetN. The complex functions as a dimer.",[]
5,Q31PG0,"['Branched-chain-amino-acid aminotransferase', 'BCAT']","The 4 large subunits of the cytochrome b6-f complex are cytochrome b6, subunit IV (17 kDa polypeptide, PetD), cytochrome f and the Rieske protein, while the 4 small subunits are PetG, PetL, PetM and PetN. The complex functions as a dimer.","['ilvE', 'Synpcc7942_1029']"
6,Q31JY7,['Cytochrome c oxidase subunit 2'],"The 4 large subunits of the cytochrome b6-f complex are cytochrome b6, subunit IV (17 kDa polypeptide, PetD), cytochrome f and the Rieske protein, while the 4 small subunits are PetG, PetL, PetM and PetN. The complex functions as a dimer.",[]
7,Q31JY5,"['cytochrome-c oxidase', 'Cytochrome aa3 subunit 3', 'Cytochrome c oxidase polypeptide III']","The 4 large subunits of the cytochrome b6-f complex are cytochrome b6, subunit IV (17 kDa polypeptide, PetD), cytochrome f and the Rieske protein, while the 4 small subunits are PetG, PetL, PetM and PetN. The complex functions as a dimer.",[]
8,Q31JY6,['Cytochrome c oxidase subunit 1'],"The 4 large subunits of the cytochrome b6-f complex are cytochrome b6, subunit IV (17 kDa polypeptide, PetD), cytochrome f and the Rieske protein, while the 4 small subunits are PetG, PetL, PetM and PetN. The complex functions as a dimer.",[]
9,Q31KS7,['UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase'],"The 4 large subunits of the cytochrome b6-f complex are cytochrome b6, subunit IV (17 kDa polypeptide, PetD), cytochrome f and the Rieske protein, while the 4 small subunits are PetG, PetL, PetM and PetN. The complex functions as a dimer.","['murG', 'Synpcc7942_2312']"
10,Q54710,['Cytochrome b6-f complex subunit 4'],"The 4 large subunits of the cytochrome b6-f complex are cytochrome b6, subunit IV (17 kDa polypeptide, PetD), cytochrome f and the Rieske protein, while the 4 small subunits are PetG, PetL, PetM and PetN. The complex functions as a dimer.","['petD', 'Synpcc7942_2332']"
11,Q54711,['Cytochrome b6'],"The 4 large subunits of the cytochrome b6-f complex are cytochrome b6, subunit IV (17 kDa polypeptide, PetD), cytochrome f and the Rieske protein, while the 4 small subunits are PetG, PetL, PetM and PetN. The complex functions as a dimer.","['petB', 'Synpcc7942_2331']"
12,Q31NV8,['Cytochrome f'],"The 4 large subunits of the cytochrome b6-f complex are cytochrome b6, subunit IV (17 kDa polypeptide, PetD), cytochrome f and the Rieske protein, while the 4 small subunits are PetG, PetL, PetM and PetN. The complex functions as a dimer.","['petA', 'Synpcc7942_1231']"
13,Q31NG7,['Methionine synthase'],"The 4 large subunits of the cytochrome b6-f complex are cytochrome b6, subunit IV (17 kDa polypeptide, PetD), cytochrome f and the Rieske protein, while the 4 small subunits are PetG, PetL, PetM and PetN. The complex functions as a dimer.",[]
14,Q31R12,"['Cytochrome b6-f complex subunit 8', 'Cytochrome b6-f complex subunit PetN', 'Cytochrome b6-f complex subunit VIII']","The 4 large subunits of the cytochrome b6-f complex are cytochrome b6, subunit IV (17 kDa polypeptide, PetD), cytochrome f and the Rieske protein, while the 4 small subunits are PetG, PetL, PetM and PetN. The complex functions as a dimer.","['petN', 'Synpcc7942_0475']"
15,Q31PL2,['Phosphoribulokinase'],"The 4 large subunits of the cytochrome b6-f complex are cytochrome b6, subunit IV (17 kDa polypeptide, PetD), cytochrome f and the Rieske protein, while the 4 small subunits are PetG, PetL, PetM and PetN. The complex functions as a dimer.",[]
16,Q31PL1,"['Ferredoxin--NADP reductase', 'FNR']","The 4 large subunits of the cytochrome b6-f complex are cytochrome b6, subunit IV (17 kDa polypeptide, PetD), cytochrome f and the Rieske protein, while the 4 small subunits are PetG, PetL, PetM and PetN. The complex functions as a dimer.",[]
17,Q31QP1,['Delta(24)-sterol C-methyltransferase'],"The 4 large subunits of the cytochrome b6-f complex are cytochrome b6, subunit IV (17 kDa polypeptide, PetD), cytochrome f and the Rieske protein, while the 4 small subunits are PetG, PetL, PetM and PetN. The complex functions as a dimer.",[]
18,Q31NV7,"['Cytochrome b6-f complex iron-sulfur subunit', 'Plastohydroquinone:plastocyanin oxidoreductase iron-sulfur protein']","The 4 large subunits of the cytochrome b6-f complex are cytochrome b6, subunit IV (17 kDa polypeptide, PetD), cytochrome f and the Rieske protein, while the 4 small subunits are PetG, PetL, PetM and PetN. The complex functions as a dimer.","['petC', 'Synpcc7942_1232']"
19,Q31QP9,"['Formate-dependent phosphoribosylglycinamide formyltransferase', ""5'-phosphoribosylglycinamide transformylase 2"", 'Formate-dependent GAR transformylase', 'GAR transformylase 2', 'GART 2', 'Non-folate glycinamide ribonucleotide transformylase', 'Phosphoribosylglycinamide formyltransferase 2']",Homodimer.,"['purT', 'Synpcc7942_0588']"
20,Q31S31,['nicotinate-nucleotide adenylyltransferase'],Homodimer.,[]
21,Q31P90,"['2-phytyl-1,4-naphtoquinone methyltransferase']",Homodimer.,"['menG', 'Synpcc7942_1099']"
22,Q31K28,['Delta-9 acyl-phospholipid desaturase'],Homodimer.,[]
23,Q31N20,"['Histidinol dehydrogenase', 'HDH']",Homodimer.,"['hisD', 'Synpcc7942_1519']"
24,Q31Q29,['HAD-superfamily hydrolase subfamily IIB'],Homodimer.,[]
25,Q31PI2,"['Fumarate hydratase class II', 'Fumarase C', 'Aerobic fumarase', 'Iron-independent fumarase']",Homotetramer.,"['fumC', 'Synpcc7942_1007']"
26,Q935X8,[],Homotetramer.,"['SEB0018', 'Synpcc7942_2508']"
27,Q31NK4,['Probable branched-chain amino acid aminotransferase'],Homotetramer.,[]
28,Q31KX3,['Periplasmic polyamine-binding protein of ABC transporter'],Homotetramer.,[]
29,Q8KPS9,['Phycocyanobilin:ferredoxin oxidoreductase'],Homotetramer.,"['pcyA', 'Synpcc7942_1225', 'see0002']"
30,Q31P38,['Bifunctional pantoate ligase/cytidylate kinase'],Homotetramer.,"['panC/cmk', 'Synpcc7942_1151']"
31,Q31R80,['Photosystem I reaction center subunit PsaK'],Homotetramer.,"['psaK', 'Synpcc7942_0407']"
32,Q31NL7,['Photosystem I reaction center subunit IV'],Homotetramer.,"['psaE', 'Synpcc7942_1322']"
33,Q31KY1,['Aminotransferase'],Homotetramer.,[]
34,Q31PR9,['Photosystem I reaction center subunit PsaK'],Homotetramer.,"['psaK', 'Synpcc7942_0920']"
35,Q31PI7,['Photosystem I reaction center subunit II'],Homotetramer.,[]
36,Q31LJ1,['Photosystem I P700 chlorophyll a apoprotein A2'],"The PsaA/B heterodimer binds the P700 chlorophyll special pair and subsequent electron acceptors. PSI consists of a core antenna complex that captures photons, and an electron transfer chain that converts photonic excitation into a charge separation. The cyanobacterial PSI reaction center is composed of one copy each of PsaA,B,C,D,E,F,I,J,K,L,M and X, and forms trimeric complexes.","['psaB', 'Synpcc7942_2048']"
37,Q31LP4,['Histidine biosynthesis bifunctional protein HisIE'],"The PsaA/B heterodimer binds the P700 chlorophyll special pair and subsequent electron acceptors. PSI consists of a core antenna complex that captures photons, and an electron transfer chain that converts photonic excitation into a charge separation. The cyanobacterial PSI reaction center is composed of one copy each of PsaA,B,C,D,E,F,I,J,K,L,M and X, and forms trimeric complexes.","['hisI', 'hisIE', 'Synpcc7942_1995']"
38,Q31QV2,"['Photosystem I iron-sulfur center', '9 kDa polypeptide', 'PSI-C', 'Photosystem I subunit VII', 'PsaC']","The cyanobacterial PSI reaction center is composed of one copy each of PsaA,B,C,D,E,F,I,J,K,L,M and X, and forms trimeric complexes.","['psaC', 'Synpcc7942_0535']"
39,Q31LJ2,"['Glycine dehydrogenase (decarboxylating)', 'Glycine cleavage system P-protein', 'Glycine decarboxylase', 'Glycine dehydrogenase (aminomethyl-transferring)']","The glycine cleavage system is composed of four proteins: P, T, L and H.","['gcvP', 'Synpcc7942_2047']"
40,Q31LJ0,['Photosystem I P700 chlorophyll a apoprotein A1'],"The PsaA/B heterodimer binds the P700 chlorophyll special pair and subsequent electron acceptors. PSI consists of a core antenna complex that captures photons, and an electron transfer chain that converts photonic excitation into a charge separation. The cyanobacterial PSI reaction center is composed of one copy each of PsaA,B,C,D,E,F,I,J,K,L,M and X, and forms trimeric complexes.","['psaA', 'Synpcc7942_2049']"
41,Q31KT1,['Aminomethyltransferase'],"The glycine cleavage system is composed of four proteins: P, T, L and H.","['gcvT', 'Synpcc7942_2308']"
42,Q31LJ3,['Glycine cleavage system H protein'],"The glycine cleavage system is composed of four proteins: P, T, L and H.","['gcvH', 'Synpcc7942_2046']"
43,P50590,['Nucleoside diphosphate kinase'],Homotetramer.,"['ndk', 'Synpcc7942_2497', 'sea0028']"
44,Q31S75,['Glucose-1-phosphate cytidylyltransferase'],Homotetramer.,[]
45,P37278,['Calcium-transporting ATPase'],Homotetramer.,"['pacL', 'Synpcc7942_1082']"
46,P95823,['Photosystem I reaction center subunit VIII'],Homotetramer.,"['psaI', 'Synpcc7942_2343']"
47,Q31PR0,"['UDP-3-O-acyl-N-acetylglucosamine deacetylase', 'UDP-3-O-acyl-GlcNAc deacetylase']",Homotetramer.,"['lpxC', 'Synpcc7942_0929']"
48,Q54769,['GTP cyclohydrolase 1'],"Toroid-shaped homodecamer, composed of two pentamers of five dimers.","['folE', 'Synpcc7942_1597', 'sec0031']"
49,Q31NU0,['Photosystem I reaction center subunit IX'],"Toroid-shaped homodecamer, composed of two pentamers of five dimers.","['psaJ', 'Synpcc7942_1249']"
50,Q31NT9,['Photosystem I reaction center subunit III'],"Toroid-shaped homodecamer, composed of two pentamers of five dimers.",[]
51,Q31Q60,['Bifunctional protein FolD'],Homodimer.,"['folD', 'Synpcc7942_0777']"
52,Q31M08,['L-aspartate oxidase'],Homodimer.,[]
53,P95822,"['Photosystem I reaction center subunit XI', 'PSI subunit V', 'PSI-L']",Homodimer.,"['psaL', 'Synpcc7942_2342']"
54,Q31PI8,['aspartate kinase'],Homodimer.,[]
55,Q31QS7,['ATPase'],Homodimer.,[]
56,Q55276,['Lycopene beta cyclase'],Homodimer.,"['crtL', 'lcy', 'Synpcc7942_2062']"
57,P72549,[],Homodimer.,"['mut3B', 'Synpcc7942_2341']"
58,Q31PP6,"['Acetylornithine aminotransferase', 'ACOAT']",Homodimer.,"['argD', 'Synpcc7942_0943']"
59,Q8GAA0,['1-deoxy-D-xylulose-5-phosphate synthase'],Homodimer.,"['dxs', 'Synpcc7942_0430', 'sel0040']"
60,Q31MQ0,['ATPase'],Homodimer.,[]
61,Q31SC0,['2-keto-3-deoxy-phosphogluconate aldolase'],Homodimer.,[]
62,P16891,['Uroporphyrinogen decarboxylase'],Homodimer.,"['hemE', 'Synpcc7942_1086']"
63,Q31JX7,['Threonine synthase'],Homodimer.,[]
64,Q31PN1,"['Phosphoribosylglycinamide formyltransferase', ""5'-phosphoribosylglycinamide transformylase"", 'GAR transformylase', 'GART']",Homodimer.,"['purN', 'Synpcc7942_0958']"
65,Q31R45,['Ammonium transporter'],Homodimer.,[]
66,Q31MA7,['L-threonine synthase'],Homodimer.,[]
67,Q31RT1,['Nicotinamide phosphoribosyltransferase'],Homodimer.,[]
68,Q31KW0,['Ammonium transporter'],Homodimer.,[]
69,Q31LA3,"['4-hydroxy-tetrahydrodipicolinate reductase', 'HTPA reductase']",Homodimer.,"['dapB', 'Synpcc7942_2136']"
70,Q31RM5,['Diaminopimelate decarboxylase'],Homodimer.,"['lysA', 'Synpcc7942_0262']"
71,Q31Q62,['Divergent PAP2 family protein'],Homodimer.,[]
72,Q55309,"[""Phosphoadenosine 5'-phosphosulfate reductase"", 'PAPS reductase', ""3'-phosphoadenylylsulfate reductase"", 'PAPS reductase, thioredoxin dependent', 'PAPS sulfotransferase', 'PAdoPS reductase']",Homodimer.,"['cysH', 'par', 'Synpcc7942_2506', 'sea0019']"
73,Q31K33,['NAD-reducing hydrogenase HoxS delta subunit'],Homodimer.,[]
74,Q31S40,"['Hydrogenobyrinic acid a,c-diamide cobaltochelatase']",Homodimer.,[]
75,Q31K34,['NAD-reducing hydrogenase HoxS beta subunit'],Homodimer.,[]
76,Q31QP5,['6-phosphofructokinase'],Homodimer.,[]
77,Q31MX3,"['Polyphosphate kinase', 'ATP-polyphosphate phosphotransferase', 'Polyphosphoric acid kinase']",Homodimer.,"['ppk', 'Synpcc7942_1566']"
78,Q31RK8,['NADH dehydrogenase (Quinone)'],Homodimer.,[]
79,Q31RG7,['UDP-glucose 4-epimerase'],Homodimer.,[]
80,Q31MC9,['Alanine dehydrogenase'],Homodimer.,[]
81,Q935Y7,['Glycogen synthase'],Homodimer.,"['glgA', 'Synpcc7942_2518', 'sea0009']"
82,Q31K44,['Aminotransferase'],Homodimer.,[]
83,Q31PN2,"['Cob(I)yrinic acid a,c-diamide adenosyltransferase']",Homodimer.,[]
84,Q31PI6,['Anthranilate synthase component 1'],Heterotetramer consisting of two non-identical subunits: a beta subunit (TrpG) and a large alpha subunit (TrpE).,[]
85,Q31PR4,"['Phosphoribosylamine--glycine ligase', 'GARS', 'Glycinamide ribonucleotide synthetase', 'Phosphoribosylglycinamide synthetase']",Heterotetramer consisting of two non-identical subunits: a beta subunit (TrpG) and a large alpha subunit (TrpE).,"['purD', 'Synpcc7942_0925']"
86,Q31R87,"['Anthranilate synthase, component II']",Heterotetramer consisting of two non-identical subunits: a beta subunit (TrpG) and a large alpha subunit (TrpE).,[]
87,Q31NF3,"['Cob(I)yrinic acid a,c-diamide adenosyltransferase']",Heterotetramer consisting of two non-identical subunits: a beta subunit (TrpG) and a large alpha subunit (TrpE).,[]
