metname,inchikey
ddcal,HFJRKMMYBMWEAD-UHFFFAOYSA-N
lipo4_24_BS,NA
fald,WSFSSNUMVMOOMR-UHFFFAOYSA-N
ala_L_trp__L,WUGMRIBZSVSJNP-UFBFGSQYSA-N
3htdcoa,OXBHKMHNDGRDCZ-STLSENOWSA-J
tcam_BS,NA
uaccg,BEGZZYPUNCJHKP-DBYWSUQTSA-K
g1p_B,HXXFSFRBOHSIMQ-DVKNGEFBSA-L
23dhba,ULPVJDOMCRTJSN-RVXWVPLUSA-M
4ampm,SSWDVESQMBHOQT-UHFFFAOYSA-N
fprica,ABCOOORLYAOBOZ-KQYNXXCUSA-L
etoh,LFQSCWFLJHTTHZ-UHFFFAOYSA-N
o2,MYMOFIZGZYHOMD-UHFFFAOYSA-N
mmalsa__S,NA
melib,DLRVVLDZNNYCBX-ZZFZYMBESA-N
acmalt,IJVLHLCOMOKFHH-DURRTVQMSA-N
asn__L,DCXYFEDJOCDNAF-REOHCLBHSA-N
ala_L_his__L,NA
3hmp,DBXBTMSZEOQQDU-UHFFFAOYSA-M
imzacd,MQSRGWNVEZRLDK-UHFFFAOYSA-N
rnam,JLEBZPBDRKPWTD-TURQNECASA-O
ptdcal,XGQJZNCFDLXSIJ-UHFFFAOYSA-N
ppcoa,QAQREVBBADEHPA-IEXPHMLFSA-J
scys__L,NOKPBJYHPHHWAN-REOHCLBHSA-M
uacgam,LFTYTUAZOPRMMI-CFRASDGPSA-L
dttp,NHVNXKFIZYSCEB-XLPZGREQSA-J
cd2,WLZRMCYVCSSEQC-UHFFFAOYSA-N
fa11coa,NA
2dhp,PKVVTUWHANFMQC-UHFFFAOYSA-M
hmbil,WDFJYRZCZIUBPR-UHFFFAOYSA-F
2pcpgc,GRXIELRCPYIEQI-UHFFFAOYSA-M
dgmp,LTFMZDNNPPEQNG-KVQBGUIXSA-L
ca2,BHPQYMZQTOCNFJ-UHFFFAOYSA-N
no3,NHNBFGGVMKEFGY-UHFFFAOYSA-N
DPA,WJJMNDUMQPNECX-UHFFFAOYSA-L
cys__D,XUJNEKJLAYXESH-UWTATZPHSA-N
ac,QTBSBXVTEAMEQO-UHFFFAOYSA-M
sheme,DLKSSIHHLYNIKN-QIISWYHFSA-D
malttr,FYGDTMLNYKFZSV-PXXRMHSHSA-N
dca,NA
ala__L,QNAYBMKLOCPYGJ-REOHCLBHSA-N
fa1,NA
