,UniProtID,proteinNames,txt_subunit,geneNames
0,Q55128,['Aspartate aminotransferase'],Homodimer.,"['aspC', 'sll0402']"
1,P74667,"['Diaminopimelate epimerase', 'DAP epimerase']",Homodimer.,"['dapF', 'slr1665']"
2,P73807,['Histidinol-phosphate aminotransferase'],Homodimer.,"['hisC', 'sll1958']"
3,P20388,['Delta(12)-fatty-acid desaturase'],Homodimer.,"['desA', 'slr1350']"
4,Q55484,['Diaminopimelate decarboxylase'],Homodimer.,"['lysA', 'sll0504']"
5,P74383,"['Isoaspartyl peptidase/L-asparaginase', 'Beta-aspartyl-peptidase', 'Isoaspartyl dipeptidase']",Heterotetramer of two alpha and two beta chains arranged as a dimer of alpha/beta heterodimers.,[]
6,Q55865,['Sll0585 protein'],Heterotetramer of two alpha and two beta chains arranged as a dimer of alpha/beta heterodimers.,[]
7,P54735,['Serine/threonine-protein kinase D'],Heterotetramer of two alpha and two beta chains arranged as a dimer of alpha/beta heterodimers.,"['spkD', 'sll0776']"
8,Q08871,"['Acyl-CoA 6-desaturase', 'Delta(6)-desaturase', 'Linoleoyl-CoA desaturase']",Heterotetramer of two alpha and two beta chains arranged as a dimer of alpha/beta heterodimers.,"['des6', 'sll0262']"
9,Q55746,"['Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase', 'UDP-N-acetylglucosamine acyltransferase']",Homotrimer.,"['lpxA', 'sll0379']"
10,P73997,"['3-dehydroquinate synthase', 'DHQS']",Homotrimer.,"['aroB', 'slr2130']"
11,P73367,"['3-dehydroquinate dehydratase', '3-dehydroquinase']",Homododecamer.,"['aroQ', 'sll1112']"
12,P72988,"['UDP-3-O-acyl-N-acetylglucosamine deacetylase', 'UDP-3-O-acyl-GlcNAc deacetylase']",Homododecamer.,"['lpxC', 'sll1508']"
13,Q55612,['UDP-3-O-acylglucosamine N-acyltransferase'],Homotrimer.,"['lpxD', 'slr0776']"
14,Q57310,['Lipid-A-disaccharide synthase'],Homotrimer.,"['lpxB', 'slr0015']"
15,P74265,['Slr1677 protein'],Homotrimer.,[]
16,P74562,"['L-aspartate oxidase', 'LASPO']",Homotrimer.,"['nadB', 'sll0631']"
17,P74578,['Quinolinate synthase'],Homotrimer.,"['nadA', 'sll0622']"
18,P74301,['Probable nicotinate-nucleotide pyrophosphorylase [carboxylating]'],Hexamer formed by 3 homodimers.,"['nadC', 'slr0936']"
19,P37294,"['15-cis-phytoene synthase', 'PSase']",Hexamer formed by 3 homodimers.,"['crtB', 'pys', 'slr1255']"
20,P29273,['Phytoene dehydrogenase'],Hexamer formed by 3 homodimers.,"['pds', 'crtD', 'slr1254']"
21,P74591,"['Shikimate dehydrogenase (NADP(+))', 'SDH']",Homodimer.,"['aroE', 'slr1559']"
22,P74306,"['Zeta-carotene desaturase', ""9,9'-di-cis-zeta-carotene desaturase"", 'Carotene 7,8-desaturase']",Homodimer.,"['crtQ', 'slr0940']"
23,P73246,"['Probable nicotinate-nucleotide adenylyltransferase', 'Deamido-NAD(+) diphosphorylase', 'Deamido-NAD(+) pyrophosphorylase', 'Nicotinate mononucleotide adenylyltransferase', 'NaMN adenylyltransferase']",Homodimer.,"['nadD', 'sll1916']"
24,P72796,"['Shikimate kinase', 'SK']",Monomer.,"['aroK', 'sll1669']"
25,Q55455,['prolycopene isomerase'],Monomer.,[]
26,Q59975,['3-phosphoshikimate 1-carboxyvinyltransferase'],Monomer.,"['aroA', 'slr0444']"
27,P74454,['Sll0147 protein'],Monomer.,[]
28,P74292,['Glutamine-dependent NAD(+) synthetase'],Monomer.,"['nadE', 'slr1691']"
29,P23353,"['Chorismate synthase', 'CS']",Homotetramer.,"['aroC', 'sll1747']"
30,P20170,['Anthranilate synthase component 1'],Heterotetramer consisting of two non-identical subunits: a beta subunit (TrpG) and a large alpha subunit (TrpE).,"['trpE', 'slr0738']"
31,P73955,['NAD kinase 1'],Heterotetramer consisting of two non-identical subunits: a beta subunit (TrpG) and a large alpha subunit (TrpE).,"['nadK1', 'sll1415']"
32,P74430,['NAD kinase 2'],Heterotetramer consisting of two non-identical subunits: a beta subunit (TrpG) and a large alpha subunit (TrpE).,"['nadK2', 'slr0400']"
33,Q55929,['Nicotinamide phosphoribosyltransferase'],Heterotetramer consisting of two non-identical subunits: a beta subunit (TrpG) and a large alpha subunit (TrpE).,[]
34,Q55382,['Aspartate 1-decarboxylase'],Heterooctamer of four alpha and four beta subunits.,"['panD', 'sll0892']"
35,Q55778,['Glutamate--tRNA ligase'],Monomer.,"['gltX', 'sll0179']"
36,P28463,"['Glutamyl-tRNA reductase', 'GluTR']",Homodimer.,"['hemA', 'slr1808']"
37,Q55665,"['Glutamate-1-semialdehyde 2,1-aminomutase', 'GSA']",Homodimer.,"['hemL', 'gsa', 'sll0017']"
38,P77969,['Delta-aminolevulinic acid dehydratase'],Homooctamer.,"['hemB', 'sll1994']"
39,P73660,"['Porphobilinogen deaminase', 'PBG', 'Hydroxymethylbilane synthase', 'HMBS', 'Pre-uroporphyrinogen synthase']",Monomer.,"['hemC', 'slr1887']"
40,P52997,['3-methyl-2-oxobutanoate hydroxymethyltransferase'],Homodecamer; pentamer of dimers.,"['panB', 'slr0526']"
41,Q55074,['Bifunctional pantoate ligase/cytidylate kinase'],Homodecamer; pentamer of dimers.,"['panC/cmk', 'panC/kcy', 'sll1249']"
42,P73617,['Anthranilate phosphoribosyltransferase'],Homodimer.,"['trpD', 'slr1867']"
43,P74045,"['Type III pantothenate kinase', 'PanK-III', 'Pantothenic acid kinase']",Homodimer.,"['coaX', 'slr0812']"
44,P54224,['Uroporphyrinogen decarboxylase'],Homodimer.,"['hemE', 'slr0536']"
45,P74435,"[""N-(5'-phosphoribosyl)anthranilate isomerase"", 'PRAI']",Homodimer.,"['trpF', 'sll0356']"
46,Q55508,"['Indole-3-glycerol phosphate synthase', 'IGPS']",Homodimer.,"['trpC', 'slr0546']"
47,P73881,"['Coenzyme A biosynthesis bifunctional protein CoaBC', 'DNA/pantothenate metabolism flavoprotein', 'Phosphopantothenoylcysteine synthetase/decarboxylase', 'PPCS-PPCDC']",Homodimer.,"['coaBC', 'dfp', 'sll0250']"
48,Q59992,['Tryptophan synthase beta chain'],Tetramer of two alpha and two beta chains.,"['trpB', 'slr0543']"
49,Q55435,"['Phosphopantetheine adenylyltransferase', 'Dephospho-CoA pyrophosphorylase', 'Pantetheine-phosphate adenylyltransferase', 'PPAT']",Homohexamer.,"['coaD', 'kdtB', 'slr0847']"
50,P72848,['Oxygen-dependent coproporphyrinogen-III oxidase'],Homodimer.,"['hemF', 'sll1185']"
51,P77960,['Tryptophan synthase alpha chain'],Tetramer of two alpha and two beta chains.,"['trpA', 'slr0966']"
52,A0A317Y8E3,['Oxygen-independent coproporphyrinogen-III oxidase-like protein sll1917'],Tetramer of two alpha and two beta chains.,"['sll1917', 'Zm00014a_012822']"
53,Q55515,['Dephospho-CoA kinase'],Tetramer of two alpha and two beta chains.,"['coaE', 'slr0553']"
54,P72720,"['Glutamine--fructose-6-phosphate aminotransferase [isomerizing]', 'D-fructose-6-phosphate amidotransferase', 'GFAT', 'Glucosamine-6-phosphate synthase', 'Hexosephosphate aminotransferase', 'L-glutamine--D-fructose-6-phosphate amidotransferase']",Homodimer.,"['glmS', 'sll0220']"
55,P74132,"['Oxygen-independent coproporphyrinogen III oxidase', 'CPO']",Monomer.,"['hemN', 'sll1876']"
56,P74003,"['Release factor glutamine methyltransferase', 'RF MTase', 'M.Ssp6803HemKP', 'N5-glutamine methyltransferase PrmC', 'Protein-(glutamine-N5) MTase PrmC', 'Protein-glutamine N-methyltransferase PrmC']",Monomer.,"['prmC', 'sll1237']"
57,P72793,['Protoporphyrinogen IX oxidase'],"Homodimer. Can also form higher oligomers, most probably tetramers. Interacts with Sll1106, however it is unlikely that Sll1106 is required for PPO function.","['hemJ', 'slr1790']"
58,P73133,"['Acetylornithine aminotransferase', 'ACOAT']",Homodimer.,"['argD', 'slr1022']"
59,P72772,"['Magnesium-chelatase subunit ChlD', 'Mg-chelatase subunit D']",Homodimer.,"['chlD', 'slr1777']"
60,P73648,['Phosphoglucosamine mutase'],Homodimer.,"['glmM', 'sll1758']"
61,Q55504,['Bifunctional protein GlmU'],Homotrimer.,"['glmU', 'sll0899']"
62,Q55673,"['UDP-N-acetylglucosamine 1-carboxyvinyltransferase', 'Enoylpyruvate transferase', 'UDP-N-acetylglucosamine enolpyruvyl transferase', 'EPT']",Homotrimer.,"['murA', 'murZ', 'slr0017']"
63,P55037,['Ferredoxin-dependent glutamate synthase 1'],Homotrimer.,"['gltB', 'sll1502']"
64,P74529,['UDP-N-acetylenolpyruvoylglucosamine reductase'],Homotrimer.,"['murB', 'slr1424']"
65,P74528,['UDP-N-acetylmuramate--L-alanine ligase'],Homotrimer.,"['murC', 'slr1423']"
66,P51634,['Magnesium-chelatase subunit ChlI'],Homotrimer.,"['chlI', 'slr1030']"
67,P77961,"['Glutamine synthetase', 'GS', 'Glutamate--ammonia ligase', 'Glutamine synthetase I beta', 'GSI beta']",Oligomer of 12 subunits arranged in the form of two hexagons.,"['glnA', 'slr1756']"
68,Q55467,['Magnesium-protoporphyrin O-methyltransferase'],Oligomer of 12 subunits arranged in the form of two hexagons.,"['chlM', 'slr0525']"
69,P73668,"['UDP-N-acetylmuramoylalanine--D-glutamate ligase', 'D-glutamic acid-adding enzyme', 'UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase']",Oligomer of 12 subunits arranged in the form of two hexagons.,"['murD', 'sll2010']"
70,P73903,['Glutaminase'],Homotetramer.,"['glsA', 'slr2079']"
71,P54386,"['NADP-specific glutamate dehydrogenase', 'NADP-GDH']",Homohexamer.,"['gdhA', 'slr0710']"
72,Q55469,"['UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase', 'Meso-A2pm-adding enzyme', 'Meso-diaminopimelate-adding enzyme', 'UDP-MurNAc-L-Ala-D-Glu:meso-diaminopimelate ligase', 'UDP-MurNAc-tripeptide synthetase', 'UDP-N-acetylmuramyl-tripeptide synthetase']",Homohexamer.,"['murE', 'slr0528']"
73,P72584,"['Magnesium-protoporphyrin IX monomethyl ester [oxidative] cyclase 1', 'Mg-protoporphyrin IX monomethyl ester oxidative cyclase 1']",Homohexamer.,"['acsF1', 'sll1214']"
74,P73071,['Glutamate 5-kinase'],Homohexamer.,"['proB', 'slr2035']"
75,P74134,"['Magnesium-protoporphyrin IX monomethyl ester [oxidative] cyclase 2', 'Mg-protoporphyrin IX monomethyl ester oxidative cyclase 2']",Homohexamer.,"['acsF2', 'sll1874']"
76,P73737,['Glutamate racemase'],Homohexamer.,"['murI', 'slr1746']"
77,P54902,"['Gamma-glutamyl phosphate reductase 1', 'GPR 1', 'Glutamate-5-semialdehyde dehydrogenase 1', 'Glutamyl-gamma-semialdehyde dehydrogenase 1', 'GSA dehydrogenase 1']",Homohexamer.,"['proA1', 'proA', 'sll0373']"
78,P54918,['Alanine racemase'],Homohexamer.,"['alr', 'slr0827']"
79,P74473,['Slr1923 protein'],Homohexamer.,[]
80,Q55167,"['Gamma-glutamyl phosphate reductase 2', 'GPR 2', 'Glutamate-5-semialdehyde dehydrogenase 2', 'Glutamyl-gamma-semialdehyde dehydrogenase 2', 'GSA dehydrogenase 2']",Homohexamer.,"['proA2', 'sll0461']"
81,Q59987,"['Light-dependent protochlorophyllide reductase', 'PCR']",Homohexamer.,"['por', 'pcr', 'slr0506']"
82,P73632,"['D-alanine--D-alanine ligase', 'D-Ala-D-Ala ligase', 'D-alanylalanine synthetase']",Homohexamer.,"['ddl', 'ddlA', 'slr1874']"
83,P45450,"['UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase', 'D-alanyl-D-alanine-adding enzyme', 'UDP-MurNAc-pentapeptide synthetase']",Homohexamer.,"['murF', 'slr1351']"
