UniProtID,Unnamed: 0,proteinNames,txt_subunit,geneNames,subunitnumber
Q39UE1,5,"['Sulfate ABC transporter, membrane protein CysW']","The complex is composed of two ATP-binding proteins (CysA), two transmembrane proteins (CysT and CysW) and a solute-binding protein (CysP).","['cysW', 'Gmet_1904']",1
Q39RK3,6,"['N5-carboxyaminoimidazole ribonucleotide mutase', 'N5-CAIR mutase']","The complex is composed of two ATP-binding proteins (CysA), two transmembrane proteins (CysT and CysW) and a solute-binding protein (CysP).","['purE', 'Gmet_2903']",1
Q39RY7,7,['oxoglutarate dehydrogenase (succinyl-transferring)'],"The complex is composed of two ATP-binding proteins (CysA), two transmembrane proteins (CysT and CysW) and a solute-binding protein (CysP).","['sucA', 'Gmet_2769']",1
Q39RZ2,8,['Dihydrolipoyl dehydrogenase'],"The complex is composed of two ATP-binding proteins (CysA), two transmembrane proteins (CysT and CysW) and a solute-binding protein (CysP).","['lpdA-1', 'Gmet_2764']",1
Q39V80,9,"['Acyl-(Acyl carrier protein) ligase, acyl carrier, [acyl-]glycerolphosphate acyltransferase fusion protein']","The complex is composed of two ATP-binding proteins (CysA), two transmembrane proteins (CysT and CysW) and a solute-binding protein (CysP).",[],1
Q39UE9,10,['Dihydrolipoyl dehydrogenase'],"The complex is composed of two ATP-binding proteins (CysA), two transmembrane proteins (CysT and CysW) and a solute-binding protein (CysP).","['lpdA-2', 'Gmet_1896']",1
Q39S24,11,"['Chromate transport protein ChrA, subunit 1, putative']","The complex is composed of two ATP-binding proteins (CysA), two transmembrane proteins (CysT and CysW) and a solute-binding protein (CysP).",[],1
Q39RZ0,12,['Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex'],"The complex is composed of two ATP-binding proteins (CysA), two transmembrane proteins (CysT and CysW) and a solute-binding protein (CysP).","['sucB', 'Gmet_2766']",1
Q39S25,13,"['Chromate transport protein ChrA, subunit 2, putative']","The complex is composed of two ATP-binding proteins (CysA), two transmembrane proteins (CysT and CysW) and a solute-binding protein (CysP).",[],1
Q39YL6,14,['Multifunctional fusion protein'],"The complex is composed of two ATP-binding proteins (CysA), two transmembrane proteins (CysT and CysW) and a solute-binding protein (CysP).","['ddl', 'ftsQ', 'Gmet_0415']",1
Q39S67,15,['citrate synthase (unknown stereospecificity)'],"The complex is composed of two ATP-binding proteins (CysA), two transmembrane proteins (CysT and CysW) and a solute-binding protein (CysP).","['gltA', 'Gmet_2689']",1
Q39WN5,16,['Alanine dehydrogenase'],"The complex is composed of two ATP-binding proteins (CysA), two transmembrane proteins (CysT and CysW) and a solute-binding protein (CysP).","['ald', 'Gmet_1099']",1
Q39RJ8,17,['Alanine racemase'],"The complex is composed of two ATP-binding proteins (CysA), two transmembrane proteins (CysT and CysW) and a solute-binding protein (CysP).","['alr', 'Gmet_2908']",1
Q39QT8,18,"['Aspartate/glutamate/phosphoserine/alanine/cystea te aminotransferase, putative']","The complex is composed of two ATP-binding proteins (CysA), two transmembrane proteins (CysT and CysW) and a solute-binding protein (CysP).",[],1
Q39Z77,19,['Alanine--tRNA ligase'],"The complex is composed of two ATP-binding proteins (CysA), two transmembrane proteins (CysT and CysW) and a solute-binding protein (CysP).","['alaS', 'Gmet_0201']",1
Q39XJ3,20,['Aldehyde dehydrogenase family 11 protein'],"The complex is composed of two ATP-binding proteins (CysA), two transmembrane proteins (CysT and CysW) and a solute-binding protein (CysP).",[],1
Q39PU5,21,['tRNA-specific adenosine deaminase'],Homodimer.,"['tadA', 'Gmet_3524']",2
Q39ZI9,22,"['[acyl-]glycerolphosphate acyltransferase and acyl-(Acyl carrier protein) ligase, major facilitator superfamily domain-containing']",Homodimer.,[],2
Q39S29,23,"['Peptidoglycan-binding protein, DUF937 and OmpA domain-containing']",Homodimer.,[],2
Q39UL3,24,"['Peptidoglycan-binding protein, OmpA family']",Homodimer.,[],2
Q39UZ6,25,['(3R)-hydroxyacyl-(Acyl carrier protein) dehydratase'],Homodimer.,"['fabZ-1', 'Gmet_1697']",2
Q39T08,26,"['4-alpha-glucanotransferase', 'Amylomaltase', 'Disproportionating enzyme']",Homodimer.,"['malQ', 'Gmet_2391']",2
Q39X79,27,['Carboxynorspermidine/carboxyspermidine decarboxylase'],Homodimer.,"['nspC', 'Gmet_0903']",2
Q39X80,28,['Carboxynorspermidine/carboxyspermidine dehydrogenase'],Homodimer.,[],2
Q39VB2,29,"['Adenosylmethionine-8-amino-7-oxononanoate aminotransferase', '7,8-diamino-pelargonic acid aminotransferase']",Homodimer.,"['bioA', 'Gmet_1580']",2
Q39TH3,30,['Enoyl-CoA hydratase/isomerase'],Homodimer.,[],2
Q39T45,31,"['3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ', '(3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase', '(3R)-hydroxymyristoyl-ACP dehydrase', 'Beta-hydroxyacyl-ACP dehydratase']",Homodimer.,"['fabZ', 'Gmet_2354']",2
Q39WG9,32,['Demethylmenaquinone methyltransferase'],Homodimer.,"['menG', 'Gmet_1167']",2
Q39UX6,33,['3-hydroxyacyl-CoA dehydrogenase'],Homodimer.,[],2
Q39TJ0,34,['Enoyl-CoA hydratase/isomerase'],Homodimer.,[],2
Q39RJ6,35,"['Phosphomethylpyrimidine synthase', 'Hydroxymethylpyrimidine phosphate synthase']",Homodimer.,"['thiC', 'thiC-1', 'Gmet_2910']",2
Q39UX7,36,['Enoyl-CoA hydratase/isomerase'],Homodimer.,[],2
Q39TX3,37,['3-hydroxyacyl-CoA dehydrogenase'],Homodimer.,[],2
Q39SQ6,38,['Anthranilate phosphoribosyltransferase'],Homodimer.,"['trpD', 'Gmet_2495']",2
Q39TC9,39,['3-hydroxyacyl-CoA dehydrogenase'],Homodimer.,[],2
Q39QH7,40,['Enoyl-CoA hydratase/isomerase'],Homodimer.,[],2
Q39SQ4,41,['Anthranilate synthase component 1'],Heterotetramer consisting of two non-identical subunits: a beta subunit (TrpG) and a large alpha subunit (TrpE).,"['trpE', 'Gmet_2497']",2
Q39TJ4,42,['3-hydroxyacyl-CoA dehydrogenase'],Heterotetramer consisting of two non-identical subunits: a beta subunit (TrpG) and a large alpha subunit (TrpE).,[],2
